datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,1556.7136768504,7.2,102.2,0.9
2020-01-01 01:30:00-08:00,2,1567.7842270913998,7.2,102.1,0.9
2020-01-01 02:30:00-08:00,3,1568.6744331794,6.7,102.2,0.89
2020-01-01 03:30:00-08:00,4,1560.8862330912,6.1,102.2,0.93
2020-01-01 04:30:00-08:00,5,1545.6187311869999,4.4,102.2,0.97
2020-01-01 05:30:00-08:00,6,1524.291064519,4.4,102.2,0.97
2020-01-01 06:30:00-08:00,7,1522.9536938832,6.1,102.2,0.89
2020-01-01 07:30:00-08:00,8,1526.698375805,5.0,102.2,0.86
2020-01-01 08:30:00-08:00,9,1530.0434819811999,7.8,102.3,0.82
2020-01-01 09:30:00-08:00,10,1566.1601182253999,8.9,102.3,0.86
2020-01-01 10:30:00-08:00,11,1598.1525472741998,9.4,102.3,0.86
2020-01-01 11:30:00-08:00,12,1616.3204155678,10.0,102.2,0.83
2020-01-01 12:30:00-08:00,13,1629.133256875,10.6,102.2,0.83
2020-01-01 13:30:00-08:00,14,1642.1752917546,11.1,102.1,0.83
2020-01-01 14:30:00-08:00,15,1644.3571700204,13.9,102.0,0.53
2020-01-01 15:30:00-08:00,16,1622.1572527849999,13.9,102.1,0.47
2020-01-01 16:30:00-08:00,17,1635.8176795588,11.1,102.1,0.74
2020-01-01 17:30:00-08:00,18,1632.5216959788,11.1,102.1,0.69
2020-01-01 18:30:00-08:00,19,1617.4400083518,10.6,102.1,0.58
2020-01-01 19:30:00-08:00,20,1598.4323893822,10.6,102.2,0.61
2020-01-01 20:30:00-08:00,21,1587.7473170235999,8.9,102.2,0.66
2020-01-01 21:30:00-08:00,22,1573.0309978347998,9.4,102.2,0.61
2020-01-01 22:30:00-08:00,23,1566.4893529956,7.8,102.2,0.76
2020-01-01 23:30:00-08:00,24,1558.7449389128,6.7,102.2,0.82
2020-01-02 00:30:00-08:00,25,1563.7617072918,8.9,102.2,0.83
2020-01-02 01:30:00-08:00,26,1570.0010926943999,6.1,102.2,0.79
2020-01-02 02:30:00-08:00,27,1540.6912624166,5.6,102.2,0.85
2020-01-02 03:30:00-08:00,28,1515.7158807751998,3.9,102.1,0.86
2020-01-02 04:30:00-08:00,29,1501.3092078050001,5.6,102.1,0.85
2020-01-02 05:30:00-08:00,30,1520.1078089905998,7.2,102.1,0.8
2020-01-02 06:30:00-08:00,31,1540.1032751583998,7.8,102.1,0.71
2020-01-02 07:30:00-08:00,32,1546.9821708184,7.2,102.1,0.8
2020-01-02 08:30:00-08:00,33,1559.3626857912,10.6,102.1,0.58
2020-01-02 09:30:00-08:00,34,1580.9668928308,11.7,102.1,0.56
2020-01-02 10:30:00-08:00,35,1594.6542682508,13.9,102.1,0.44
2020-01-02 11:30:00-08:00,36,1591.6749410989999,13.9,102.0,0.47
2020-01-02 12:30:00-08:00,37,1604.9278504007998,13.9,101.9,0.51
2020-01-02 13:30:00-08:00,38,1616.0885230872,13.9,101.8,0.53
2020-01-02 14:30:00-08:00,39,1647.0023525284,12.2,101.8,0.74
2020-01-02 15:30:00-08:00,40,1651.9342923027998,12.8,101.8,0.62
2020-01-02 16:30:00-08:00,41,1646.6149164946,11.1,101.7,0.77
2020-01-02 17:30:00-08:00,42,1640.5897367651999,10.6,101.8,0.77
2020-01-02 18:30:00-08:00,43,1630.851039484,11.7,101.8,0.61
2020-01-02 19:30:00-08:00,44,1617.6350996639999,11.7,101.8,0.54
2020-01-02 20:30:00-08:00,45,1608.5432259112,10.0,101.8,0.74
2020-01-02 21:30:00-08:00,46,1609.1312165095999,8.9,101.8,0.86
2020-01-02 22:30:00-08:00,47,1609.2092620382,9.4,101.9,0.8
2020-01-02 23:30:00-08:00,48,1602.1655382469999,8.9,101.9,0.73
2020-01-03 00:30:00-08:00,49,1595.1771473882,9.4,101.9,0.8
2020-01-03 01:30:00-08:00,50,1600.5764691354,10.0,101.9,0.68
2020-01-03 02:30:00-08:00,51,1600.9321759748,12.2,101.9,0.53
2020-01-03 03:30:00-08:00,52,1600.1562217203998,13.9,101.9,0.42
2020-01-03 04:30:00-08:00,53,1609.7554930192,12.8,101.9,0.51
2020-01-03 05:30:00-08:00,54,1612.5367958364,12.2,102.0,0.53
2020-01-03 06:30:00-08:00,55,1607.4843891384,11.1,102.0,0.59
2020-01-03 07:30:00-08:00,56,1598.9173959032,11.1,102.1,0.54
2020-01-03 08:30:00-08:00,57,1591.3669878032001,11.7,102.2,0.5
2020-01-03 09:30:00-08:00,58,1593.475876068,13.3,102.2,0.43
2020-01-03 10:30:00-08:00,59,1604.0085335692,12.2,102.2,0.57
2020-01-03 11:30:00-08:00,60,1578.531551506,15.0,102.2,0.39
2020-01-03 12:30:00-08:00,61,1509.920800504,15.6,102.1,0.37
2020-01-03 13:30:00-08:00,62,1482.0998937084,16.1,102.1,0.32
2020-01-03 14:30:00-08:00,63,1468.2029197884,16.1,102.2,0.32
2020-01-03 15:30:00-08:00,64,1541.6681242555999,13.9,102.2,0.47
2020-01-03 16:30:00-08:00,65,1584.5290239496,13.9,102.2,0.4
2020-01-03 17:30:00-08:00,66,1603.2940354266,12.8,102.2,0.45
2020-01-03 18:30:00-08:00,67,1600.9793033658,12.2,102.3,0.45
2020-01-03 19:30:00-08:00,68,1594.4470615506,10.6,102.4,0.63
2020-01-03 20:30:00-08:00,69,1589.0020515446,10.0,102.4,0.56
2020-01-03 21:30:00-08:00,70,1587.290035846,8.9,102.5,0.89
2020-01-03 22:30:00-08:00,71,1605.8053700025998,8.9,102.5,0.89
2020-01-03 23:30:00-08:00,72,1611.2589672561999,8.9,102.6,0.86
2020-01-04 00:30:00-08:00,73,1606.6443424765998,8.3,102.6,0.86
2020-01-04 01:30:00-08:00,74,1597.2731916796,7.8,102.6,0.89
2020-01-04 02:30:00-08:00,75,1594.7960767002,8.3,102.6,0.9
