datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,212.61241553954,7.2,102.2,0.9
2020-01-01 01:30:00-08:00,2,185.46537917779997,7.2,102.1,0.9
2020-01-01 02:30:00-08:00,3,164.92062952396,6.7,102.2,0.89
2020-01-01 03:30:00-08:00,4,151.20714966044,6.1,102.2,0.93
2020-01-01 04:30:00-08:00,5,145.0070950661,4.4,102.2,0.97
2020-01-01 05:30:00-08:00,6,145.03199852722,4.4,102.2,0.97
2020-01-01 06:30:00-08:00,7,187.2020991115,6.1,102.2,0.89
2020-01-01 07:30:00-08:00,8,295.03938740064,5.0,102.2,0.86
2020-01-01 08:30:00-08:00,9,392.518913781,7.8,102.3,0.82
2020-01-01 09:30:00-08:00,10,383.12978699279995,8.9,102.3,0.86
2020-01-01 10:30:00-08:00,11,382.51718732459994,9.4,102.3,0.86
2020-01-01 11:30:00-08:00,12,384.26415223879997,10.0,102.2,0.83
2020-01-01 12:30:00-08:00,13,385.4556121884,10.6,102.2,0.83
2020-01-01 13:30:00-08:00,14,383.2164543262,11.1,102.1,0.83
2020-01-01 14:30:00-08:00,15,373.53020707776,13.9,102.0,0.53
2020-01-01 15:30:00-08:00,16,382.9662990684,13.9,102.1,0.47
2020-01-01 16:30:00-08:00,17,334.04907789905997,11.1,102.1,0.74
2020-01-01 17:30:00-08:00,18,310.34253375172,11.1,102.1,0.69
2020-01-01 18:30:00-08:00,19,364.34050145095995,10.6,102.1,0.58
2020-01-01 19:30:00-08:00,20,401.2011265046,10.6,102.2,0.61
2020-01-01 20:30:00-08:00,21,400.848759945,8.9,102.2,0.66
2020-01-01 21:30:00-08:00,22,401.290199789,9.4,102.2,0.61
2020-01-01 22:30:00-08:00,23,391.72758460499995,7.8,102.2,0.76
2020-01-01 23:30:00-08:00,24,274.16466799618,6.7,102.2,0.82
2020-01-02 00:30:00-08:00,25,213.73608091501998,8.9,102.2,0.83
2020-01-02 01:30:00-08:00,26,180.38416905132,6.1,102.2,0.79
2020-01-02 02:30:00-08:00,27,160.13370870609998,5.6,102.2,0.85
2020-01-02 03:30:00-08:00,28,145.16167840376,3.9,102.1,0.86
2020-01-02 04:30:00-08:00,29,146.39127430444,5.6,102.1,0.85
2020-01-02 05:30:00-08:00,30,180.18872487757997,7.2,102.1,0.8
2020-01-02 06:30:00-08:00,31,289.83456089346,7.8,102.1,0.71
2020-01-02 07:30:00-08:00,32,383.15913971279997,7.2,102.1,0.8
2020-01-02 08:30:00-08:00,33,388.2168197088,10.6,102.1,0.58
2020-01-02 09:30:00-08:00,34,395.57847563,11.7,102.1,0.56
2020-01-02 10:30:00-08:00,35,386.2033179116,13.9,102.1,0.44
2020-01-02 11:30:00-08:00,36,385.2213776234,13.9,102.0,0.47
2020-01-02 12:30:00-08:00,37,382.1517005316,13.9,101.9,0.51
2020-01-02 13:30:00-08:00,38,384.7607688694,13.9,101.8,0.53
2020-01-02 14:30:00-08:00,39,389.0181506178,12.2,101.8,0.74
2020-01-02 15:30:00-08:00,40,392.18826542979997,12.8,101.8,0.62
2020-01-02 16:30:00-08:00,41,331.31841230827996,11.1,101.7,0.77
2020-01-02 17:30:00-08:00,42,335.20190224926,10.6,101.8,0.77
2020-01-02 18:30:00-08:00,43,395.415129837,11.7,101.8,0.61
2020-01-02 19:30:00-08:00,44,405.33460335539996,11.7,101.8,0.54
2020-01-02 20:30:00-08:00,45,402.5156984818,10.0,101.8,0.74
2020-01-02 21:30:00-08:00,46,398.0641945504,8.9,101.8,0.86
2020-01-02 22:30:00-08:00,47,365.05210367816,9.4,101.9,0.8
2020-01-02 23:30:00-08:00,48,259.98596974533996,8.9,101.9,0.73
2020-01-03 00:30:00-08:00,49,214.24559810786,9.4,101.9,0.8
2020-01-03 01:30:00-08:00,50,185.39507064223997,10.0,101.9,0.68
2020-01-03 02:30:00-08:00,51,180.18280701028,12.2,101.9,0.53
2020-01-03 03:30:00-08:00,52,180.22894832027998,13.9,101.9,0.42
2020-01-03 04:30:00-08:00,53,181.62855679476,12.8,101.9,0.51
2020-01-03 05:30:00-08:00,54,208.77039421652,12.2,102.0,0.53
2020-01-03 06:30:00-08:00,55,318.28411999061996,11.1,102.0,0.59
2020-01-03 07:30:00-08:00,56,394.6366143294,11.1,102.1,0.54
2020-01-03 08:30:00-08:00,57,398.6237914234,11.7,102.2,0.5
2020-01-03 09:30:00-08:00,58,391.325211687,13.3,102.2,0.43
2020-01-03 10:30:00-08:00,59,397.21240652319995,12.2,102.2,0.57
