datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,9.151902698296,7.2,102.2,0.9
2020-01-01 01:30:00-08:00,2,8.070241226674,7.2,102.1,0.9
2020-01-01 02:30:00-08:00,3,6.2194613207659994,6.7,102.2,0.89
2020-01-01 03:30:00-08:00,4,5.093646625082,6.1,102.2,0.93
2020-01-01 04:30:00-08:00,5,4.000555831976,4.4,102.2,0.97
2020-01-01 05:30:00-08:00,6,3.2348946166227996,4.4,102.2,0.97
2020-01-01 06:30:00-08:00,7,5.704153173786,6.1,102.2,0.89
2020-01-01 07:30:00-08:00,8,11.68135136635,5.0,102.2,0.86
2020-01-01 08:30:00-08:00,9,25.55603286584,7.8,102.3,0.82
2020-01-01 09:30:00-08:00,10,27.808663948228,8.9,102.3,0.86
2020-01-01 10:30:00-08:00,11,23.899307094318,9.4,102.3,0.86
2020-01-01 11:30:00-08:00,12,24.737786843711998,10.0,102.2,0.83
2020-01-01 12:30:00-08:00,13,27.263857890961997,10.6,102.2,0.83
2020-01-01 13:30:00-08:00,14,29.178608882467998,11.1,102.1,0.83
2020-01-01 14:30:00-08:00,15,32.004760388444,13.9,102.0,0.53
2020-01-01 15:30:00-08:00,16,29.086472368098,13.9,102.1,0.47
2020-01-01 16:30:00-08:00,17,20.987055292765998,11.1,102.1,0.74
2020-01-01 17:30:00-08:00,18,21.223190056582,11.1,102.1,0.69
2020-01-01 18:30:00-08:00,19,25.387894768238,10.6,102.1,0.58
2020-01-01 19:30:00-08:00,20,27.945023057864,10.6,102.2,0.61
2020-01-01 20:30:00-08:00,21,30.906598893387997,8.9,102.2,0.66
2020-01-01 21:30:00-08:00,22,30.057998527309998,9.4,102.2,0.61
2020-01-01 22:30:00-08:00,23,20.090350151101998,7.8,102.2,0.76
2020-01-01 23:30:00-08:00,24,11.367588992803999,6.7,102.2,0.82
2020-01-02 00:30:00-08:00,25,9.223984402167998,8.9,102.2,0.83
2020-01-02 01:30:00-08:00,26,7.400478856305999,6.1,102.2,0.79
2020-01-02 02:30:00-08:00,27,5.689328041657999,5.6,102.2,0.85
2020-01-02 03:30:00-08:00,28,4.477765953243999,3.9,102.1,0.86
2020-01-02 04:30:00-08:00,29,3.84355004117,5.6,102.1,0.85
2020-01-02 05:30:00-08:00,30,4.3439125191859995,7.2,102.1,0.8
2020-01-02 06:30:00-08:00,31,11.973473390113998,7.8,102.1,0.71
2020-01-02 07:30:00-08:00,32,18.523540127856,7.2,102.1,0.8
2020-01-02 08:30:00-08:00,33,15.717437018433998,10.6,102.1,0.58
2020-01-02 09:30:00-08:00,34,21.600454206264,11.7,102.1,0.56
2020-01-02 10:30:00-08:00,35,21.039908327382,13.9,102.1,0.44
2020-01-02 11:30:00-08:00,36,25.919181246532,13.9,102.0,0.47
2020-01-02 12:30:00-08:00,37,29.525339520783998,13.9,101.9,0.51
2020-01-02 13:30:00-08:00,38,27.890885873819997,13.9,101.8,0.53
2020-01-02 14:30:00-08:00,39,28.090425987113996,12.2,101.8,0.74
2020-01-02 15:30:00-08:00,40,26.337201718196,12.8,101.8,0.62
2020-01-02 16:30:00-08:00,41,20.130016827682,11.1,101.7,0.77
2020-01-02 17:30:00-08:00,42,22.340858664716,10.6,101.8,0.77
2020-01-02 18:30:00-08:00,43,25.147903534104,11.7,101.8,0.61
2020-01-02 19:30:00-08:00,44,27.662446424871998,11.7,101.8,0.54
2020-01-02 20:30:00-08:00,45,31.173179929424,10.0,101.8,0.74
2020-01-02 21:30:00-08:00,46,31.008014174494,8.9,101.8,0.86
2020-01-02 22:30:00-08:00,47,20.666794240578,9.4,101.9,0.8
2020-01-02 23:30:00-08:00,48,12.362979654072,8.9,101.9,0.73
2020-01-03 00:30:00-08:00,49,9.450811739039999,9.4,101.9,0.8
2020-01-03 01:30:00-08:00,50,8.016405713344,10.0,101.9,0.68
2020-01-03 02:30:00-08:00,51,7.427614736258,12.2,101.9,0.53
2020-01-03 03:30:00-08:00,52,7.327954463986,13.9,101.9,0.42
2020-01-03 04:30:00-08:00,53,6.65546474808,12.8,101.9,0.51
2020-01-03 05:30:00-08:00,54,6.7532696078039995,12.2,102.0,0.53
2020-01-03 06:30:00-08:00,55,14.601536363796,11.1,102.0,0.59
2020-01-03 07:30:00-08:00,56,23.571009448046,11.1,102.1,0.54
2020-01-03 08:30:00-08:00,57,19.221938518463997,11.7,102.2,0.5
2020-01-03 09:30:00-08:00,58,24.307728415888,13.3,102.2,0.43
2020-01-03 10:30:00-08:00,59,22.323750879579997,12.2,102.2,0.57
2020-01-03 11:30:00-08:00,60,24.285194008603998,15.0,102.2,0.39
2020-01-03 12:30:00-08:00,61,29.916169078198,15.6,102.1,0.37
2020-01-03 13:30:00-08:00,62,31.862110812426,16.1,102.1,0.32
2020-01-03 14:30:00-08:00,63,31.421626228576,16.1,102.2,0.32
2020-01-03 15:30:00-08:00,64,26.775699679867998,13.9,102.2,0.47
2020-01-03 16:30:00-08:00,65,21.892469770406,13.9,102.2,0.4
2020-01-03 17:30:00-08:00,66,24.560597472681998,12.8,102.2,0.45
2020-01-03 18:30:00-08:00,67,26.145398928693997,12.2,102.3,0.45
2020-01-03 19:30:00-08:00,68,28.122512618026,10.6,102.4,0.63
2020-01-03 20:30:00-08:00,69,31.739441554745994,10.0,102.4,0.56
2020-01-03 21:30:00-08:00,70,32.023799750744,8.9,102.5,0.89
2020-01-03 22:30:00-08:00,71,21.689300463882,8.9,102.5,0.89
2020-01-03 23:30:00-08:00,72,12.838075107716,8.9,102.6,0.86
2020-01-04 00:30:00-08:00,73,9.80412149664,8.3,102.6,0.86
2020-01-04 01:30:00-08:00,74,8.13749670665,7.8,102.6,0.89
