datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,1484.9989921062,5.0,98.8,0.79
2020-01-01 01:30:00-08:00,2,1445.4816305184,5.0,98.6,0.86
2020-01-01 02:30:00-08:00,3,1440.2718844784,5.0,98.6,0.86
2020-01-01 03:30:00-08:00,4,1467.9581944,5.6,98.6,0.86
2020-01-01 04:30:00-08:00,5,1511.6253754112,6.1,98.6,0.86
2020-01-01 05:30:00-08:00,6,1554.7129219708,7.8,98.6,0.8
2020-01-01 06:30:00-08:00,7,1575.4669920262,6.7,98.7,0.93
2020-01-01 07:30:00-08:00,8,1582.7568321273998,6.7,98.7,0.93
2020-01-01 08:30:00-08:00,9,1587.0025349216,7.8,98.7,0.83
2020-01-01 09:30:00-08:00,10,1593.0265854506,7.8,98.9,0.86
2020-01-01 10:30:00-08:00,11,1599.8970865686,8.9,98.9,0.77
2020-01-01 11:30:00-08:00,12,1606.7949278239998,9.4,98.9,0.74
2020-01-01 12:30:00-08:00,13,1592.5740416646,6.1,98.9,0.96
2020-01-01 13:30:00-08:00,14,1573.5245669186,6.7,98.8,0.86
2020-01-01 14:30:00-08:00,15,1575.7180406031998,6.7,98.9,0.86
2020-01-01 15:30:00-08:00,16,1557.9542559267998,6.1,98.9,0.89
2020-01-01 16:30:00-08:00,17,1538.2054825062,6.1,99.1,0.93
2020-01-01 17:30:00-08:00,18,1536.7882043987997,6.1,99.2,0.93
2020-01-01 18:30:00-08:00,19,1537.7663303306,6.1,99.3,0.89
2020-01-01 19:30:00-08:00,20,1536.1360270542,6.1,99.4,0.89
2020-01-01 20:30:00-08:00,21,1510.4352904194,5.6,99.5,0.93
2020-01-01 21:30:00-08:00,22,1518.406538514,6.1,99.6,0.89
2020-01-01 22:30:00-08:00,23,1534.571276985,6.1,99.8,0.89
2020-01-01 23:30:00-08:00,24,1535.3017669716,6.1,99.9,0.89
2020-01-02 00:30:00-08:00,25,1557.4216146121998,6.7,99.9,0.83
2020-01-02 01:30:00-08:00,26,1552.6121169558,6.1,100.0,0.89
2020-01-02 02:30:00-08:00,27,1536.0221183644,6.1,100.0,0.89
2020-01-02 03:30:00-08:00,28,1558.4262872908,6.7,100.0,0.86
2020-01-02 04:30:00-08:00,29,1553.9673209421999,6.1,99.9,0.89
2020-01-02 05:30:00-08:00,30,1537.4703949451998,6.1,99.9,0.89
2020-01-02 06:30:00-08:00,31,1535.7547007173998,6.1,99.9,0.89
2020-01-02 07:30:00-08:00,32,1558.6303507297998,6.7,99.9,0.86
2020-01-02 08:30:00-08:00,33,1568.197269505,6.7,99.9,0.86
2020-01-02 09:30:00-08:00,34,1570.4148768641999,6.7,99.9,0.86
2020-01-02 10:30:00-08:00,35,1573.2944932168,8.3,99.9,0.71
2020-01-02 11:30:00-08:00,36,1576.3919579492,8.9,99.8,0.63
2020-01-02 12:30:00-08:00,37,1577.2340649671999,7.8,99.7,0.77
2020-01-02 13:30:00-08:00,38,1579.1745253075999,8.3,99.5,0.71
2020-01-02 14:30:00-08:00,39,1579.7094577599999,7.8,99.2,0.77
2020-01-02 15:30:00-08:00,40,1578.6142100332,7.8,99.1,0.74
2020-01-02 16:30:00-08:00,41,1579.2995505022,8.9,99.1,0.69
2020-01-02 17:30:00-08:00,42,1586.9754882696,9.4,98.9,0.66
2020-01-02 18:30:00-08:00,43,1590.7865325439998,8.9,98.9,0.69
2020-01-02 19:30:00-08:00,44,1589.3907901576,8.3,98.8,0.74
2020-01-02 20:30:00-08:00,45,1585.6016517773999,7.2,98.7,0.83
