datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,166.0425995321,5.0,98.8,0.79
2020-01-01 01:30:00-08:00,2,143.07947660605998,5.0,98.6,0.86
2020-01-01 02:30:00-08:00,3,132.64193097458,5.0,98.6,0.86
2020-01-01 03:30:00-08:00,4,129.62424621047998,5.6,98.6,0.86
2020-01-01 04:30:00-08:00,5,138.39649765712,6.1,98.6,0.86
2020-01-01 05:30:00-08:00,6,150.61812443604,7.8,98.6,0.8
2020-01-01 06:30:00-08:00,7,186.0466023429,6.7,98.7,0.93
2020-01-01 07:30:00-08:00,8,270.46730414786,6.7,98.7,0.93
2020-01-01 08:30:00-08:00,9,370.7823722221,7.8,98.7,0.83
2020-01-01 09:30:00-08:00,10,304.9882111375,7.8,98.9,0.86
2020-01-01 10:30:00-08:00,11,228.78374268652,8.9,98.9,0.77
2020-01-01 11:30:00-08:00,12,198.43527394236,9.4,98.9,0.74
2020-01-01 12:30:00-08:00,13,165.8560565954,6.1,98.9,0.96
2020-01-01 13:30:00-08:00,14,158.13911930749998,6.7,98.8,0.86
2020-01-01 14:30:00-08:00,15,156.59060450573998,6.7,98.9,0.86
2020-01-01 15:30:00-08:00,16,151.72572597803997,6.1,98.9,0.89
2020-01-01 16:30:00-08:00,17,146.20478917182,6.1,99.1,0.93
2020-01-01 17:30:00-08:00,18,177.33526647896,6.1,99.2,0.93
2020-01-01 18:30:00-08:00,19,219.15147864201998,6.1,99.3,0.89
2020-01-01 19:30:00-08:00,20,267.09367374019996,6.1,99.4,0.89
2020-01-01 20:30:00-08:00,21,297.29826915447995,5.6,99.5,0.93
2020-01-01 21:30:00-08:00,22,302.16940830568,6.1,99.6,0.89
2020-01-01 22:30:00-08:00,23,299.13449021744,6.1,99.8,0.89
2020-01-01 23:30:00-08:00,24,215.94011949034,6.1,99.9,0.89
2020-01-02 00:30:00-08:00,25,166.25767987144,6.7,99.9,0.83
2020-01-02 01:30:00-08:00,26,141.30147070862,6.1,100.0,0.89
2020-01-02 02:30:00-08:00,27,132.33635529166,6.1,100.0,0.89
2020-01-02 03:30:00-08:00,28,130.02326607802,6.7,100.0,0.86
2020-01-02 04:30:00-08:00,29,137.66930815862,6.1,99.9,0.89
2020-01-02 05:30:00-08:00,30,170.08867602645998,6.1,99.9,0.89
2020-01-02 06:30:00-08:00,31,274.9350526605,6.1,99.9,0.89
2020-01-02 07:30:00-08:00,32,363.86939824114,6.7,99.9,0.86
2020-01-02 08:30:00-08:00,33,270.47211502728,6.7,99.9,0.86
2020-01-02 09:30:00-08:00,34,227.39356289934,6.7,99.9,0.86
2020-01-02 10:30:00-08:00,35,183.63264785281999,8.3,99.9,0.71
2020-01-02 11:30:00-08:00,36,165.27846906015998,8.9,99.8,0.63
2020-01-02 12:30:00-08:00,37,156.38207094738,7.8,99.7,0.77
2020-01-02 13:30:00-08:00,38,154.08521485228,8.3,99.5,0.71
2020-01-02 14:30:00-08:00,39,152.43204895834,7.8,99.2,0.77
2020-01-02 15:30:00-08:00,40,150.92380353064,7.8,99.1,0.74
2020-01-02 16:30:00-08:00,41,154.74935907366,8.9,99.1,0.69
