datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,51.547919942,5.0,98.8,0.79
2020-01-01 01:30:00-08:00,2,41.8880643236,5.0,98.6,0.86
2020-01-01 02:30:00-08:00,3,51.984726510979996,5.0,98.6,0.86
2020-01-01 03:30:00-08:00,4,41.7697751249,5.6,98.6,0.86
2020-01-01 04:30:00-08:00,5,61.803755895159995,6.1,98.6,0.86
2020-01-01 05:30:00-08:00,6,72.06835356494,7.8,98.6,0.8
2020-01-01 06:30:00-08:00,7,72.90664578612,6.7,98.7,0.93
2020-01-01 07:30:00-08:00,8,74.12599464214,6.7,98.7,0.93
2020-01-01 08:30:00-08:00,9,74.99481223976,7.8,98.7,0.83
2020-01-01 09:30:00-08:00,10,75.00652015528,7.8,98.9,0.86
2020-01-01 10:30:00-08:00,11,78.12801938493999,8.9,98.9,0.77
2020-01-01 11:30:00-08:00,12,81.46210067358,9.4,98.9,0.74
2020-01-01 12:30:00-08:00,13,80.14582302648,6.1,98.9,0.96
2020-01-01 13:30:00-08:00,14,79.6194358503,6.7,98.8,0.86
2020-01-01 14:30:00-08:00,15,79.36790457488,6.7,98.9,0.86
2020-01-01 15:30:00-08:00,16,78.69397189284,6.1,98.9,0.89
2020-01-01 16:30:00-08:00,17,80.79254198724,6.1,99.1,0.93
2020-01-01 17:30:00-08:00,18,83.2683629363,6.1,99.2,0.93
2020-01-01 18:30:00-08:00,19,72.05832802645999,6.1,99.3,0.89
2020-01-01 19:30:00-08:00,20,68.97320325711999,6.1,99.4,0.89
2020-01-01 20:30:00-08:00,21,65.66490508513999,5.6,99.5,0.93
2020-01-01 21:30:00-08:00,22,49.43176383444,6.1,99.6,0.89
2020-01-01 22:30:00-08:00,23,42.86552617538,6.1,99.8,0.89
2020-01-01 23:30:00-08:00,24,54.806009110699996,6.1,99.9,0.89
2020-01-02 00:30:00-08:00,25,43.95113024584,6.7,99.9,0.83
2020-01-02 01:30:00-08:00,26,57.90128452553999,6.1,100.0,0.89
2020-01-02 02:30:00-08:00,27,46.9438172237,6.1,100.0,0.89
2020-01-02 03:30:00-08:00,28,58.44514135204,6.7,100.0,0.86
2020-01-02 04:30:00-08:00,29,68.88537910264,6.1,99.9,0.89
2020-01-02 05:30:00-08:00,30,79.89440511722,6.1,99.9,0.89
2020-01-02 06:30:00-08:00,31,80.10545380514,6.1,99.9,0.89
2020-01-02 07:30:00-08:00,32,78.64713074747999,6.7,99.9,0.86
2020-01-02 08:30:00-08:00,33,77.74346475243999,6.7,99.9,0.86
2020-01-02 09:30:00-08:00,34,77.4462640666,6.7,99.9,0.86
2020-01-02 10:30:00-08:00,35,78.72634029739999,8.3,99.9,0.71
2020-01-02 11:30:00-08:00,36,80.19909976558,8.9,99.8,0.63
2020-01-02 12:30:00-08:00,37,81.9716790563,7.8,99.7,0.77
2020-01-02 13:30:00-08:00,38,82.94416050876,8.3,99.5,0.71
2020-01-02 14:30:00-08:00,39,81.85631238782,7.8,99.2,0.77
2020-01-02 15:30:00-08:00,40,80.81641314112,7.8,99.1,0.74
2020-01-02 16:30:00-08:00,41,80.24948355708,8.9,99.1,0.69
2020-01-02 17:30:00-08:00,42,78.50681681452,9.4,98.9,0.66
2020-01-02 18:30:00-08:00,43,64.81900326515999,8.9,98.9,0.69
2020-01-02 19:30:00-08:00,44,63.65630433946,8.3,98.8,0.74
2020-01-02 20:30:00-08:00,45,64.1070430221,7.2,98.7,0.83
2020-01-02 21:30:00-08:00,46,51.34907006842,6.7,98.4,0.86
2020-01-02 22:30:00-08:00,47,43.990623000599996,6.7,98.3,0.86
2020-01-02 23:30:00-08:00,48,54.88529828278,7.2,98.1,0.8
2020-01-03 00:30:00-08:00,49,42.15017643378,7.2,98.0,0.83
2020-01-03 01:30:00-08:00,50,51.99470932758,8.9,98.0,0.77
2020-01-03 02:30:00-08:00,51,41.25406622422,8.3,98.0,0.8
2020-01-03 03:30:00-08:00,52,51.15129128069999,8.3,98.0,0.86
2020-01-03 04:30:00-08:00,53,58.43458400698,7.8,98.1,0.93
2020-01-03 05:30:00-08:00,54,69.0508492028,7.8,98.1,0.93
2020-01-03 06:30:00-08:00,55,71.35317120612,7.8,98.2,0.86
2020-01-03 07:30:00-08:00,56,71.95129015922,7.2,98.3,0.89
2020-01-03 08:30:00-08:00,57,71.2692208104,7.2,98.4,0.86
2020-01-03 09:30:00-08:00,58,71.29089730924001,7.2,98.5,0.86
2020-01-03 10:30:00-08:00,59,73.46508526955999,7.8,98.5,0.83
2020-01-03 11:30:00-08:00,60,75.00888594825999,7.8,98.6,0.86
2020-01-03 12:30:00-08:00,61,77.22807681192,8.9,98.5,0.77
2020-01-03 13:30:00-08:00,62,78.9191521815,8.9,98.5,0.77
2020-01-03 14:30:00-08:00,63,78.71841762572,8.3,98.5,0.8
2020-01-03 15:30:00-08:00,64,78.70681217111999,7.8,98.6,0.86
2020-01-03 16:30:00-08:00,65,77.54214544733999,7.2,98.6,0.93
2020-01-03 17:30:00-08:00,66,75.72258532098,7.2,98.6,0.86
2020-01-03 18:30:00-08:00,67,60.3807825902,6.7,98.7,0.89
2020-01-03 19:30:00-08:00,68,55.437570149619994,7.2,98.8,0.83
2020-01-03 20:30:00-08:00,69,54.264772345059995,7.2,98.8,0.8
2020-01-03 21:30:00-08:00,70,45.025214907,7.2,98.9,0.77
2020-01-03 22:30:00-08:00,71,37.464572852048,7.2,98.9,0.77
2020-01-03 23:30:00-08:00,72,44.952352027399996,6.7,99.0,0.86
2020-01-04 00:30:00-08:00,73,32.739816891664,6.1,99.0,0.93
2020-01-04 01:30:00-08:00,74,40.92753430814,6.1,99.0,0.96
2020-01-04 02:30:00-08:00,75,32.551878304834,6.1,99.0,0.93
2020-01-04 03:30:00-08:00,76,36.51773737611,5.6,99.1,0.96
2020-01-04 04:30:00-08:00,77,38.109944052139994,5.6,99.1,0.93
2020-01-04 05:30:00-08:00,78,48.47580209994,5.0,99.1,0.93
2020-01-04 06:30:00-08:00,79,51.4197322506,6.1,99.1,0.83
2020-01-04 07:30:00-08:00,80,53.98403205043999,5.6,99.1,0.86
2020-01-04 08:30:00-08:00,81,51.493548479139996,5.6,99.2,0.89
2020-01-04 09:30:00-08:00,82,56.70618290978,5.6,99.3,0.89
2020-01-04 10:30:00-08:00,83,60.45607921894,6.7,99.3,0.83
2020-01-04 11:30:00-08:00,84,60.796406352919995,6.7,99.3,0.86
2020-01-04 12:30:00-08:00,85,62.68769536211999,7.8,99.3,0.83
2020-01-04 13:30:00-08:00,86,66.79960454379999,7.8,99.3,0.8
2020-01-04 14:30:00-08:00,87,72.59692519885999,7.8,99.3,0.77
2020-01-04 15:30:00-08:00,88,73.82467733118,7.8,99.4,0.8
2020-01-04 16:30:00-08:00,89,68.62975244714,7.2,99.4,0.8
2020-01-04 17:30:00-08:00,90,64.30952465181998,6.7,99.5,0.8
2020-01-04 18:30:00-08:00,91,49.622307216959996,5.0,99.5,0.89
2020-01-04 19:30:00-08:00,92,46.733546120279996,4.4,99.5,0.89
2020-01-04 20:30:00-08:00,93,47.71221938165999,4.4,99.6,0.93
2020-01-04 21:30:00-08:00,94,40.197398337139994,5.0,99.6,0.93
2020-01-04 22:30:00-08:00,95,29.932734538126,3.9,99.6,0.89
2020-01-04 23:30:00-08:00,96,32.646859282983996,3.3,99.7,0.89
2020-01-05 00:30:00-08:00,97,22.641595515036002,1.7,99.7,0.92
2020-01-05 01:30:00-08:00,98,27.365399259829996,2.8,99.7,0.89
2020-01-05 02:30:00-08:00,99,21.91213928948,2.2,99.7,0.93
