datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-08:00,1,4.880215502462,5.0,98.8,0.79
2020-01-01 01:30:00-08:00,2,4.193592070394,5.0,98.6,0.86
2020-01-01 02:30:00-08:00,3,3.1714216046476,5.0,98.6,0.86
2020-01-01 03:30:00-08:00,4,2.8001341955174,5.6,98.6,0.86
2020-01-01 04:30:00-08:00,5,2.6494982475416,6.1,98.6,0.86
2020-01-01 05:30:00-08:00,6,2.6851679384486,7.8,98.6,0.8
2020-01-01 06:30:00-08:00,7,5.001698454292,6.7,98.7,0.93
2020-01-01 07:30:00-08:00,8,10.191630076505998,6.7,98.7,0.93
2020-01-01 08:30:00-08:00,9,17.693040294823998,7.8,98.7,0.83
2020-01-01 09:30:00-08:00,10,12.950802182386,7.8,98.9,0.86
2020-01-01 10:30:00-08:00,11,6.53538426111,8.9,98.9,0.77
2020-01-01 11:30:00-08:00,12,5.551295159208,9.4,98.9,0.74
2020-01-01 12:30:00-08:00,13,4.718182311352,6.1,98.9,0.96
2020-01-01 13:30:00-08:00,14,4.180850019416,6.7,98.8,0.86
2020-01-01 14:30:00-08:00,15,4.060086416288,6.7,98.9,0.86
2020-01-01 15:30:00-08:00,16,3.7643180367573996,6.1,98.9,0.89
2020-01-01 16:30:00-08:00,17,3.5636379623031997,6.1,99.1,0.93
2020-01-01 17:30:00-08:00,18,6.549655923352,6.1,99.2,0.93
2020-01-01 18:30:00-08:00,19,10.840065578813999,6.1,99.3,0.89
2020-01-01 19:30:00-08:00,20,13.580939684952,6.1,99.4,0.89
2020-01-01 20:30:00-08:00,21,16.991518905946,5.6,99.5,0.93
2020-01-01 21:30:00-08:00,22,17.098568990717997,6.1,99.6,0.89
2020-01-01 22:30:00-08:00,23,11.13088876406,6.1,99.8,0.89
2020-01-01 23:30:00-08:00,24,6.159087398425999,6.1,99.9,0.89
2020-01-02 00:30:00-08:00,25,4.971996021621999,6.7,99.9,0.83
2020-01-02 01:30:00-08:00,26,4.08660071694,6.1,100.0,0.89
2020-01-02 02:30:00-08:00,27,3.3293502404065998,6.1,100.0,0.89
2020-01-02 03:30:00-08:00,28,3.0203132277137996,6.7,100.0,0.86
2020-01-02 04:30:00-08:00,29,2.7396718414926,6.1,99.9,0.89
2020-01-02 05:30:00-08:00,30,3.1284432534592,6.1,99.9,0.89
2020-01-02 06:30:00-08:00,31,10.733390119626,6.1,99.9,0.89
2020-01-02 07:30:00-08:00,32,16.390919851116,6.7,99.9,0.86
2020-01-02 08:30:00-08:00,33,8.726422083884,6.7,99.9,0.86
2020-01-02 09:30:00-08:00,34,7.9669685024520005,6.7,99.9,0.86
2020-01-02 10:30:00-08:00,35,4.46436365789,8.3,99.9,0.71
2020-01-02 11:30:00-08:00,36,4.24077328638,8.9,99.8,0.63
