datetime,Qe_nom,T_db,Patm,RH,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-07:00,500.0,-16.7,88.2,0.96,715,9.564,0.1648,0.2835
2020-01-01 01:30:00-07:00,500.0,-16.7,88.2,0.91,715,9.564,0.1662,0.2859
2020-01-01 02:30:00-07:00,500.0,-15.6,88.1,0.87,715,9.564,0.174,0.2993
2020-01-01 03:30:00-07:00,500.0,-17.2,88.1,0.87,715,9.564,0.1646,0.2831
2020-01-01 04:30:00-07:00,500.0,-14.4,88.1,0.91,715,9.564,0.1798,0.3093
2020-01-01 05:30:00-07:00,500.0,-14.4,88.0,0.87,715,9.564,0.1813,0.3118
2020-01-01 06:30:00-07:00,500.0,-16.7,87.9,0.91,715,9.564,0.1665,0.2864
2020-01-01 07:30:00-07:00,500.0,-16.7,87.9,0.87,715,9.564,0.1677,0.2884
2020-01-01 08:30:00-07:00,500.0,-14.9,87.8,0.83,715,9.564,0.1798,0.3092
2020-01-01 09:30:00-07:00,500.0,-11.1,87.7,0.84,715,9.564,0.203,0.3492
2020-01-01 10:30:00-07:00,500.0,-11.7,87.6,0.84,715,9.564,0.1993,0.3429
2020-01-01 11:30:00-07:00,500.0,-9.4,87.4,0.74,715,9.564,0.2185,0.3759
2020-01-01 12:30:00-07:00,500.0,-7.2,87.2,0.65,715,9.564,0.238,0.4094
2020-01-01 13:30:00-07:00,500.0,-5.0,87.2,0.6,715,9.564,0.2563,0.4409
2020-01-01 14:30:00-07:00,500.0,-3.3,87.1,0.55,715,9.564,0.272,0.4679
2020-01-01 15:30:00-07:00,500.0,-3.3,87.1,0.6,715,9.564,0.269,0.4626
2020-01-01 16:30:00-07:00,500.0,-3.3,87.1,0.66,715,9.564,0.2653,0.4564
2020-01-01 17:30:00-07:00,500.0,-6.7,87.1,0.81,715,9.564,0.2334,0.4015
2020-01-01 18:30:00-07:00,500.0,-4.4,87.2,0.78,715,9.564,0.2504,0.4307
2020-01-01 19:30:00-07:00,500.0,-3.9,87.1,0.75,715,9.564,0.2557,0.4398
2020-01-01 20:30:00-07:00,500.0,-6.7,87.1,0.81,715,9.564,0.2334,0.4015
2020-01-01 21:30:00-07:00,500.0,-7.8,87.0,0.88,715,9.564,0.2229,0.3834
2020-01-01 22:30:00-07:00,500.0,-7.8,87.1,0.84,715,9.564,0.2247,0.3865
2020-01-01 23:30:00-07:00,500.0,-6.7,87.1,0.88,715,9.564,0.2298,0.3953
2020-01-02 00:30:00-07:00,500.0,-6.7,87.1,0.88,715,9.564,0.2298,0.3953
2020-01-02 01:30:00-07:00,500.0,-6.1,87.2,0.81,715,9.564,0.2373,0.4081
2020-01-02 02:30:00-07:00,500.0,-3.9,87.3,0.81,715,9.564,0.252,0.4335
2020-01-02 03:30:00-07:00,500.0,-3.3,87.4,0.78,715,9.564,0.2578,0.4434
2020-01-02 04:30:00-07:00,500.0,-7.8,87.5,0.88,715,9.564,0.2223,0.3824
2020-01-02 05:30:00-07:00,500.0,-7.2,87.7,0.84,715,9.564,0.2279,0.3921
2020-01-02 06:30:00-07:00,500.0,-1.1,87.8,0.82,715,9.564,0.2703,0.4649
2020-01-02 07:30:00-07:00,500.0,0.0,87.9,0.69,715,9.564,0.2867,0.4932
2020-01-02 08:30:00-07:00,500.0,1.1,88.0,0.59,715,9.564,0.3012,0.5182
2020-01-02 09:30:00-07:00,500.0,2.2,88.0,0.52,715,9.564,0.3145,0.5409
2020-01-02 10:30:00-07:00,500.0,3.9,88.1,0.45,715,9.564,0.3328,0.5725
2020-01-02 11:30:00-07:00,500.0,3.9,88.2,0.47,715,9.564,0.331,0.5693
2020-01-02 12:30:00-07:00,500.0,2.8,88.2,0.46,715,9.564,0.3235,0.5564
2020-01-02 13:30:00-07:00,500.0,3.9,88.2,0.45,715,9.564,0.3327,0.5723
2020-01-02 14:30:00-07:00,500.0,3.3,88.2,0.43,715,9.564,0.3298,0.5673
2020-01-02 15:30:00-07:00,500.0,3.3,88.2,0.44,715,9.564,0.3289,0.5658
2020-01-02 16:30:00-07:00,500.0,0.6,88.2,0.52,715,9.564,0.3024,0.5202
2020-01-02 17:30:00-07:00,500.0,-1.7,88.3,0.61,715,9.564,0.2788,0.4795
2020-01-02 18:30:00-07:00,500.0,-1.1,88.3,0.56,715,9.564,0.2866,0.493
2020-01-02 19:30:00-07:00,500.0,-2.8,88.3,0.66,715,9.564,0.2675,0.4601
2020-01-02 20:30:00-07:00,500.0,-3.9,88.3,0.69,715,9.564,0.2578,0.4434
2020-01-02 21:30:00-07:00,500.0,-5.6,88.2,0.74,715,9.564,0.2432,0.4184
2020-01-02 22:30:00-07:00,500.0,-4.4,88.1,0.75,715,9.564,0.2511,0.4319
2020-01-02 23:30:00-07:00,500.0,-5.0,88.1,0.81,715,9.564,0.2436,0.4191
2020-01-03 00:30:00-07:00,500.0,-5.6,88.0,0.81,715,9.564,0.2397,0.4123
2020-01-03 01:30:00-07:00,500.0,-6.1,87.9,0.75,715,9.564,0.2396,0.4122
2020-01-03 02:30:00-07:00,500.0,-6.7,87.9,0.85,715,9.564,0.2305,0.3964
2020-01-03 03:30:00-07:00,500.0,-6.7,87.8,0.84,715,9.564,0.2311,0.3975
2020-01-03 04:30:00-07:00,500.0,-5.6,87.7,0.69,715,9.564,0.2465,0.424
2020-01-03 05:30:00-07:00,500.0,-4.4,87.7,0.72,715,9.564,0.2532,0.4356
2020-01-03 06:30:00-07:00,500.0,-5.0,87.6,0.75,715,9.564,0.2475,0.4257
2020-01-03 07:30:00-07:00,500.0,-2.8,87.6,0.63,715,9.564,0.2702,0.4648
2020-01-03 08:30:00-07:00,500.0,3.3,87.5,0.44,715,9.564,0.3299,0.5675
2020-01-03 09:30:00-07:00,500.0,4.4,87.4,0.43,715,9.564,0.3394,0.5838
2020-01-03 10:30:00-07:00,500.0,5.0,87.4,0.43,715,9.564,0.344,0.5917
2020-01-03 11:30:00-07:00,500.0,5.6,87.2,0.41,715,9.564,0.3508,0.6035
2020-01-03 12:30:00-07:00,500.0,6.7,87.1,0.38,715,9.564,0.3626,0.6237
2020-01-03 13:30:00-07:00,500.0,8.3,87.0,0.37,715,9.564,0.3765,0.6476
2020-01-03 14:30:00-07:00,500.0,7.2,87.0,0.4,715,9.564,0.3646,0.6271
2020-01-03 15:30:00-07:00,500.0,6.1,86.9,0.47,715,9.564,0.3493,0.6008
2020-01-03 16:30:00-07:00,500.0,7.2,86.9,0.4,715,9.564,0.3647,0.6274
2020-01-03 17:30:00-07:00,500.0,7.2,87.0,0.4,715,9.564,0.3646,0.6271
2020-01-03 18:30:00-07:00,500.0,7.2,87.0,0.4,715,9.564,0.3646,0.6271
2020-01-03 19:30:00-07:00,500.0,6.7,87.0,0.45,715,9.564,0.3556,0.6117
2020-01-03 20:30:00-07:00,500.0,6.1,87.1,0.49,715,9.564,0.3471,0.597
2020-01-03 21:30:00-07:00,500.0,5.6,87.1,0.51,715,9.564,0.3415,0.5874
2020-01-03 22:30:00-07:00,500.0,4.4,87.1,0.62,715,9.564,0.3231,0.5558
2020-01-03 23:30:00-07:00,500.0,2.2,87.2,0.76,715,9.564,0.2971,0.511
2020-01-04 00:30:00-07:00,500.0,2.8,87.2,0.69,715,9.564,0.3064,0.527
2020-01-04 01:30:00-07:00,500.0,2.2,87.3,0.65,715,9.564,0.3053,0.5252
2020-01-04 02:30:00-07:00,500.0,3.3,87.3,0.65,715,9.564,0.3128,0.5381
2020-01-04 03:30:00-07:00,500.0,1.1,87.3,0.74,715,9.564,0.2913,0.5011
2020-01-04 04:30:00-07:00,500.0,2.2,87.3,0.62,715,9.564,0.3076,0.5291
2020-01-04 05:30:00-07:00,500.0,-1.7,87.3,0.92,715,9.564,0.2604,0.4479
2020-01-04 06:30:00-07:00,500.0,-1.7,87.4,0.96,715,9.564,0.2578,0.4434
2020-01-04 07:30:00-07:00,500.0,-1.7,87.4,0.89,715,9.564,0.2621,0.4509
2020-01-04 08:30:00-07:00,500.0,-2.8,87.4,0.89,715,9.564,0.2546,0.438
2020-01-04 09:30:00-07:00,500.0,-1.1,87.4,0.92,715,9.564,0.2644,0.4547
2020-01-04 10:30:00-07:00,500.0,0.0,87.5,0.89,715,9.564,0.2738,0.471
2020-01-04 11:30:00-07:00,500.0,0.6,87.4,0.85,715,9.564,0.2803,0.4822
2020-01-04 12:30:00-07:00,500.0,2.2,87.4,0.79,715,9.564,0.2946,0.5067
2020-01-04 13:30:00-07:00,500.0,3.3,87.3,0.67,715,9.564,0.3112,0.5353
2020-01-04 14:30:00-07:00,500.0,4.4,87.3,0.55,715,9.564,0.3289,0.5658
2020-01-04 15:30:00-07:00,500.0,4.4,87.3,0.53,715,9.564,0.3307,0.5688
2020-01-04 16:30:00-07:00,500.0,1.7,87.4,0.64,715,9.564,0.3025,0.5204
2020-01-04 17:30:00-07:00,500.0,0.6,87.4,0.64,715,9.564,0.2949,0.5073
2020-01-04 18:30:00-07:00,500.0,-1.7,87.5,0.72,715,9.564,0.2727,0.4691
2020-01-04 19:30:00-07:00,500.0,-1.7,87.5,0.72,715,9.564,0.2727,0.4691
2020-01-04 20:30:00-07:00,500.0,-2.2,87.5,0.72,715,9.564,0.2691,0.4629
2020-01-04 21:30:00-07:00,500.0,-2.2,87.5,0.75,715,9.564,0.2672,0.4597
2020-01-04 22:30:00-07:00,500.0,-2.2,87.5,0.75,715,9.564,0.2672,0.4597
2020-01-04 23:30:00-07:00,500.0,-2.8,87.5,0.78,715,9.564,0.2611,0.4492
2020-01-05 00:30:00-07:00,500.0,-1.7,87.5,0.66,715,9.564,0.2765,0.4757
2020-01-05 01:30:00-07:00,500.0,-2.8,87.5,0.62,715,9.564,0.2709,0.466
2020-01-05 02:30:00-07:00,500.0,-2.2,87.6,0.61,715,9.564,0.2759,0.4746
2020-01-05 03:30:00-07:00,500.0,-2.8,87.6,0.62,715,9.564,0.2708,0.4658
2020-01-05 04:30:00-07:00,500.0,-3.9,87.6,0.59,715,9.564,0.2645,0.455
2020-01-05 05:30:00-07:00,500.0,-7.2,87.6,0.84,715,9.564,0.228,0.3923
2020-01-05 06:30:00-07:00,500.0,-8.3,87.6,0.84,715,9.564,0.2209,0.38
2020-01-05 07:30:00-07:00,500.0,-8.9,87.6,0.92,715,9.564,0.2134,0.3671
2020-01-05 08:30:00-07:00,500.0,-8.3,87.6,0.88,715,9.564,0.219,0.3768
2020-01-05 09:30:00-07:00,500.0,-4.4,87.7,0.78,715,9.564,0.2498,0.4297
2020-01-05 10:30:00-07:00,500.0,-2.8,87.7,0.72,715,9.564,0.2646,0.4551
2020-01-05 11:30:00-07:00,500.0,-1.7,87.6,0.66,715,9.564,0.2764,0.4755
2020-01-05 12:30:00-07:00,500.0,0.0,87.5,0.61,715,9.564,0.2927,0.5035
2020-01-05 13:30:00-07:00,500.0,1.7,87.5,0.52,715,9.564,0.3115,0.5358
2020-01-05 14:30:00-07:00,500.0,1.7,87.5,0.57,715,9.564,0.3077,0.5292
2020-01-05 15:30:00-07:00,500.0,2.8,87.5,0.5,715,9.564,0.3212,0.5525
2020-01-05 16:30:00-07:00,500.0,0.6,87.6,0.64,715,9.564,0.2947,0.5069
2020-01-05 17:30:00-07:00,500.0,-0.6,87.7,0.64,715,9.564,0.2858,0.4917
2020-01-05 18:30:00-07:00,500.0,0.0,87.7,0.56,715,9.564,0.2959,0.509
