datetime,Qe_nom,T_db,Patm,RH,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-08:00,500.0,12.2,100.8,0.93,715,9.564,0.3255,0.5599
2020-01-01 01:30:00-08:00,500.0,12.2,100.9,0.86,715,9.564,0.3327,0.5722
2020-01-01 02:30:00-08:00,500.0,11.7,100.8,0.86,715,9.564,0.33,0.5677
2020-01-01 03:30:00-08:00,500.0,11.1,100.8,0.9,715,9.564,0.3227,0.5552
2020-01-01 04:30:00-08:00,500.0,11.1,100.8,0.86,715,9.564,0.3267,0.562
2020-01-01 05:30:00-08:00,500.0,10.6,100.9,0.93,715,9.564,0.3171,0.5454
2020-01-01 06:30:00-08:00,500.0,10.0,101.0,0.96,715,9.564,0.311,0.5349
2020-01-01 07:30:00-08:00,500.0,10.6,101.0,0.93,715,9.564,0.317,0.5452
2020-01-01 08:30:00-08:00,500.0,12.8,101.1,0.83,715,9.564,0.3389,0.583
2020-01-01 09:30:00-08:00,500.0,13.3,101.1,0.83,715,9.564,0.3417,0.5877
2020-01-01 10:30:00-08:00,500.0,13.9,101.0,0.78,715,9.564,0.3507,0.6032
2020-01-01 11:30:00-08:00,500.0,14.4,100.9,0.78,715,9.564,0.3536,0.6082
2020-01-01 12:30:00-08:00,500.0,15.6,100.9,0.72,715,9.564,0.3676,0.6323
2020-01-01 13:30:00-08:00,500.0,15.6,100.9,0.78,715,9.564,0.3602,0.6195
2020-01-01 14:30:00-08:00,500.0,16.7,101.0,0.75,715,9.564,0.3698,0.6361
2020-01-01 15:30:00-08:00,500.0,16.7,101.0,0.75,715,9.564,0.3698,0.6361
2020-01-01 16:30:00-08:00,500.0,15.0,101.0,0.81,715,9.564,0.3532,0.6076
2020-01-01 17:30:00-08:00,500.0,15.0,101.1,0.78,715,9.564,0.3567,0.6136
2020-01-01 18:30:00-08:00,500.0,14.4,101.1,0.84,715,9.564,0.3464,0.5959
2020-01-01 19:30:00-08:00,500.0,14.4,101.1,0.84,715,9.564,0.3464,0.5959
2020-01-01 20:30:00-08:00,500.0,13.9,101.2,0.83,715,9.564,0.3448,0.5931
2020-01-01 21:30:00-08:00,500.0,12.8,101.2,0.86,715,9.564,0.3356,0.5773
2020-01-01 22:30:00-08:00,500.0,12.8,101.3,0.86,715,9.564,0.3355,0.5771
2020-01-01 23:30:00-08:00,500.0,12.2,101.3,0.86,715,9.564,0.3323,0.5715
2020-01-02 00:30:00-08:00,500.0,12.2,101.3,0.9,715,9.564,0.3281,0.5644
2020-01-02 01:30:00-08:00,500.0,11.7,101.3,0.93,715,9.564,0.3224,0.5546
2020-01-02 02:30:00-08:00,500.0,11.1,101.3,0.93,715,9.564,0.3193,0.5492
2020-01-02 03:30:00-08:00,500.0,11.7,101.3,0.96,715,9.564,0.3194,0.5495
2020-01-02 04:30:00-08:00,500.0,11.7,101.3,0.93,715,9.564,0.3224,0.5546
2020-01-02 05:30:00-08:00,500.0,11.7,101.3,0.93,715,9.564,0.3224,0.5546
2020-01-02 06:30:00-08:00,500.0,11.1,101.3,1.0,715,9.564,0.3125,0.5375
2020-01-02 07:30:00-08:00,500.0,11.1,101.4,0.96,715,9.564,0.3163,0.544
2020-01-02 08:30:00-08:00,500.0,11.7,101.5,0.96,715,9.564,0.3193,0.5492
2020-01-02 09:30:00-08:00,500.0,12.2,101.5,0.93,715,9.564,0.3248,0.5588
2020-01-02 10:30:00-08:00,500.0,12.8,101.4,0.93,715,9.564,0.328,0.5642
2020-01-02 11:30:00-08:00,500.0,12.8,101.3,1.0,715,9.564,0.3209,0.5519
2020-01-02 12:30:00-08:00,500.0,12.8,101.3,1.0,715,9.564,0.3209,0.5519
2020-01-02 13:30:00-08:00,500.0,12.8,101.3,1.0,715,9.564,0.3209,0.5519
2020-01-02 14:30:00-08:00,500.0,12.8,101.3,1.0,715,9.564,0.3209,0.5519
2020-01-02 15:30:00-08:00,500.0,12.8,101.2,1.0,715,9.564,0.3209,0.5521
2020-01-02 16:30:00-08:00,500.0,12.8,101.1,1.0,715,9.564,0.321,0.5522
2020-01-02 17:30:00-08:00,500.0,12.8,101.1,1.0,715,9.564,0.321,0.5522
2020-01-02 18:30:00-08:00,500.0,12.8,101.1,1.0,715,9.564,0.321,0.5522
2020-01-02 19:30:00-08:00,500.0,12.8,101.1,1.0,715,9.564,0.321,0.5522
2020-01-02 20:30:00-08:00,500.0,12.8,101.0,1.0,715,9.564,0.3211,0.5524
2020-01-02 21:30:00-08:00,500.0,12.8,101.0,1.0,715,9.564,0.3211,0.5524
2020-01-02 22:30:00-08:00,500.0,12.8,100.9,1.0,715,9.564,0.3212,0.5525
2020-01-02 23:30:00-08:00,500.0,12.8,100.7,1.0,715,9.564,0.3214,0.5528
2020-01-03 00:30:00-08:00,500.0,13.9,100.6,1.0,715,9.564,0.3267,0.562
2020-01-03 01:30:00-08:00,500.0,13.9,100.7,0.96,715,9.564,0.3309,0.5692
2020-01-03 02:30:00-08:00,500.0,13.3,100.7,0.9,715,9.564,0.3344,0.5752
2020-01-03 03:30:00-08:00,500.0,12.8,100.7,0.75,715,9.564,0.3481,0.5988
2020-01-03 04:30:00-08:00,500.0,11.7,100.7,0.64,715,9.564,0.3535,0.6081
2020-01-03 05:30:00-08:00,500.0,11.7,100.8,0.57,715,9.564,0.3612,0.6213
2020-01-03 06:30:00-08:00,500.0,11.7,100.9,0.51,715,9.564,0.3679,0.6328
2020-01-03 07:30:00-08:00,500.0,11.7,101.0,0.53,715,9.564,0.3655,0.6287
2020-01-03 08:30:00-08:00,500.0,12.8,101.1,0.49,715,9.564,0.3778,0.6499
2020-01-03 09:30:00-08:00,500.0,14.4,101.2,0.44,715,9.564,0.3956,0.6804
2020-01-03 10:30:00-08:00,500.0,14.4,101.2,0.51,715,9.564,0.3864,0.6647
2020-01-03 11:30:00-08:00,500.0,15.0,101.1,0.48,715,9.564,0.3947,0.6789
2020-01-03 12:30:00-08:00,500.0,15.0,101.0,0.54,715,9.564,0.3869,0.6654
2020-01-03 13:30:00-08:00,500.0,15.0,101.0,0.58,715,9.564,0.3817,0.6565
2020-01-03 14:30:00-08:00,500.0,15.0,101.0,0.6,715,9.564,0.3791,0.6521
2020-01-03 15:30:00-08:00,500.0,16.1,101.0,0.58,715,9.564,0.3887,0.6686
2020-01-03 16:30:00-08:00,500.0,15.6,101.1,0.62,715,9.564,0.3802,0.6539
