datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-06:00,500.0,-8.3,99.1,0.71,715,9.564,0.2148,0.3695,
2020-01-01 01:30:00-06:00,500.0,-7.8,99.1,0.71,715,9.564,0.2181,0.3752,
2020-01-01 02:30:00-06:00,500.0,-7.2,99.0,0.71,715,9.564,0.2222,0.3823,
2020-01-01 03:30:00-06:00,500.0,-6.7,98.9,0.71,715,9.564,0.2257,0.3882,
2020-01-01 04:30:00-06:00,500.0,-6.1,98.8,0.71,715,9.564,0.2298,0.3954,
2020-01-01 05:30:00-06:00,500.0,-6.1,98.8,0.71,715,9.564,0.2298,0.3954,
2020-01-01 06:30:00-06:00,500.0,-5.6,98.6,0.68,715,9.564,0.2349,0.4041,
2020-01-01 07:30:00-06:00,500.0,-5.0,98.5,0.65,715,9.564,0.2407,0.4141,
2020-01-01 08:30:00-06:00,500.0,-4.4,98.4,0.65,715,9.564,0.2451,0.4216,
2020-01-01 09:30:00-06:00,500.0,-3.3,98.4,0.62,715,9.564,0.2546,0.4379,
2020-01-01 10:30:00-06:00,500.0,-2.2,98.3,0.62,715,9.564,0.2627,0.4518,
2020-01-01 11:30:00-06:00,500.0,-1.7,98.1,0.63,715,9.564,0.266,0.4575,
2020-01-01 12:30:00-06:00,500.0,-0.6,97.9,0.66,715,9.564,0.2724,0.4686,
2020-01-01 13:30:00-06:00,500.0,0.0,97.8,0.69,715,9.564,0.2751,0.4732,
2020-01-01 14:30:00-06:00,500.0,0.6,97.9,0.76,715,9.564,0.2744,0.4721,
2020-01-01 15:30:00-06:00,500.0,0.6,97.8,0.87,715,9.564,0.2675,0.4601,
2020-01-01 16:30:00-06:00,500.0,0.6,97.8,0.87,715,9.564,0.2675,0.4601,
2020-01-01 17:30:00-06:00,500.0,0.6,97.9,0.87,715,9.564,0.2674,0.4599,
2020-01-01 18:30:00-06:00,500.0,0.6,97.9,0.87,715,9.564,0.2674,0.4599,
2020-01-01 19:30:00-06:00,500.0,0.0,97.9,0.87,715,9.564,0.2637,0.4536,
2020-01-01 20:30:00-06:00,500.0,-1.1,97.9,0.91,715,9.564,0.2537,0.4364,
2020-01-01 21:30:00-06:00,500.0,-1.7,98.0,0.96,715,9.564,0.2467,0.4244,
2020-01-01 22:30:00-06:00,500.0,-2.2,98.0,0.95,715,9.564,0.244,0.4197,
2020-01-01 23:30:00-06:00,500.0,-3.9,98.0,0.96,715,9.564,0.2324,0.3998,
2020-01-02 00:30:00-06:00,500.0,-4.4,97.9,0.95,715,9.564,0.2299,0.3954,
2020-01-02 01:30:00-06:00,500.0,-4.4,98.0,1.0,715,9.564,0.2272,0.3908,
2020-01-02 02:30:00-06:00,500.0,-5.6,97.9,0.96,715,9.564,0.2218,0.3815,
2020-01-02 03:30:00-06:00,500.0,-6.1,97.9,0.95,715,9.564,0.2192,0.377,
2020-01-02 04:30:00-06:00,500.0,-5.0,97.8,0.91,715,9.564,0.2282,0.3925,
2020-01-02 05:30:00-06:00,500.0,-3.9,97.8,0.91,715,9.564,0.2353,0.4047,
2020-01-02 06:30:00-06:00,500.0,-3.9,97.7,0.96,715,9.564,0.2327,0.4003,
2020-01-02 07:30:00-06:00,500.0,-3.3,97.7,0.95,715,9.564,0.2371,0.4079,
2020-01-02 08:30:00-06:00,500.0,-2.2,97.6,0.91,715,9.564,0.2467,0.4243,
2020-01-02 09:30:00-06:00,500.0,-1.7,97.6,0.91,715,9.564,0.25,0.43,
2020-01-02 10:30:00-06:00,500.0,-1.1,97.5,0.91,715,9.564,0.2541,0.4371,
2020-01-02 11:30:00-06:00,500.0,0.0,97.3,0.87,715,9.564,0.2643,0.4547,
2020-01-02 12:30:00-06:00,500.0,1.7,97.1,0.81,715,9.564,0.279,0.4799,
2020-01-02 13:30:00-06:00,500.0,1.7,97.0,0.84,715,9.564,0.2771,0.4766,
2020-01-02 14:30:00-06:00,500.0,1.7,97.0,0.84,715,9.564,0.2771,0.4766,
2020-01-02 15:30:00-06:00,500.0,1.7,97.0,0.84,715,9.564,0.2771,0.4766,
2020-01-02 16:30:00-06:00,500.0,1.7,97.0,0.84,715,9.564,0.2771,0.4766,
2020-01-02 17:30:00-06:00,500.0,2.2,97.1,0.81,715,9.564,0.2821,0.4853,
2020-01-02 18:30:00-06:00,500.0,1.7,97.3,0.84,715,9.564,0.2767,0.476,
2020-01-02 19:30:00-06:00,500.0,1.7,97.3,0.84,715,9.564,0.2767,0.476,
2020-01-02 20:30:00-06:00,500.0,-1.7,97.5,0.8,715,9.564,0.2565,0.4412,
2020-01-02 21:30:00-06:00,500.0,-2.2,97.6,0.75,715,9.564,0.2558,0.4401,
2020-01-02 22:30:00-06:00,500.0,-5.0,97.7,0.68,715,9.564,0.24,0.4129,
2020-01-02 23:30:00-06:00,500.0,-7.2,97.9,0.64,715,9.564,0.2266,0.3898,
2020-01-03 00:30:00-06:00,500.0,-8.3,98.0,0.64,715,9.564,0.219,0.3767,
2020-01-03 01:30:00-06:00,500.0,-9.4,98.1,0.7,715,9.564,0.209,0.3595,
2020-01-03 02:30:00-06:00,500.0,-10.6,98.2,0.67,715,9.564,0.2022,0.3478,
2020-01-03 03:30:00-06:00,500.0,-11.1,98.2,0.66,715,9.564,0.1993,0.3428,
2020-01-03 04:30:00-06:00,500.0,-11.7,98.2,0.67,715,9.564,0.195,0.3355,
2020-01-03 05:30:00-06:00,500.0,-11.7,98.5,0.63,715,9.564,0.1962,0.3375,
2020-01-03 06:30:00-06:00,500.0,-12.2,98.5,0.63,715,9.564,0.1929,0.3319,
2020-01-03 07:30:00-06:00,500.0,-12.8,98.6,0.67,715,9.564,0.1876,0.3227,
2020-01-03 08:30:00-06:00,500.0,-12.2,98.7,0.63,715,9.564,0.1927,0.3315,
2020-01-03 09:30:00-06:00,500.0,-11.7,98.8,0.63,715,9.564,0.1959,0.337,
2020-01-03 10:30:00-06:00,500.0,-10.6,98.9,0.57,715,9.564,0.2054,0.3532,
2020-01-03 11:30:00-06:00,500.0,-10.0,98.9,0.54,715,9.564,0.2106,0.3623,
2020-01-03 12:30:00-06:00,500.0,-8.3,98.9,0.49,715,9.564,0.2246,0.3864,
2020-01-03 13:30:00-06:00,500.0,-7.8,98.9,0.5,715,9.564,0.2277,0.3918,
2020-01-03 14:30:00-06:00,500.0,-7.8,98.9,0.5,715,9.564,0.2277,0.3918,
2020-01-03 15:30:00-06:00,500.0,-8.3,99.0,0.52,715,9.564,0.2232,0.3839,
2020-01-03 16:30:00-06:00,500.0,-9.4,99.0,0.54,715,9.564,0.2147,0.3692,
2020-01-03 17:30:00-06:00,500.0,-9.4,99.1,0.54,715,9.564,0.2146,0.3691,
2020-01-03 18:30:00-06:00,500.0,-10.0,99.1,0.52,715,9.564,0.2112,0.3633,
2020-01-03 19:30:00-06:00,500.0,-10.6,99.2,0.52,715,9.564,0.207,0.356,
2020-01-03 20:30:00-06:00,500.0,-11.1,99.3,0.52,715,9.564,0.2035,0.35,
2020-01-03 21:30:00-06:00,500.0,-11.1,99.3,0.49,715,9.564,0.2046,0.3519,
2020-01-03 22:30:00-06:00,500.0,-11.7,99.3,0.51,715,9.564,0.1997,0.3436,
2020-01-03 23:30:00-06:00,500.0,-12.2,99.4,0.48,715,9.564,0.1973,0.3394,
2020-01-04 00:30:00-06:00,500.0,-12.8,99.3,0.51,715,9.564,0.1923,0.3308,
2020-01-04 01:30:00-06:00,500.0,-12.8,99.3,0.54,715,9.564,0.1913,0.3291,
2020-01-04 02:30:00-06:00,500.0,-13.3,99.4,0.53,715,9.564,0.1882,0.3238,
2020-01-04 03:30:00-06:00,500.0,-13.9,99.3,0.56,715,9.564,0.1834,0.3155,
2020-01-04 04:30:00-06:00,500.0,-15.0,99.2,0.59,715,9.564,0.1755,0.302,
2020-01-04 05:30:00-06:00,500.0,-15.6,99.5,0.62,715,9.564,0.1706,0.2935,
2020-01-04 06:30:00-06:00,500.0,-15.6,99.4,0.62,715,9.564,0.1707,0.2937,
2020-01-04 07:30:00-06:00,500.0,-16.1,99.5,0.65,715,9.564,0.1667,0.2867,
2020-01-04 08:30:00-06:00,500.0,-15.6,99.6,0.62,715,9.564,0.1705,0.2933,
2020-01-04 09:30:00-06:00,500.0,-15.0,99.6,0.62,715,9.564,0.1743,0.2998,
2020-01-04 10:30:00-06:00,500.0,-14.4,99.5,0.63,715,9.564,0.1779,0.3059,
2020-01-04 11:30:00-06:00,500.0,-13.9,99.5,0.6,715,9.564,0.182,0.313,
2020-01-04 12:30:00-06:00,500.0,-13.9,99.3,0.6,715,9.564,0.1822,0.3133,
2020-01-04 13:30:00-06:00,500.0,-13.3,99.3,0.57,715,9.564,0.187,0.3217,
2020-01-04 14:30:00-06:00,500.0,-13.3,99.3,0.53,715,9.564,0.1883,0.324,
2020-01-04 15:30:00-06:00,500.0,-13.3,99.4,0.48,715,9.564,0.1899,0.3266,
2020-01-04 16:30:00-06:00,500.0,-13.3,99.4,0.43,715,9.564,0.1915,0.3295,
2020-01-04 17:30:00-06:00,500.0,-13.3,99.6,0.5,715,9.564,0.189,0.3252,
2020-01-04 18:30:00-06:00,500.0,-13.9,99.5,0.66,715,9.564,0.1801,0.3098,
2020-01-04 19:30:00-06:00,500.0,-14.4,99.5,0.73,715,9.564,0.1748,0.3007,
2020-01-04 20:30:00-06:00,500.0,-15.0,99.5,0.73,715,9.564,0.1711,0.2944,
2020-01-04 21:30:00-06:00,500.0,-15.0,99.6,0.73,715,9.564,0.171,0.2942,
2020-01-04 22:30:00-06:00,500.0,-15.0,99.6,0.73,715,9.564,0.171,0.2942,
2020-01-04 23:30:00-06:00,500.0,-15.6,99.7,0.78,715,9.564,0.1659,0.2854,
2020-01-05 00:30:00-06:00,500.0,-15.6,99.6,0.73,715,9.564,0.1674,0.288,
2020-01-05 01:30:00-06:00,500.0,-16.7,99.6,0.66,715,9.564,0.1627,0.2798,
2020-01-05 02:30:00-06:00,500.0,-18.3,99.7,0.55,715,9.564,0.1556,0.2677,
2020-01-05 03:30:00-06:00,500.0,-20.0,99.7,0.55,715,9.564,0.1454,0.2501,
2020-01-05 04:30:00-06:00,500.0,-20.0,99.7,0.55,715,9.564,0.1454,0.2501,
2020-01-05 05:30:00-06:00,500.0,-20.6,99.9,0.61,715,9.564,0.1405,0.2417,
2020-01-05 06:30:00-06:00,500.0,-20.6,99.8,0.61,715,9.564,0.1406,0.2418,
2020-01-05 07:30:00-06:00,500.0,-21.1,99.8,0.64,715,9.564,0.1372,0.236,
2020-01-05 08:30:00-06:00,500.0,-20.6,99.9,0.55,715,9.564,0.1417,0.2438,
2020-01-05 09:30:00-06:00,500.0,-19.4,100.0,0.49,715,9.564,0.1501,0.2581,
2020-01-05 10:30:00-06:00,500.0,-19.4,100.0,0.49,715,9.564,0.1501,0.2581,
2020-01-05 11:30:00-06:00,500.0,-18.9,100.0,0.47,715,9.564,0.1536,0.2641,
2020-01-05 12:30:00-06:00,500.0,-18.9,99.8,0.47,715,9.564,0.1537,0.2644,
2020-01-05 13:30:00-06:00,500.0,-18.9,99.8,0.47,715,9.564,0.1537,0.2644,
2020-01-05 14:30:00-06:00,500.0,-18.9,99.8,0.49,715,9.564,0.1533,0.2637,
2020-01-05 15:30:00-06:00,500.0,-19.4,99.8,0.49,715,9.564,0.1502,0.2584,
2020-01-05 16:30:00-06:00,500.0,-20.0,99.8,0.52,715,9.564,0.146,0.2511,
