datetime,Qe_nom,T_db,Patm,RH,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-07:00,500.0,10.0,97.7,0.74,715,9.564,0.3356,0.5773
2020-01-01 01:30:00-07:00,500.0,8.9,97.7,0.8,715,9.564,0.3232,0.5559
2020-01-01 02:30:00-07:00,500.0,8.9,97.7,0.8,715,9.564,0.3232,0.5559
2020-01-01 03:30:00-07:00,500.0,8.9,97.7,0.77,715,9.564,0.326,0.5608
2020-01-01 04:30:00-07:00,500.0,8.3,97.8,0.8,715,9.564,0.3195,0.5496
2020-01-01 05:30:00-07:00,500.0,7.8,97.8,0.79,715,9.564,0.3174,0.546
2020-01-01 06:30:00-07:00,500.0,7.2,97.8,0.82,715,9.564,0.3112,0.5352
2020-01-01 07:30:00-07:00,500.0,7.8,97.9,0.79,715,9.564,0.3173,0.5458
2020-01-01 08:30:00-07:00,500.0,8.3,98.0,0.76,715,9.564,0.323,0.5556
2020-01-01 09:30:00-07:00,500.0,11.7,98.0,0.59,715,9.564,0.3622,0.623
2020-01-01 10:30:00-07:00,500.0,15.0,98.1,0.42,715,9.564,0.4065,0.6993
2020-01-01 11:30:00-07:00,500.0,16.7,98.0,0.38,715,9.564,0.4252,0.7314
2020-01-01 12:30:00-07:00,500.0,16.7,97.9,0.38,715,9.564,0.4253,0.7316
2020-01-01 13:30:00-07:00,500.0,17.8,97.8,0.37,715,9.564,0.4353,0.7488
2020-01-01 14:30:00-07:00,500.0,17.8,97.8,0.37,715,9.564,0.4353,0.7488
2020-01-01 15:30:00-07:00,500.0,18.3,97.8,0.34,715,9.564,0.444,0.7638
2020-01-01 16:30:00-07:00,500.0,18.9,97.8,0.33,715,9.564,0.4504,0.7747
2020-01-01 17:30:00-07:00,500.0,17.2,97.9,0.36,715,9.564,0.4322,0.7435
2020-01-01 18:30:00-07:00,500.0,15.0,97.9,0.45,715,9.564,0.4026,0.6926
2020-01-01 19:30:00-07:00,500.0,15.0,97.9,0.44,715,9.564,0.404,0.6949
2020-01-01 20:30:00-07:00,500.0,14.4,97.9,0.46,715,9.564,0.397,0.6828
2020-01-01 21:30:00-07:00,500.0,13.3,98.0,0.49,715,9.564,0.3851,0.6624
2020-01-01 22:30:00-07:00,500.0,13.9,98.0,0.42,715,9.564,0.3985,0.6855
2020-01-01 23:30:00-07:00,500.0,12.8,97.9,0.43,715,9.564,0.3891,0.6694
2020-01-02 00:30:00-07:00,500.0,13.3,97.9,0.42,715,9.564,0.3941,0.678
2020-01-02 01:30:00-07:00,500.0,12.8,97.9,0.41,715,9.564,0.3917,0.6737
2020-01-02 02:30:00-07:00,500.0,12.8,98.0,0.39,715,9.564,0.3941,0.6779
2020-01-02 03:30:00-07:00,500.0,12.8,98.0,0.38,715,9.564,0.3954,0.68
2020-01-02 04:30:00-07:00,500.0,11.1,98.0,0.42,715,9.564,0.3775,0.6493
2020-01-02 05:30:00-07:00,500.0,11.1,97.9,0.42,715,9.564,0.3776,0.6495
2020-01-02 06:30:00-07:00,500.0,12.8,98.0,0.34,715,9.564,0.4005,0.6889
2020-01-02 07:30:00-07:00,500.0,12.2,98.1,0.36,715,9.564,0.3931,0.6761
2020-01-02 08:30:00-07:00,500.0,12.8,98.2,0.34,715,9.564,0.4002,0.6884
2020-01-02 09:30:00-07:00,500.0,15.0,98.2,0.3,715,9.564,0.4235,0.7285
2020-01-02 10:30:00-07:00,500.0,16.1,98.2,0.28,715,9.564,0.4356,0.7492
2020-01-02 11:30:00-07:00,500.0,17.2,98.1,0.25,715,9.564,0.4497,0.7736
2020-01-02 12:30:00-07:00,500.0,17.2,98.1,0.22,715,9.564,0.4547,0.7821
2020-01-02 13:30:00-07:00,500.0,17.2,98.0,0.25,715,9.564,0.4499,0.7738
2020-01-02 14:30:00-07:00,500.0,18.3,98.0,0.23,715,9.564,0.4627,0.7958
2020-01-02 15:30:00-07:00,500.0,18.3,97.9,0.23,715,9.564,0.4628,0.7961
2020-01-02 16:30:00-07:00,500.0,17.8,98.0,0.25,715,9.564,0.4549,0.7825
2020-01-02 17:30:00-07:00,500.0,16.7,98.0,0.28,715,9.564,0.4408,0.7582
2020-01-02 18:30:00-07:00,500.0,16.1,98.0,0.3,715,9.564,0.4327,0.7444
2020-01-02 19:30:00-07:00,500.0,14.4,98.0,0.34,715,9.564,0.4132,0.7108
2020-01-02 20:30:00-07:00,500.0,13.9,97.9,0.35,715,9.564,0.408,0.7019
2020-01-02 21:30:00-07:00,500.0,12.2,97.9,0.39,715,9.564,0.3896,0.6701
2020-01-02 22:30:00-07:00,500.0,12.2,97.9,0.39,715,9.564,0.3896,0.6701
2020-01-02 23:30:00-07:00,500.0,11.7,97.8,0.44,715,9.564,0.3799,0.6534
2020-01-03 00:30:00-07:00,500.0,11.7,97.8,0.41,715,9.564,0.3834,0.6596
2020-01-03 01:30:00-07:00,500.0,11.1,97.8,0.44,715,9.564,0.3754,0.6457
2020-01-03 02:30:00-07:00,500.0,11.1,97.8,0.42,715,9.564,0.3777,0.6497
2020-01-03 03:30:00-07:00,500.0,11.1,97.8,0.42,715,9.564,0.3777,0.6497
2020-01-03 04:30:00-07:00,500.0,10.0,97.9,0.5,715,9.564,0.3605,0.6201
2020-01-03 05:30:00-07:00,500.0,10.0,97.8,0.5,715,9.564,0.3606,0.6203
2020-01-03 06:30:00-07:00,500.0,10.0,97.8,0.47,715,9.564,0.3639,0.6259
2020-01-03 07:30:00-07:00,500.0,10.6,97.9,0.46,715,9.564,0.3693,0.6352
2020-01-03 08:30:00-07:00,500.0,12.2,98.0,0.41,715,9.564,0.387,0.6657
2020-01-03 09:30:00-07:00,500.0,15.0,98.1,0.33,715,9.564,0.4193,0.7212
2020-01-03 10:30:00-07:00,500.0,16.1,98.1,0.3,715,9.564,0.4326,0.7441
2020-01-03 11:30:00-07:00,500.0,17.2,97.9,0.28,715,9.564,0.4451,0.7656
2020-01-03 12:30:00-07:00,500.0,17.2,97.8,0.28,715,9.564,0.4452,0.7658
2020-01-03 13:30:00-07:00,500.0,17.8,97.7,0.27,715,9.564,0.452,0.7774
2020-01-03 14:30:00-07:00,500.0,18.3,97.7,0.28,715,9.564,0.4544,0.7816
2020-01-03 15:30:00-07:00,500.0,18.3,97.7,0.28,715,9.564,0.4544,0.7816
2020-01-03 16:30:00-07:00,500.0,18.3,97.7,0.28,715,9.564,0.4544,0.7816
2020-01-03 17:30:00-07:00,500.0,17.2,97.7,0.31,715,9.564,0.4405,0.7576
2020-01-03 18:30:00-07:00,500.0,17.2,97.7,0.31,715,9.564,0.4405,0.7576
2020-01-03 19:30:00-07:00,500.0,15.6,97.7,0.37,715,9.564,0.4187,0.7202
2020-01-03 20:30:00-07:00,500.0,13.9,97.7,0.44,715,9.564,0.3962,0.6816
2020-01-03 21:30:00-07:00,500.0,14.4,97.8,0.39,715,9.564,0.4066,0.6993
2020-01-03 22:30:00-07:00,500.0,11.7,97.8,0.52,715,9.564,0.3704,0.6372
2020-01-03 23:30:00-07:00,500.0,12.2,97.7,0.45,715,9.564,0.3825,0.6579
2020-01-04 00:30:00-07:00,500.0,11.1,97.7,0.5,715,9.564,0.3686,0.6341
2020-01-04 01:30:00-07:00,500.0,10.6,97.8,0.5,715,9.564,0.3649,0.6277
2020-01-04 02:30:00-07:00,500.0,10.0,97.8,0.54,715,9.564,0.3563,0.6129
2020-01-04 03:30:00-07:00,500.0,8.9,97.7,0.61,715,9.564,0.3417,0.5877
2020-01-04 04:30:00-07:00,500.0,7.8,97.8,0.65,715,9.564,0.3303,0.5682
2020-01-04 05:30:00-07:00,500.0,7.8,97.7,0.65,715,9.564,0.3305,0.5684
2020-01-04 06:30:00-07:00,500.0,7.2,97.7,0.68,715,9.564,0.3238,0.5569
2020-01-04 07:30:00-07:00,500.0,7.2,97.8,0.65,715,9.564,0.3264,0.5614
2020-01-04 08:30:00-07:00,500.0,8.9,97.9,0.63,715,9.564,0.3394,0.5839
2020-01-04 09:30:00-07:00,500.0,11.1,98.0,0.54,715,9.564,0.3637,0.6257
2020-01-04 10:30:00-07:00,500.0,12.2,98.1,0.5,715,9.564,0.376,0.6467
2020-01-04 11:30:00-07:00,500.0,13.9,98.0,0.45,715,9.564,0.3945,0.6787
2020-01-04 12:30:00-07:00,500.0,16.1,97.9,0.39,715,9.564,0.4193,0.7212
2020-01-04 13:30:00-07:00,500.0,17.2,97.9,0.36,715,9.564,0.4322,0.7435
2020-01-04 14:30:00-07:00,500.0,18.3,97.9,0.33,715,9.564,0.4456,0.7665
2020-01-04 15:30:00-07:00,500.0,18.9,97.9,0.32,715,9.564,0.452,0.7775
2020-01-04 16:30:00-07:00,500.0,18.9,97.9,0.3,715,9.564,0.4555,0.7835
2020-01-04 17:30:00-07:00,500.0,17.2,97.9,0.34,715,9.564,0.4354,0.7489
2020-01-04 18:30:00-07:00,500.0,16.1,98.0,0.36,715,9.564,0.4236,0.7287
2020-01-04 19:30:00-07:00,500.0,15.0,98.1,0.39,715,9.564,0.4107,0.7065
2020-01-04 20:30:00-07:00,500.0,14.4,98.2,0.44,715,9.564,0.3993,0.6868
2020-01-04 21:30:00-07:00,500.0,12.2,98.2,0.5,715,9.564,0.3758,0.6465
2020-01-04 22:30:00-07:00,500.0,11.1,98.4,0.57,715,9.564,0.3599,0.6191
2020-01-04 23:30:00-07:00,500.0,9.4,98.3,0.63,715,9.564,0.3423,0.5888
2020-01-05 00:30:00-07:00,500.0,10.0,98.3,0.58,715,9.564,0.3515,0.6046
2020-01-05 01:30:00-07:00,500.0,9.4,98.4,0.61,715,9.564,0.3442,0.5921
2020-01-05 02:30:00-07:00,500.0,8.3,98.4,0.65,715,9.564,0.333,0.5727
2020-01-05 03:30:00-07:00,500.0,7.2,98.5,0.63,715,9.564,0.3274,0.5631
2020-01-05 04:30:00-07:00,500.0,7.8,98.6,0.5,715,9.564,0.3437,0.5912
2020-01-05 05:30:00-07:00,500.0,6.7,98.6,0.57,715,9.564,0.3293,0.5664
2020-01-05 06:30:00-07:00,500.0,6.7,98.7,0.54,715,9.564,0.3319,0.5709
2020-01-05 07:30:00-07:00,500.0,6.1,98.7,0.62,715,9.564,0.3206,0.5515
2020-01-05 08:30:00-07:00,500.0,10.6,98.8,0.31,715,9.564,0.3853,0.6627
2020-01-05 09:30:00-07:00,500.0,11.7,98.9,0.31,715,9.564,0.3942,0.678
2020-01-05 10:30:00-07:00,500.0,13.9,98.9,0.27,715,9.564,0.4177,0.7184
2020-01-05 11:30:00-07:00,500.0,15.6,98.8,0.22,715,9.564,0.4397,0.7564
2020-01-05 12:30:00-07:00,500.0,16.7,98.7,0.16,715,9.564,0.4594,0.7901
2020-01-05 13:30:00-07:00,500.0,17.8,98.6,0.15,715,9.564,0.4714,0.8109
2020-01-05 14:30:00-07:00,500.0,17.2,98.6,0.16,715,9.564,0.4641,0.7983
2020-01-05 15:30:00-07:00,500.0,17.2,98.7,0.16,715,9.564,0.464,0.7981
2020-01-05 16:30:00-07:00,500.0,17.2,98.6,0.17,715,9.564,0.4624,0.7954
2020-01-05 17:30:00-07:00,500.0,15.6,98.6,0.21,715,9.564,0.4415,0.7595
2020-01-05 18:30:00-07:00,500.0,14.4,98.6,0.22,715,9.564,0.4295,0.7388
2020-01-05 19:30:00-07:00,500.0,12.8,98.7,0.31,715,9.564,0.4034,0.694
2020-01-05 20:30:00-07:00,500.0,12.2,98.7,0.3,715,9.564,0.3998,0.6877
2020-01-05 21:30:00-07:00,500.0,12.2,98.6,0.3,715,9.564,0.3999,0.6879
2020-01-05 22:30:00-07:00,500.0,10.0,98.7,0.39,715,9.564,0.3715,0.639
2020-01-05 23:30:00-07:00,500.0,9.4,98.6,0.39,715,9.564,0.367,0.6312
2020-01-06 00:30:00-07:00,500.0,8.3,98.5,0.42,715,9.564,0.3555,0.6115
2020-01-06 01:30:00-07:00,500.0,7.8,98.5,0.4,715,9.564,0.3536,0.6083
2020-01-06 02:30:00-07:00,500.0,7.2,98.5,0.46,715,9.564,0.3432,0.5904
2020-01-06 03:30:00-07:00,500.0,7.8,98.6,0.38,715,9.564,0.3555,0.6115
2020-01-06 04:30:00-07:00,500.0,6.1,98.6,0.47,715,9.564,0.3339,0.5744
2020-01-06 05:30:00-07:00,500.0,5.6,98.5,0.49,715,9.564,0.3286,0.5652
2020-01-06 06:30:00-07:00,500.0,5.6,98.5,0.49,715,9.564,0.3286,0.5652
2020-01-06 07:30:00-07:00,500.0,6.1,98.6,0.47,715,9.564,0.3339,0.5744
2020-01-06 08:30:00-07:00,500.0,6.7,98.7,0.45,715,9.564,0.3401,0.5851
2020-01-06 09:30:00-07:00,500.0,8.9,98.7,0.41,715,9.564,0.3609,0.6207
2020-01-06 10:30:00-07:00,500.0,12.2,98.8,0.3,715,9.564,0.3997,0.6875
2020-01-06 11:30:00-07:00,500.0,14.4,98.7,0.24,715,9.564,0.4265,0.7336
2020-01-06 12:30:00-07:00,500.0,15.6,98.5,0.24,715,9.564,0.4371,0.7518
2020-01-06 13:30:00-07:00,500.0,16.7,98.5,0.21,715,9.564,0.4514,0.7764
2020-01-06 14:30:00-07:00,500.0,18.3,98.5,0.17,715,9.564,0.4726,0.8129
2020-01-06 15:30:00-07:00,500.0,18.3,98.5,0.17,715,9.564,0.4726,0.8129
2020-01-06 16:30:00-07:00,500.0,18.9,98.5,0.17,715,9.564,0.4781,0.8223
2020-01-06 17:30:00-07:00,500.0,17.2,98.5,0.19,715,9.564,0.4592,0.7898
2020-01-06 18:30:00-07:00,500.0,15.6,98.5,0.24,715,9.564,0.4371,0.7518
2020-01-06 19:30:00-07:00,500.0,13.9,98.5,0.3,715,9.564,0.4141,0.7122
2020-01-06 20:30:00-07:00,500.0,12.8,98.5,0.38,715,9.564,0.3947,0.6789
2020-01-06 21:30:00-07:00,500.0,11.7,98.6,0.41,715,9.564,0.3824,0.6578
2020-01-06 22:30:00-07:00,500.0,11.1,98.6,0.4,715,9.564,0.379,0.6519
2020-01-06 23:30:00-07:00,500.0,10.0,98.5,0.45,715,9.564,0.3652,0.6281
2020-01-07 00:30:00-07:00,500.0,9.4,98.5,0.45,715,9.564,0.3607,0.6204
2020-01-07 01:30:00-07:00,500.0,9.4,98.5,0.47,715,9.564,0.3586,0.6168
2020-01-07 02:30:00-07:00,500.0,8.9,98.5,0.49,715,9.564,0.3528,0.6069
2020-01-07 03:30:00-07:00,500.0,8.3,98.5,0.46,715,9.564,0.3514,0.6045
2020-01-07 04:30:00-07:00,500.0,7.2,98.5,0.55,715,9.564,0.3348,0.5758
2020-01-07 05:30:00-07:00,500.0,7.2,98.5,0.55,715,9.564,0.3348,0.5758
2020-01-07 06:30:00-07:00,500.0,7.2,98.5,0.57,715,9.564,0.3329,0.5726
2020-01-07 07:30:00-07:00,500.0,6.7,98.5,0.59,715,9.564,0.3276,0.5635
2020-01-07 08:30:00-07:00,500.0,8.3,98.6,0.51,715,9.564,0.3463,0.5957
2020-01-07 09:30:00-07:00,500.0,11.7,98.6,0.37,715,9.564,0.3872,0.6661
2020-01-07 10:30:00-07:00,500.0,13.9,98.7,0.32,715,9.564,0.4111,0.7071
2020-01-07 11:30:00-07:00,500.0,16.7,98.6,0.29,715,9.564,0.4384,0.7541
2020-01-07 12:30:00-07:00,500.0,18.3,98.4,0.27,715,9.564,0.4551,0.7829
2020-01-07 13:30:00-07:00,500.0,20.0,98.3,0.24,715,9.564,0.4749,0.8169
2020-01-07 14:30:00-07:00,500.0,21.1,98.3,0.23,715,9.564,0.4861,0.8362
2020-01-07 15:30:00-07:00,500.0,22.2,98.2,0.23,715,9.564,0.4956,0.8524
2020-01-07 16:30:00-07:00,500.0,21.7,98.1,0.25,715,9.564,0.4874,0.8384
2020-01-07 17:30:00-07:00,500.0,20.0,98.1,0.27,715,9.564,0.4695,0.8076
2020-01-07 18:30:00-07:00,500.0,18.9,98.2,0.3,715,9.564,0.4551,0.7828
2020-01-07 19:30:00-07:00,500.0,17.2,98.2,0.36,715,9.564,0.4318,0.7428
2020-01-07 20:30:00-07:00,500.0,16.7,98.2,0.38,715,9.564,0.4249,0.7309
2020-01-07 21:30:00-07:00,500.0,14.4,98.2,0.44,715,9.564,0.3993,0.6868
2020-01-07 22:30:00-07:00,500.0,15.0,98.3,0.42,715,9.564,0.4063,0.6988
2020-01-07 23:30:00-07:00,500.0,13.3,98.1,0.49,715,9.564,0.385,0.6622
2020-01-08 00:30:00-07:00,500.0,12.8,98.1,0.48,715,9.564,0.3827,0.6582
