datetime,Qe_nom,T_db,Patm,RH,Wcomp_kW,Wct_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-06:00,500,-5.2,96.4,0.92,83.05,3.284,86.34,0.0983,0.002248
2020-01-01 01:30:00-06:00,500,-5.4,96.4,0.92,83.05,3.284,86.34,0.0976,0.002232
2020-01-01 02:30:00-06:00,500,-5.6,96.3,0.92,83.05,3.284,86.34,0.09696,0.002218
2020-01-01 03:30:00-06:00,500,-5.8,96.3,0.92,83.05,3.284,86.34,0.09628,0.002202
2020-01-01 04:30:00-06:00,500,-5.9,96.3,0.92,83.05,3.284,86.34,0.09593,0.002194
2020-01-01 05:30:00-06:00,500,-6.1,96.2,0.92,83.05,3.284,86.34,0.0953,0.00218
2020-01-01 06:30:00-06:00,500,-6.1,96.3,0.92,83.05,3.284,86.34,0.09525,0.002179
2020-01-01 07:30:00-06:00,500,-6.1,96.3,0.92,83.05,3.284,86.34,0.09525,0.002179
2020-01-01 08:30:00-06:00,500,-6.1,96.3,0.92,83.05,3.284,86.34,0.09525,0.002179
2020-01-01 09:30:00-06:00,500,-5.9,96.3,0.92,83.05,3.284,86.34,0.09593,0.002194
2020-01-01 10:30:00-06:00,500,-5.8,96.3,0.92,83.05,3.284,86.34,0.09628,0.002202
2020-01-01 11:30:00-06:00,500,-5.6,96.2,0.92,83.05,3.284,86.34,0.09701,0.002219
2020-01-01 12:30:00-06:00,500,-5.6,96.2,0.92,83.05,3.284,86.34,0.09701,0.002219
2020-01-01 13:30:00-06:00,500,-5.6,96.2,0.92,83.05,3.284,86.34,0.09701,0.002219
2020-01-01 14:30:00-06:00,500,-5.6,96.2,0.92,83.05,3.284,86.34,0.09701,0.002219
2020-01-01 15:30:00-06:00,500,-6.0,96.2,0.91,83.05,3.284,86.34,0.0961,0.002198
2020-01-01 16:30:00-06:00,500,-6.3,96.3,0.89,83.05,3.284,86.34,0.09591,0.002194
2020-01-01 17:30:00-06:00,500,-6.7,96.3,0.88,83.05,3.284,86.34,0.09497,0.002172
2020-01-01 18:30:00-06:00,500,-7.4,96.4,0.87,83.05,3.284,86.34,0.09294,0.002126
2020-01-01 19:30:00-06:00,500,-8.2,96.5,0.85,83.05,3.284,86.34,0.09098,0.002081
2020-01-01 20:30:00-06:00,500,-8.9,96.5,0.84,83.05,3.284,86.34,0.08899,0.002035
2020-01-01 21:30:00-06:00,500,-9.3,96.6,0.84,83.05,3.284,86.34,0.08758,0.002003
2020-01-01 22:30:00-06:00,500,-9.6,96.6,0.84,83.05,3.284,86.34,0.08657,0.00198
2020-01-01 23:30:00-06:00,500,-10.0,96.7,0.84,83.05,3.284,86.34,0.08518,0.001948
2020-01-02 00:30:00-06:00,500,-10.4,96.7,0.83,83.05,3.284,86.34,0.08421,0.001926
2020-01-02 01:30:00-06:00,500,-10.7,96.8,0.81,83.05,3.284,86.34,0.08388,0.001918
2020-01-02 02:30:00-06:00,500,-11.1,96.8,0.8,83.05,3.284,86.34,0.08298,0.001898
2020-01-02 03:30:00-06:00,500,-12.0,96.9,0.81,83.05,3.284,86.34,0.0799,0.001827
2020-01-02 04:30:00-06:00,500,-13.0,96.9,0.82,83.05,3.284,86.34,0.07661,0.001752
2020-01-02 05:30:00-06:00,500,-13.9,97.0,0.83,83.05,3.284,86.34,0.07363,0.001684
2020-01-02 06:30:00-06:00,500,-14.1,97.1,0.83,83.05,3.284,86.34,0.073,0.00167
2020-01-02 07:30:00-06:00,500,-14.2,97.1,0.83,83.05,3.284,86.34,0.07271,0.001663
2020-01-02 08:30:00-06:00,500,-14.4,97.2,0.83,83.05,3.284,86.34,0.07208,0.001649
2020-01-02 09:30:00-06:00,500,-13.1,97.2,0.8,83.05,3.284,86.34,0.0768,0.001757
2020-01-02 10:30:00-06:00,500,-11.9,97.2,0.76,83.05,3.284,86.34,0.08174,0.00187
2020-01-02 11:30:00-06:00,500,-10.6,97.3,0.73,83.05,3.284,86.34,0.08682,0.001986
2020-01-02 12:30:00-06:00,500,-9.5,97.3,0.69,83.05,3.284,86.34,0.09226,0.00211
2020-01-02 13:30:00-06:00,500,-8.3,97.3,0.66,83.05,3.284,86.34,0.09794,0.00224
2020-01-02 14:30:00-06:00,500,-7.2,97.3,0.62,83.05,3.284,86.34,0.1039,0.002377
2020-01-02 15:30:00-06:00,500,-8.5,97.3,0.67,83.05,3.284,86.34,0.09678,0.002213
2020-01-02 16:30:00-06:00,500,-9.8,97.4,0.72,83.05,3.284,86.34,0.08998,0.002058
2020-01-02 17:30:00-06:00,500,-11.1,97.4,0.77,83.05,3.284,86.34,0.08375,0.001915
2020-01-02 18:30:00-06:00,500,-12.4,97.5,0.79,83.05,3.284,86.34,0.07907,0.001808
