datetime,Qe,T_db,Patm,RH,Wcomp_kW,Wct_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-07:00,500,-16.7,88.2,0.96,83.05,3.284,86.34,0.06631,0.001516
2020-01-01 01:30:00-07:00,500,-16.7,88.2,0.91,83.05,3.284,86.34,0.06764,0.001547
2020-01-01 02:30:00-07:00,500,-15.6,88.1,0.87,83.05,3.284,86.34,0.07191,0.001645
2020-01-01 03:30:00-07:00,500,-17.2,88.1,0.87,83.05,3.284,86.34,0.06733,0.00154
2020-01-01 04:30:00-07:00,500,-14.4,88.1,0.91,83.05,3.284,86.34,0.07414,0.001696
2020-01-01 05:30:00-07:00,500,-14.4,88.0,0.87,83.05,3.284,86.34,0.07543,0.001725
2020-01-01 06:30:00-07:00,500,-16.7,87.9,0.91,83.05,3.284,86.34,0.06778,0.00155
2020-01-01 07:30:00-07:00,500,-16.7,87.9,0.87,83.05,3.284,86.34,0.06885,0.001575
2020-01-01 08:30:00-07:00,500,-15.0,87.8,0.83,83.05,3.284,86.34,0.075,0.001715
2020-01-01 09:30:00-07:00,500,-11.1,87.7,0.84,83.05,3.284,86.34,0.08634,0.001975
2020-01-01 10:30:00-07:00,500,-11.7,87.6,0.84,83.05,3.284,86.34,0.08461,0.001935
2020-01-01 11:30:00-07:00,500,-9.4,87.4,0.74,83.05,3.284,86.34,0.09615,0.002199
2020-01-01 12:30:00-07:00,500,-7.2,87.2,0.65,83.05,3.284,86.34,0.1087,0.002486
2020-01-01 13:30:00-07:00,500,-5.0,87.2,0.6,83.05,3.284,86.34,0.1204,0.002753
2020-01-01 14:30:00-07:00,500,-3.3,87.1,0.55,83.05,3.284,86.34,0.1307,0.00299
2020-01-01 15:30:00-07:00,500,-3.3,87.1,0.6,83.05,3.284,86.34,0.1279,0.002925
2020-01-01 16:30:00-07:00,500,-3.3,87.1,0.66,83.05,3.284,86.34,0.1245,0.002847
2020-01-01 17:30:00-07:00,500,-6.7,87.1,0.81,83.05,3.284,86.34,0.1032,0.00236
2020-01-01 18:30:00-07:00,500,-4.4,87.2,0.78,83.05,3.284,86.34,0.1134,0.002593
