datetime,Qe_nom,T_db,Patm,RH,Wcomp_kW,Wct_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-06:00,500,2.8,101.6,0.93,83.05,3.284,86.34,0.1231,0.002815
2020-01-01 01:30:00-06:00,500,2.8,101.6,0.93,83.05,3.284,86.34,0.1231,0.002815
2020-01-01 02:30:00-06:00,500,2.2,101.6,0.96,83.05,3.284,86.34,0.1193,0.002729
2020-01-01 03:30:00-06:00,500,1.7,101.7,0.92,83.05,3.284,86.34,0.1201,0.002747
2020-01-01 04:30:00-06:00,500,1.7,101.7,0.96,83.05,3.284,86.34,0.1177,0.002692
2020-01-01 05:30:00-06:00,500,1.1,101.7,0.96,83.05,3.284,86.34,0.1158,0.002649
2020-01-01 06:30:00-06:00,500,1.7,101.8,0.92,83.05,3.284,86.34,0.1201,0.002746
2020-01-01 07:30:00-06:00,500,1.1,101.9,0.96,83.05,3.284,86.34,0.1157,0.002646
2020-01-01 08:30:00-06:00,500,6.7,101.9,0.83,83.05,3.284,86.34,0.1428,0.003267
2020-01-01 09:30:00-06:00,500,10.6,102.1,0.72,83.05,3.284,86.34,0.1658,0.003793
2020-01-01 10:30:00-06:00,500,12.8,102.0,0.51,83.05,3.284,86.34,0.196,0.004483
2020-01-01 11:30:00-06:00,500,14.4,102.0,0.44,83.05,3.284,86.34,0.2114,0.004835
2020-01-01 12:30:00-06:00,500,16.7,101.9,0.4,83.05,3.284,86.34,0.2276,0.005206
2020-01-01 13:30:00-06:00,500,17.2,101.8,0.33,83.05,3.284,86.34,0.24,0.005488
2020-01-01 14:30:00-06:00,500,16.7,101.8,0.31,83.05,3.284,86.34,0.2401,0.005491
2020-01-01 15:30:00-06:00,500,16.7,101.8,0.31,83.05,3.284,86.34,0.2401,0.005491
2020-01-01 16:30:00-06:00,500,15.0,101.8,0.38,83.05,3.284,86.34,0.2219,0.005075
2020-01-01 17:30:00-06:00,500,11.7,101.8,0.49,83.05,3.284,86.34,0.1933,0.004422
2020-01-01 18:30:00-06:00,500,7.2,101.9,0.71,83.05,3.284,86.34,0.1542,0.003526
2020-01-01 19:30:00-06:00,500,6.1,102.0,0.76,83.05,3.284,86.34,0.1461,0.00334
2020-01-01 20:30:00-06:00,500,6.7,102.0,0.68,83.05,3.284,86.34,0.1546,0.003536
2020-01-01 21:30:00-06:00,500,4.4,102.0,0.82,83.05,3.284,86.34,0.1356,0.003101
2020-01-01 22:30:00-06:00,500,5.0,102.1,0.73,83.05,3.284,86.34,0.1442,0.003297
2020-01-01 23:30:00-06:00,500,3.3,102.1,0.86,83.05,3.284,86.34,0.129,0.002951
2020-01-02 00:30:00-06:00,500,5.0,102.0,0.76,83.05,3.284,86.34,0.142,0.003248
2020-01-02 01:30:00-06:00,500,2.2,102.1,0.89,83.05,3.284,86.34,0.1234,0.002822
2020-01-02 02:30:00-06:00,500,3.3,102.0,0.79,83.05,3.284,86.34,0.1337,0.003059
2020-01-02 03:30:00-06:00,500,2.8,102.0,0.82,83.05,3.284,86.34,0.13,0.002973
2020-01-02 04:30:00-06:00,500,2.2,102.0,0.82,83.05,3.284,86.34,0.1279,0.002924
2020-01-02 05:30:00-06:00,500,1.1,101.9,0.85,83.05,3.284,86.34,0.1222,0.002795
2020-01-02 06:30:00-06:00,500,1.7,101.9,0.82,83.05,3.284,86.34,0.1261,0.002885
2020-01-02 07:30:00-06:00,500,2.2,102.0,0.85,83.05,3.284,86.34,0.126,0.002881
2020-01-02 08:30:00-06:00,500,5.6,102.0,0.73,83.05,3.284,86.34,0.1465,0.00335
2020-01-02 09:30:00-06:00,500,8.3,102.0,0.58,83.05,3.284,86.34,0.1695,0.003877
2020-01-02 10:30:00-06:00,500,10.0,102.0,0.54,83.05,3.284,86.34,0.1806,0.004129
2020-01-02 11:30:00-06:00,500,12.2,101.8,0.53,83.05,3.284,86.34,0.1913,0.004376
2020-01-02 12:30:00-06:00,500,13.9,101.7,0.53,83.05,3.284,86.34,0.1988,0.004547
2020-01-02 13:30:00-06:00,500,13.3,101.6,0.57,83.05,3.284,86.34,0.1919,0.004388
2020-01-02 14:30:00-06:00,500,13.9,101.4,0.58,83.05,3.284,86.34,0.1934,0.004422
2020-01-02 15:30:00-06:00,500,13.3,101.4,0.62,83.05,3.284,86.34,0.1865,0.004267
2020-01-02 16:30:00-06:00,500,12.2,101.4,0.69,83.05,3.284,86.34,0.175,0.004004
2020-01-02 17:30:00-06:00,500,11.1,101.3,0.8,83.05,3.284,86.34,0.1606,0.003672
2020-01-02 18:30:00-06:00,500,10.6,101.2,0.83,83.05,3.284,86.34,0.1562,0.003573
2020-01-02 19:30:00-06:00,500,10.6,101.2,0.86,83.05,3.284,86.34,0.1535,0.003511
2020-01-02 20:30:00-06:00,500,11.7,101.2,0.83,83.05,3.284,86.34,0.1598,0.003654
2020-01-02 21:30:00-06:00,500,11.7,101.2,0.9,83.05,3.284,86.34,0.1532,0.003504
2020-01-02 22:30:00-06:00,500,12.2,101.2,0.86,83.05,3.284,86.34,0.1585,0.003625
2020-01-02 23:30:00-06:00,500,11.7,101.2,0.9,83.05,3.284,86.34,0.1532,0.003504
2020-01-03 00:30:00-06:00,500,11.7,101.1,0.93,83.05,3.284,86.34,0.1505,0.003442
2020-01-03 01:30:00-06:00,500,11.7,101.1,0.96,83.05,3.284,86.34,0.1478,0.00338
2020-01-03 02:30:00-06:00,500,12.8,101.0,0.93,83.05,3.284,86.34,0.1537,0.003515
2020-01-03 03:30:00-06:00,500,13.3,101.0,0.93,83.05,3.284,86.34,0.1551,0.003546
2020-01-03 04:30:00-06:00,500,13.9,100.9,0.97,83.05,3.284,86.34,0.1528,0.003495
2020-01-03 05:30:00-06:00,500,14.4,100.9,0.97,83.05,3.284,86.34,0.1541,0.003525
2020-01-03 06:30:00-06:00,500,15.0,100.9,0.9,83.05,3.284,86.34,0.1628,0.003724
2020-01-03 07:30:00-06:00,500,15.6,101.0,0.87,83.05,3.284,86.34,0.1676,0.003833
2020-01-03 08:30:00-06:00,500,15.0,101.0,0.81,83.05,3.284,86.34,0.1723,0.00394
2020-01-03 09:30:00-06:00,500,12.2,101.1,0.67,83.05,3.284,86.34,0.1773,0.004054
2020-01-03 10:30:00-06:00,500,12.2,101.2,0.57,83.05,3.284,86.34,0.1875,0.004289
2020-01-03 11:30:00-06:00,500,13.9,101.1,0.55,83.05,3.284,86.34,0.1969,0.004504
2020-01-03 12:30:00-06:00,500,13.3,101.1,0.57,83.05,3.284,86.34,0.1922,0.004396
2020-01-03 13:30:00-06:00,500,11.1,101.1,0.64,83.05,3.284,86.34,0.176,0.004026
2020-01-03 14:30:00-06:00,500,9.4,101.2,0.74,83.05,3.284,86.34,0.1602,0.003664
2020-01-03 15:30:00-06:00,500,8.9,101.2,0.8,83.05,3.284,86.34,0.1532,0.003504
2020-01-03 16:30:00-06:00,500,8.9,101.3,0.8,83.05,3.284,86.34,0.1531,0.003502
2020-01-03 17:30:00-06:00,500,8.3,101.4,0.8,83.05,3.284,86.34,0.151,0.003454
2020-01-03 18:30:00-06:00,500,8.3,101.5,0.71,83.05,3.284,86.34,0.1586,0.003626
2020-01-03 19:30:00-06:00,500,8.3,101.7,0.68,83.05,3.284,86.34,0.161,0.003682
2020-01-03 20:30:00-06:00,500,8.3,101.7,0.68,83.05,3.284,86.34,0.161,0.003682
2020-01-03 21:30:00-06:00,500,8.3,101.7,0.66,83.05,3.284,86.34,0.1627,0.003722
2020-01-03 22:30:00-06:00,500,7.8,101.6,0.63,83.05,3.284,86.34,0.1634,0.003736
2020-01-03 23:30:00-06:00,500,7.2,101.6,0.66,83.05,3.284,86.34,0.1584,0.003624
2020-01-04 00:30:00-06:00,500,6.7,101.6,0.68,83.05,3.284,86.34,0.1548,0.003541
2020-01-04 01:30:00-06:00,500,7.2,101.7,0.66,83.05,3.284,86.34,0.1584,0.003622
2020-01-04 02:30:00-06:00,500,5.0,101.7,0.76,83.05,3.284,86.34,0.1422,0.003252
2020-01-04 03:30:00-06:00,500,5.6,101.7,0.73,83.05,3.284,86.34,0.1467,0.003354
2020-01-04 04:30:00-06:00,500,5.0,101.8,0.7,83.05,3.284,86.34,0.1465,0.003352
2020-01-04 05:30:00-06:00,500,3.9,101.8,0.76,83.05,3.284,86.34,0.1381,0.003158
2020-01-04 06:30:00-06:00,500,4.4,101.9,0.73,83.05,3.284,86.34,0.142,0.003248
2020-01-04 07:30:00-06:00,500,3.9,102.0,0.76,83.05,3.284,86.34,0.138,0.003156
2020-01-04 08:30:00-06:00,500,4.4,102.0,0.73,83.05,3.284,86.34,0.142,0.003247
2020-01-04 09:30:00-06:00,500,5.0,102.1,0.7,83.05,3.284,86.34,0.1464,0.003348
2020-01-04 10:30:00-06:00,500,6.7,102.2,0.65,83.05,3.284,86.34,0.1569,0.003588
2020-01-04 11:30:00-06:00,500,7.8,102.1,0.63,83.05,3.284,86.34,0.163,0.003729
