datetime,Qe,T_db,Patm,RH,Wcomp_kW,Wct_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-08:00,500,7.2,102.2,0.9,83.05,3.284,86.34,0.1389,0.003177
2020-01-01 01:30:00-08:00,500,7.2,102.1,0.9,83.05,3.284,86.34,0.139,0.003178
2020-01-01 02:30:00-08:00,500,6.7,102.2,0.89,83.05,3.284,86.34,0.1381,0.003158
2020-01-01 03:30:00-08:00,500,6.1,102.2,0.93,83.05,3.284,86.34,0.1332,0.003046
2020-01-01 04:30:00-08:00,500,4.4,102.2,0.97,83.05,3.284,86.34,0.1251,0.002862
2020-01-01 05:30:00-08:00,500,4.4,102.2,0.97,83.05,3.284,86.34,0.1251,0.002862
2020-01-01 06:30:00-08:00,500,6.1,102.2,0.89,83.05,3.284,86.34,0.1362,0.003114
2020-01-01 07:30:00-08:00,500,5.0,102.2,0.86,83.05,3.284,86.34,0.1347,0.003081
2020-01-01 08:30:00-08:00,500,7.8,102.3,0.82,83.05,3.284,86.34,0.1472,0.003366
2020-01-01 09:30:00-08:00,500,8.9,102.3,0.86,83.05,3.284,86.34,0.1475,0.003374
2020-01-01 10:30:00-08:00,500,9.4,102.3,0.86,83.05,3.284,86.34,0.1491,0.00341
2020-01-01 11:30:00-08:00,500,10.0,102.2,0.83,83.05,3.284,86.34,0.1537,0.003516
2020-01-01 12:30:00-08:00,500,10.6,102.2,0.83,83.05,3.284,86.34,0.1557,0.00356
2020-01-01 13:30:00-08:00,500,11.1,102.1,0.83,83.05,3.284,86.34,0.1573,0.003599
2020-01-01 14:30:00-08:00,500,13.9,102.0,0.53,83.05,3.284,86.34,0.1986,0.004542
2020-01-01 15:30:00-08:00,500,13.9,102.1,0.47,83.05,3.284,86.34,0.2054,0.004699
2020-01-01 16:30:00-08:00,500,11.1,102.1,0.74,83.05,3.284,86.34,0.1658,0.003791
2020-01-01 17:30:00-08:00,500,11.1,102.1,0.69,83.05,3.284,86.34,0.1705,0.0039
2020-01-01 18:30:00-08:00,500,10.6,102.1,0.58,83.05,3.284,86.34,0.1792,0.004098
2020-01-01 19:30:00-08:00,500,10.6,102.2,0.61,83.05,3.284,86.34,0.1762,0.00403
2020-01-01 20:30:00-08:00,500,8.9,102.2,0.66,83.05,3.284,86.34,0.1648,0.003769
2020-01-01 21:30:00-08:00,500,9.4,102.2,0.61,83.05,3.284,86.34,0.1713,0.003918
2020-01-01 22:30:00-08:00,500,7.8,102.2,0.76,83.05,3.284,86.34,0.1521,0.003479
2020-01-01 23:30:00-08:00,500,6.7,102.2,0.82,83.05,3.284,86.34,0.1435,0.003281
2020-01-02 00:30:00-08:00,500,8.9,102.2,0.83,83.05,3.284,86.34,0.1501,0.003433
2020-01-02 01:30:00-08:00,500,6.1,102.2,0.79,83.05,3.284,86.34,0.1437,0.003286
