datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-07:00,1000.0,2.8,84.3,0.42,10,1450,0.4533,0.6938,1.086
2020-01-01 01:30:00-07:00,1000.0,2.2,84.3,0.42,10,1450,0.4533,0.6828,1.069
2020-01-01 02:30:00-07:00,1000.0,1.7,84.4,0.44,10,1450,0.4533,0.6685,1.046
2020-01-01 03:30:00-07:00,1000.0,0.0,84.4,0.52,10,1450,0.4533,0.6207,0.9713
2020-01-01 04:30:00-07:00,1000.0,-1.1,84.4,0.56,10,1450,0.4533,0.5922,0.9268
2020-01-01 05:30:00-07:00,1000.0,0.0,84.5,0.54,10,1450,0.4533,0.6161,0.9642
2020-01-01 06:30:00-07:00,1000.0,-1.1,84.5,0.58,10,1450,0.4533,0.5879,0.9201
2020-01-01 07:30:00-07:00,1000.0,-1.7,84.6,0.61,10,1450,0.4533,0.5711,0.8938
2020-01-01 08:30:00-07:00,1000.0,2.2,84.6,0.5,10,1450,0.4533,0.6626,1.037
2020-01-01 09:30:00-07:00,1000.0,5.0,84.7,0.41,10,1450,0.4533,0.7359,1.152
2020-01-01 10:30:00-07:00,1000.0,8.3,84.7,0.34,10,1450,0.4533,0.8202,1.284
2020-01-01 11:30:00-07:00,1000.0,10.6,84.6,0.31,10,1450,0.4533,0.8768,1.372
2020-01-01 12:30:00-07:00,1000.0,13.3,84.5,0.27,10,1450,0.4533,0.9484,1.484
2020-01-01 13:30:00-07:00,1000.0,15.6,84.4,0.21,10,1450,0.4533,1.026,1.605
2020-01-01 14:30:00-07:00,1000.0,16.1,84.4,0.2,10,1450,0.4533,1.042,1.63
2020-01-01 15:30:00-07:00,1000.0,15.6,84.4,0.22,10,1450,0.4533,1.021,1.597
2020-01-01 16:30:00-07:00,1000.0,11.7,84.4,0.27,10,1450,0.4533,0.9156,1.433
2020-01-01 17:30:00-07:00,1000.0,7.8,84.5,0.36,10,1450,0.4533,0.8046,1.259
2020-01-01 18:30:00-07:00,1000.0,6.7,84.5,0.38,10,1450,0.4533,0.7773,1.216
2020-01-01 19:30:00-07:00,1000.0,7.8,84.6,0.39,10,1450,0.4533,0.7946,1.244
2020-01-01 20:30:00-07:00,1000.0,7.2,84.6,0.4,10,1450,0.4533,0.7802,1.221
2020-01-01 21:30:00-07:00,1000.0,7.2,84.6,0.4,10,1450,0.4533,0.7802,1.221
2020-01-01 22:30:00-07:00,1000.0,5.0,84.6,0.45,10,1450,0.4533,0.7251,1.135
2020-01-01 23:30:00-07:00,1000.0,2.2,84.6,0.55,10,1450,0.4533,0.6508,1.019
2020-01-02 00:30:00-07:00,1000.0,1.1,84.6,0.59,10,1450,0.4533,0.6234,0.9757
2020-01-02 01:30:00-07:00,1000.0,0.6,84.5,0.61,10,1450,0.4533,0.6112,0.9566
2020-01-02 02:30:00-07:00,1000.0,-1.1,84.5,0.66,10,1450,0.4533,0.572,0.8951
2020-01-02 03:30:00-07:00,1000.0,-1.7,84.5,0.69,10,1450,0.4533,0.5559,0.87
2020-01-02 04:30:00-07:00,1000.0,-2.2,84.5,0.72,10,1450,0.4533,0.5419,0.848
2020-01-02 05:30:00-07:00,1000.0,-4.4,84.4,0.85,10,1450,0.4533,0.4844,0.7581
2020-01-02 06:30:00-07:00,1000.0,-3.3,84.4,0.78,10,1450,0.4533,0.5134,0.8035
2020-01-02 07:30:00-07:00,1000.0,-2.2,84.5,0.75,10,1450,0.4533,0.5363,0.8392
2020-01-02 08:30:00-07:00,1000.0,1.1,84.5,0.62,10,1450,0.4533,0.6171,0.9658
2020-01-02 09:30:00-07:00,1000.0,4.4,84.5,0.51,10,1450,0.4533,0.6987,1.093
2020-01-02 10:30:00-07:00,1000.0,7.8,84.5,0.4,10,1450,0.4533,0.7917,1.239
2020-01-02 11:30:00-07:00,1000.0,10.6,84.3,0.33,10,1450,0.4533,0.8704,1.362
2020-01-02 12:30:00-07:00,1000.0,12.8,84.2,0.3,10,1450,0.4533,0.9264,1.45
2020-01-02 13:30:00-07:00,1000.0,13.9,84.1,0.28,10,1450,0.4533,0.9578,1.499
2020-01-02 14:30:00-07:00,1000.0,14.4,84.1,0.27,10,1450,0.4533,0.9726,1.522
2020-01-02 15:30:00-07:00,1000.0,14.4,84.1,0.27,10,1450,0.4533,0.9726,1.522
2020-01-02 16:30:00-07:00,1000.0,11.1,84.1,0.34,10,1450,0.4533,0.8771,1.373
2020-01-02 17:30:00-07:00,1000.0,7.2,84.1,0.44,10,1450,0.4533,0.7695,1.204
2020-01-02 18:30:00-07:00,1000.0,3.9,84.1,0.53,10,1450,0.4533,0.6862,1.074
2020-01-02 19:30:00-07:00,1000.0,3.9,84.1,0.53,10,1450,0.4533,0.6862,1.074
2020-01-02 20:30:00-07:00,1000.0,2.8,84.1,0.57,10,1450,0.4533,0.6577,1.029
2020-01-02 21:30:00-07:00,1000.0,2.8,84.2,0.59,10,1450,0.4533,0.6525,1.021
2020-01-02 22:30:00-07:00,1000.0,2.8,84.2,0.57,10,1450,0.4533,0.6574,1.029
2020-01-02 23:30:00-07:00,1000.0,1.7,84.2,0.64,10,1450,0.4533,0.6232,0.9753
2020-01-03 00:30:00-07:00,1000.0,1.7,84.2,0.73,10,1450,0.4533,0.6031,0.9438
2020-01-03 01:30:00-07:00,1000.0,1.1,84.2,0.7,10,1450,0.4533,0.6006,0.9399
2020-01-03 02:30:00-07:00,1000.0,0.6,84.3,0.7,10,1450,0.4533,0.5927,0.9275
2020-01-03 03:30:00-07:00,1000.0,0.0,84.3,0.72,10,1450,0.4533,0.5794,0.9068
