datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-05:00,1000.0,12.2,98.8,0.75,10,1450,0.4533,0.709,1.11
2020-01-01 01:30:00-05:00,1000.0,12.8,98.8,0.72,10,1450,0.4533,0.7268,1.137
2020-01-01 02:30:00-05:00,1000.0,12.2,98.8,0.77,10,1450,0.4533,0.7027,1.1
2020-01-01 03:30:00-05:00,1000.0,11.7,98.8,0.83,10,1450,0.4533,0.6777,1.061
2020-01-01 04:30:00-05:00,1000.0,11.7,98.7,0.83,10,1450,0.4533,0.6779,1.061
2020-01-01 05:30:00-05:00,1000.0,11.1,98.7,0.9,10,1450,0.4533,0.6498,1.017
2020-01-01 06:30:00-05:00,1000.0,11.1,98.7,0.9,10,1450,0.4533,0.6498,1.017
2020-01-01 07:30:00-05:00,1000.0,11.1,98.8,0.9,10,1450,0.4533,0.6496,1.017
2020-01-01 08:30:00-05:00,1000.0,11.7,98.8,0.9,10,1450,0.4533,0.6566,1.028
2020-01-01 09:30:00-05:00,1000.0,12.2,98.8,0.9,10,1450,0.4533,0.6625,1.037
2020-01-01 10:30:00-05:00,1000.0,12.8,98.8,0.9,10,1450,0.4533,0.6694,1.048
2020-01-01 11:30:00-05:00,1000.0,13.9,98.8,0.9,10,1450,0.4533,0.6818,1.067
2020-01-01 12:30:00-05:00,1000.0,13.9,98.7,0.93,10,1450,0.4533,0.6724,1.052
2020-01-01 13:30:00-05:00,1000.0,12.8,98.7,0.97,10,1450,0.4533,0.6482,1.014
2020-01-01 14:30:00-05:00,1000.0,12.8,98.6,0.97,10,1450,0.4533,0.6484,1.015
2020-01-01 15:30:00-05:00,1000.0,8.9,98.7,0.96,10,1450,0.4533,0.6074,0.9506
2020-01-01 16:30:00-05:00,1000.0,7.2,98.7,0.96,10,1450,0.4533,0.5875,0.9194
2020-01-01 17:30:00-05:00,1000.0,6.7,98.8,0.96,10,1450,0.4533,0.5813,0.9097
2020-01-01 18:30:00-05:00,1000.0,6.7,98.8,0.93,10,1450,0.4533,0.5885,0.921
2020-01-01 19:30:00-05:00,1000.0,6.7,98.8,0.93,10,1450,0.4533,0.5885,0.921
2020-01-01 20:30:00-05:00,1000.0,6.1,98.8,0.93,10,1450,0.4533,0.5811,0.9095
2020-01-01 21:30:00-05:00,1000.0,5.6,98.8,0.93,10,1450,0.4533,0.5749,0.8997
2020-01-01 22:30:00-05:00,1000.0,5.0,98.8,0.89,10,1450,0.4533,0.5765,0.9022
2020-01-01 23:30:00-05:00,1000.0,4.4,98.9,0.93,10,1450,0.4533,0.5597,0.8759
2020-01-02 00:30:00-05:00,1000.0,3.9,98.9,0.93,10,1450,0.4533,0.5533,0.866
2020-01-02 01:30:00-05:00,1000.0,3.9,98.9,0.93,10,1450,0.4533,0.5533,0.866
2020-01-02 02:30:00-05:00,1000.0,3.9,99.0,0.89,10,1450,0.4533,0.5617,0.8791
2020-01-02 03:30:00-05:00,1000.0,3.3,98.9,0.89,10,1450,0.4533,0.5541,0.8672
2020-01-02 04:30:00-05:00,1000.0,3.3,98.9,0.89,10,1450,0.4533,0.5541,0.8672
2020-01-02 05:30:00-05:00,1000.0,3.3,98.9,0.89,10,1450,0.4533,0.5541,0.8672
2020-01-02 06:30:00-05:00,1000.0,3.3,99.0,0.86,10,1450,0.4533,0.5602,0.8767
2020-01-02 07:30:00-05:00,1000.0,3.3,99.1,0.89,10,1450,0.4533,0.5537,0.8665
2020-01-02 08:30:00-05:00,1000.0,3.9,99.2,0.89,10,1450,0.4533,0.5613,0.8784
2020-01-02 09:30:00-05:00,1000.0,5.6,99.2,0.83,10,1450,0.4533,0.5974,0.935
2020-01-02 10:30:00-05:00,1000.0,6.7,99.2,0.8,10,1450,0.4533,0.6196,0.9697
2020-01-02 11:30:00-05:00,1000.0,7.2,99.2,0.74,10,1450,0.4533,0.6419,1.005
2020-01-02 12:30:00-05:00,1000.0,7.8,99.1,0.58,10,1450,0.4533,0.694,1.086
2020-01-02 13:30:00-05:00,1000.0,8.9,99.1,0.56,10,1450,0.4533,0.7175,1.123
2020-01-02 14:30:00-05:00,1000.0,8.3,99.1,0.58,10,1450,0.4533,0.7021,1.099
2020-01-02 15:30:00-05:00,1000.0,8.3,99.0,0.58,10,1450,0.4533,0.7023,1.099
2020-01-02 16:30:00-05:00,1000.0,8.3,99.1,0.61,10,1450,0.4533,0.6936,1.086
2020-01-02 17:30:00-05:00,1000.0,7.2,99.1,0.66,10,1450,0.4533,0.663,1.038
2020-01-02 18:30:00-05:00,1000.0,7.2,99.0,0.66,10,1450,0.4533,0.6633,1.038
2020-01-02 19:30:00-05:00,1000.0,6.7,99.1,0.68,10,1450,0.4533,0.6503,1.018
2020-01-02 20:30:00-05:00,1000.0,6.1,99.1,0.68,10,1450,0.4533,0.6412,1.004
2020-01-02 21:30:00-05:00,1000.0,6.1,99.1,0.65,10,1450,0.4533,0.6488,1.015
2020-01-02 22:30:00-05:00,1000.0,5.6,99.0,0.68,10,1450,0.4533,0.634,0.9921
2020-01-02 23:30:00-05:00,1000.0,5.0,99.0,0.7,10,1450,0.4533,0.6201,0.9705
2020-01-03 00:30:00-05:00,1000.0,5.0,99.0,0.7,10,1450,0.4533,0.6201,0.9705
2020-01-03 01:30:00-05:00,1000.0,5.0,98.9,0.73,10,1450,0.4533,0.6133,0.9598
2020-01-03 02:30:00-05:00,1000.0,4.4,98.9,0.82,10,1450,0.4533,0.5841,0.9141
