datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
2020-01-01 00:30:00-05:00,100.0,3.3,99.6,0.96,1,145,84.61,0.05379
2020-01-01 01:30:00-05:00,100.0,2.2,99.7,0.96,1,145,84.61,0.0524
2020-01-01 02:30:00-05:00,100.0,1.1,100.0,0.96,1,145,84.61,0.05094
2020-01-01 03:30:00-05:00,100.0,1.1,100.0,0.96,1,145,84.61,0.05094
2020-01-01 04:30:00-05:00,100.0,1.7,100.1,0.92,1,145,84.61,0.05245
2020-01-01 05:30:00-05:00,100.0,1.7,100.4,0.96,1,145,84.61,0.05162
2020-01-01 06:30:00-05:00,100.0,2.2,100.5,0.92,1,145,84.61,0.05301
2020-01-01 07:30:00-05:00,100.0,2.2,100.8,0.92,1,145,84.61,0.05295
2020-01-01 08:30:00-05:00,100.0,2.2,101.1,0.89,1,145,84.61,0.05348
2020-01-01 09:30:00-05:00,100.0,2.2,101.2,0.85,1,145,84.61,0.05425
2020-01-01 10:30:00-05:00,100.0,2.8,101.2,0.76,1,145,84.61,0.05692
2020-01-01 11:30:00-05:00,100.0,3.3,101.2,0.67,1,145,84.61,0.05958
2020-01-01 12:30:00-05:00,100.0,4.4,101.2,0.65,1,145,84.61,0.06172
2020-01-01 13:30:00-05:00,100.0,5.0,101.3,0.62,1,145,84.61,0.06334
2020-01-01 14:30:00-05:00,100.0,5.0,101.4,0.62,1,145,84.61,0.06331
2020-01-01 15:30:00-05:00,100.0,4.4,101.5,0.68,1,145,84.61,0.06096
2020-01-01 16:30:00-05:00,100.0,2.8,101.6,0.7,1,145,84.61,0.05808
2020-01-01 17:30:00-05:00,100.0,2.2,101.7,0.7,1,145,84.61,0.05716
2020-01-01 18:30:00-05:00,100.0,1.1,101.7,0.73,1,145,84.61,0.05492
2020-01-01 19:30:00-05:00,100.0,1.1,101.7,0.73,1,145,84.61,0.05492
2020-01-01 20:30:00-05:00,100.0,-0.6,101.8,0.75,1,145,84.61,0.05193
2020-01-01 21:30:00-05:00,100.0,-1.1,101.8,0.78,1,145,84.61,0.05061
2020-01-01 22:30:00-05:00,100.0,-2.2,101.9,0.82,1,145,84.61,0.04821
2020-01-01 23:30:00-05:00,100.0,-2.8,101.9,0.81,1,145,84.61,0.04746
2020-01-02 00:30:00-05:00,100.0,-2.2,102.0,0.85,1,145,84.61,0.0477
2020-01-02 01:30:00-05:00,100.0,-2.2,102.0,0.82,1,145,84.61,0.04819
2020-01-02 02:30:00-05:00,100.0,-2.8,102.0,0.85,1,145,84.61,0.0468
2020-01-02 03:30:00-05:00,100.0,-3.9,102.0,0.85,1,145,84.61,0.04519
2020-01-02 04:30:00-05:00,100.0,-3.9,102.0,0.85,1,145,84.61,0.04519
2020-01-02 05:30:00-05:00,100.0,-2.8,102.0,0.78,1,145,84.61,0.04793
2020-01-02 06:30:00-05:00,100.0,-3.3,102.1,0.72,1,145,84.61,0.04809
2020-01-02 07:30:00-05:00,100.0,-3.9,102.2,0.72,1,145,84.61,0.04714
2020-01-02 08:30:00-05:00,100.0,-2.2,102.2,0.72,1,145,84.61,0.0498
2020-01-02 09:30:00-05:00,100.0,-1.7,102.3,0.63,1,145,84.61,0.05211
2020-01-02 10:30:00-05:00,100.0,-1.7,102.2,0.63,1,145,84.61,0.05213
2020-01-02 11:30:00-05:00,100.0,-1.1,102.1,0.64,1,145,84.61,0.05298
2020-01-02 12:30:00-05:00,100.0,-0.6,102.1,0.61,1,145,84.61,0.05436
2020-01-02 13:30:00-05:00,100.0,0.0,102.0,0.59,1,145,84.61,0.05579
2020-01-02 14:30:00-05:00,100.0,0.0,102.0,0.61,1,145,84.61,0.05542
2020-01-02 15:30:00-05:00,100.0,0.0,102.0,0.61,1,145,84.61,0.05542
2020-01-02 16:30:00-05:00,100.0,0.0,102.0,0.61,1,145,84.61,0.05542
2020-01-02 17:30:00-05:00,100.0,0.0,102.0,0.64,1,145,84.61,0.05487
2020-01-02 18:30:00-05:00,100.0,-0.6,101.9,0.66,1,145,84.61,0.05351
2020-01-02 19:30:00-05:00,100.0,-1.7,101.8,0.72,1,145,84.61,0.05069
2020-01-02 20:30:00-05:00,100.0,-1.1,101.8,0.69,1,145,84.61,0.05218
2020-01-02 21:30:00-05:00,100.0,-0.6,101.7,0.75,1,145,84.61,0.05196
2020-01-02 22:30:00-05:00,100.0,0.0,101.6,0.75,1,145,84.61,0.05295
2020-01-02 23:30:00-05:00,100.0,0.0,101.5,0.79,1,145,84.61,0.05225
2020-01-03 00:30:00-05:00,100.0,1.1,101.4,0.79,1,145,84.61,0.05384
2020-01-03 01:30:00-05:00,100.0,2.2,101.3,0.79,1,145,84.61,0.05543
2020-01-03 02:30:00-05:00,100.0,2.8,101.3,0.79,1,145,84.61,0.05628
2020-01-03 03:30:00-05:00,100.0,2.8,101.2,0.82,1,145,84.61,0.05568
2020-01-03 04:30:00-05:00,100.0,2.8,101.1,0.82,1,145,84.61,0.0557
2020-01-03 05:30:00-05:00,100.0,2.8,101.0,0.82,1,145,84.61,0.05573
2020-01-03 06:30:00-05:00,100.0,2.8,100.9,0.85,1,145,84.61,0.05513
2020-01-03 07:30:00-05:00,100.0,3.3,100.9,0.86,1,145,84.61,0.0556
2020-01-03 08:30:00-05:00,100.0,3.9,100.8,0.89,1,145,84.61,0.05578
2020-01-03 09:30:00-05:00,100.0,3.9,100.8,0.93,1,145,84.61,0.05492
2020-01-03 10:30:00-05:00,100.0,4.4,100.7,0.89,1,145,84.61,0.05645
2020-01-03 11:30:00-05:00,100.0,4.4,100.5,0.93,1,145,84.61,0.05562
2020-01-03 12:30:00-05:00,100.0,5.0,100.3,0.93,1,145,84.61,0.05642
2020-01-03 13:30:00-05:00,100.0,5.6,100.2,0.93,1,145,84.61,0.05719
2020-01-03 14:30:00-05:00,100.0,6.7,100.2,0.93,1,145,84.61,0.05855
2020-01-03 15:30:00-05:00,100.0,6.1,100.4,0.96,1,145,84.61,0.05707
2020-01-03 16:30:00-05:00,100.0,5.6,100.4,0.96,1,145,84.61,0.05646
2020-01-03 17:30:00-05:00,100.0,5.0,100.5,0.96,1,145,84.61,0.05571
2020-01-03 18:30:00-05:00,100.0,5.0,100.6,0.89,1,145,84.61,0.05725
2020-01-03 19:30:00-05:00,100.0,4.4,100.6,0.82,1,145,84.61,0.05802
2020-01-03 20:30:00-05:00,100.0,3.3,100.6,0.76,1,145,84.61,0.05779
2020-01-03 21:30:00-05:00,100.0,3.3,100.7,0.73,1,145,84.61,0.05841
2020-01-03 22:30:00-05:00,100.0,3.3,100.8,0.67,1,145,84.61,0.05968
2020-01-03 23:30:00-05:00,100.0,2.2,100.8,0.59,1,145,84.61,0.05965
2020-01-04 00:30:00-05:00,100.0,1.7,100.8,0.57,1,145,84.61,0.05925
2020-01-04 01:30:00-05:00,100.0,1.1,100.8,0.59,1,145,84.61,0.05787
2020-01-04 02:30:00-05:00,100.0,0.6,101.0,0.52,1,145,84.61,0.05836
2020-01-04 03:30:00-05:00,100.0,-0.6,101.0,0.49,1,145,84.61,0.05683
2020-01-04 04:30:00-05:00,100.0,-1.1,101.1,0.49,1,145,84.61,0.0559
2020-01-04 05:30:00-05:00,100.0,-2.2,101.1,0.51,1,145,84.61,0.05361
2020-01-04 06:30:00-05:00,100.0,-2.2,101.2,0.51,1,145,84.61,0.05358
2020-01-04 07:30:00-05:00,100.0,-2.8,101.3,0.51,1,145,84.61,0.05251
2020-01-04 08:30:00-05:00,100.0,-2.2,101.4,0.49,1,145,84.61,0.05388
2020-01-04 09:30:00-05:00,100.0,-2.2,101.5,0.45,1,145,84.61,0.05454
2020-01-04 10:30:00-05:00,100.0,-1.7,101.5,0.43,1,145,84.61,0.05579
2020-01-04 11:30:00-05:00,100.0,-1.7,101.5,0.43,1,145,84.61,0.05579
2020-01-04 12:30:00-05:00,100.0,-1.1,101.4,0.41,1,145,84.61,0.05728
2020-01-04 13:30:00-05:00,100.0,-1.1,101.5,0.41,1,145,84.61,0.05725
2020-01-04 14:30:00-05:00,100.0,-1.1,101.5,0.41,1,145,84.61,0.05725
2020-01-04 15:30:00-05:00,100.0,-1.1,101.6,0.41,1,145,84.61,0.05722
