datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-06:00,1000.0,-12.2,99.5,0.73,10,1450,0.4533,0.3551,0.5557
2020-01-01 01:30:00-06:00,1000.0,-11.7,99.6,0.73,10,1450,0.4533,0.3617,0.5661
2020-01-01 02:30:00-06:00,1000.0,-11.1,99.5,0.73,10,1450,0.4533,0.3702,0.5794
2020-01-01 03:30:00-06:00,1000.0,-11.1,99.5,0.73,10,1450,0.4533,0.3702,0.5794
2020-01-01 04:30:00-06:00,1000.0,-10.6,99.5,0.73,10,1450,0.4533,0.3772,0.5903
2020-01-01 05:30:00-06:00,1000.0,-10.6,99.5,0.73,10,1450,0.4533,0.3772,0.5903
2020-01-01 06:30:00-06:00,1000.0,-10.6,99.5,0.77,10,1450,0.4533,0.3727,0.5833
2020-01-01 07:30:00-06:00,1000.0,-10.0,99.5,0.77,10,1450,0.4533,0.381,0.5963
2020-01-01 08:30:00-06:00,1000.0,-8.9,99.5,0.71,10,1450,0.4533,0.4037,0.6318
2020-01-01 09:30:00-06:00,1000.0,-6.7,99.5,0.6,10,1450,0.4533,0.4513,0.7063
2020-01-01 10:30:00-06:00,1000.0,-5.0,99.4,0.63,10,1450,0.4533,0.4741,0.742
2020-01-01 11:30:00-06:00,1000.0,-3.3,99.3,0.63,10,1450,0.4533,0.5018,0.7853
2020-01-01 12:30:00-06:00,1000.0,-2.2,99.2,0.63,10,1450,0.4533,0.5202,0.8141
2020-01-01 13:30:00-06:00,1000.0,-1.1,99.2,0.61,10,1450,0.4533,0.5422,0.8486
2020-01-01 14:30:00-06:00,1000.0,-1.1,99.2,0.64,10,1450,0.4533,0.5368,0.8401
2020-01-01 15:30:00-06:00,1000.0,-1.1,99.2,0.69,10,1450,0.4533,0.5279,0.8261
2020-01-01 16:30:00-06:00,1000.0,-1.1,99.2,0.69,10,1450,0.4533,0.5279,0.8261
2020-01-01 17:30:00-06:00,1000.0,-1.7,99.2,0.72,10,1450,0.4533,0.5129,0.8026
2020-01-01 18:30:00-06:00,1000.0,-2.2,99.2,0.75,10,1450,0.4533,0.4998,0.7821
2020-01-01 19:30:00-06:00,1000.0,-1.1,99.2,0.72,10,1450,0.4533,0.5226,0.8178
2020-01-01 20:30:00-06:00,1000.0,-1.7,99.1,0.78,10,1450,0.4533,0.5027,0.7868
2020-01-01 21:30:00-06:00,1000.0,-1.1,99.1,0.75,10,1450,0.4533,0.5175,0.8099
2020-01-01 22:30:00-06:00,1000.0,-1.7,99.0,0.78,10,1450,0.4533,0.503,0.7871
2020-01-01 23:30:00-06:00,1000.0,-1.7,99.0,0.72,10,1450,0.4533,0.5133,0.8033
2020-01-02 00:30:00-06:00,1000.0,-3.9,99.0,0.85,10,1450,0.4533,0.4582,0.717
2020-01-02 01:30:00-06:00,1000.0,-2.8,99.0,0.78,10,1450,0.4533,0.4859,0.7604
2020-01-02 02:30:00-06:00,1000.0,-3.3,98.9,0.78,10,1450,0.4533,0.4784,0.7487
2020-01-02 03:30:00-06:00,1000.0,-2.8,98.9,0.78,10,1450,0.4533,0.4861,0.7607
2020-01-02 04:30:00-06:00,1000.0,-1.1,98.9,0.72,10,1450,0.4533,0.5233,0.8189
2020-01-02 05:30:00-06:00,1000.0,-1.1,98.9,0.72,10,1450,0.4533,0.5233,0.8189
2020-01-02 06:30:00-06:00,1000.0,-0.6,99.0,0.69,10,1450,0.4533,0.5367,0.8399
2020-01-02 07:30:00-06:00,1000.0,-0.6,98.9,0.69,10,1450,0.4533,0.5369,0.8402
