datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-06:00,1000.0,-5.2,96.4,0.92,10,1450,0.4533,0.4344,0.6799
2020-01-01 01:30:00-06:00,1000.0,-5.4,96.4,0.92,10,1450,0.4533,0.4316,0.6755
2020-01-01 02:30:00-06:00,1000.0,-5.6,96.3,0.92,10,1450,0.4533,0.4291,0.6715
2020-01-01 03:30:00-06:00,1000.0,-5.8,96.3,0.92,10,1450,0.4533,0.4263,0.6672
2020-01-01 04:30:00-06:00,1000.0,-5.9,96.3,0.92,10,1450,0.4533,0.4249,0.665
2020-01-01 05:30:00-06:00,1000.0,-6.1,96.2,0.92,10,1450,0.4533,0.4224,0.661
2020-01-01 06:30:00-06:00,1000.0,-6.1,96.3,0.92,10,1450,0.4533,0.4222,0.6607
2020-01-01 07:30:00-06:00,1000.0,-6.1,96.3,0.92,10,1450,0.4533,0.4222,0.6607
2020-01-01 08:30:00-06:00,1000.0,-6.1,96.3,0.92,10,1450,0.4533,0.4222,0.6607
2020-01-01 09:30:00-06:00,1000.0,-5.9,96.3,0.92,10,1450,0.4533,0.4249,0.665
2020-01-01 10:30:00-06:00,1000.0,-5.8,96.3,0.92,10,1450,0.4533,0.4263,0.6672
2020-01-01 11:30:00-06:00,1000.0,-5.6,96.2,0.92,10,1450,0.4533,0.4293,0.6718
2020-01-01 12:30:00-06:00,1000.0,-5.6,96.2,0.92,10,1450,0.4533,0.4293,0.6718
2020-01-01 13:30:00-06:00,1000.0,-5.6,96.2,0.92,10,1450,0.4533,0.4293,0.6718
2020-01-01 14:30:00-06:00,1000.0,-5.6,96.2,0.92,10,1450,0.4533,0.4293,0.6718
2020-01-01 15:30:00-06:00,1000.0,-6.0,96.2,0.91,10,1450,0.4533,0.4252,0.6654
2020-01-01 16:30:00-06:00,1000.0,-6.3,96.3,0.89,10,1450,0.4533,0.4236,0.663
2020-01-01 17:30:00-06:00,1000.0,-6.7,96.3,0.88,10,1450,0.4533,0.4195,0.6565
2020-01-01 18:30:00-06:00,1000.0,-7.4,96.4,0.87,10,1450,0.4533,0.4109,0.6431
2020-01-01 19:30:00-06:00,1000.0,-8.2,96.5,0.85,10,1450,0.4533,0.4023,0.6296
2020-01-01 20:30:00-06:00,1000.0,-8.9,96.5,0.84,10,1450,0.4533,0.3939,0.6165
2020-01-01 21:30:00-06:00,1000.0,-9.3,96.6,0.84,10,1450,0.4533,0.3882,0.6076
2020-01-01 22:30:00-06:00,1000.0,-9.6,96.6,0.84,10,1450,0.4533,0.3842,0.6012
