,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
0,100.0,-16.7,88.2,0.96,1,145,84.61,0.03009
1,100.0,-16.7,88.2,0.91,1,145,84.61,0.03052
2,100.0,-15.6,88.1,0.87,1,145,84.61,0.03214
3,100.0,-17.2,88.1,0.87,1,145,84.61,0.03031
4,100.0,-14.4,88.1,0.91,1,145,84.61,0.03312
5,100.0,-14.4,88.0,0.87,1,145,84.61,0.03355
6,100.0,-16.7,87.9,0.91,1,145,84.61,0.03058
7,100.0,-16.7,87.9,0.87,1,145,84.61,0.03092
8,100.0,-15.0,87.8,0.83,1,145,84.61,0.03329
9,100.0,-11.1,87.7,0.84,1,145,84.61,0.03826
10,100.0,-11.7,87.6,0.84,1,145,84.61,0.03747
11,100.0,-9.4,87.4,0.74,1,145,84.61,0.04197
12,100.0,-7.2,87.2,0.65,1,145,84.61,0.04661
13,100.0,-5.0,87.2,0.6,1,145,84.61,0.05095
14,100.0,-3.3,87.1,0.55,1,145,84.61,0.05473
15,100.0,-3.3,87.1,0.6,1,145,84.61,0.05383
16,100.0,-3.3,87.1,0.66,1,145,84.61,0.05276
17,100.0,-6.7,87.1,0.81,1,145,84.61,0.04501
18,100.0,-4.4,87.2,0.78,1,145,84.61,0.04892
19,100.0,-3.9,87.1,0.75,1,145,84.61,0.05022
20,100.0,-6.7,87.1,0.81,1,145,84.61,0.04501
21,100.0,-7.8,87.0,0.88,1,145,84.61,0.04245
22,100.0,-7.8,87.1,0.84,1,145,84.61,0.04299
23,100.0,-6.7,87.1,0.88,1,145,84.61,0.04397
24,100.0,-6.7,87.1,0.88,1,145,84.61,0.04397
25,100.0,-6.1,87.2,0.81,1,145,84.61,0.04587
26,100.0,-3.9,87.3,0.81,1,145,84.61,0.04915
27,100.0,-3.3,87.4,0.78,1,145,84.61,0.05057
28,100.0,-7.8,87.5,0.88,1,145,84.61,0.04233
29,100.0,-7.2,87.7,0.84,1,145,84.61,0.0437
30,100.0,-1.1,87.8,0.82,1,145,84.61,0.05322
31,100.0,0.0,87.9,0.69,1,145,84.61,0.05754
32,100.0,1.1,88.0,0.59,1,145,84.61,0.06133
33,100.0,2.2,88.0,0.52,1,145,84.61,0.06474
34,100.0,3.9,88.1,0.45,1,145,84.61,0.06939
35,100.0,3.9,88.2,0.47,1,145,84.61,0.06885
36,100.0,2.8,88.2,0.46,1,145,84.61,0.06714
37,100.0,3.9,88.2,0.45,1,145,84.61,0.06936
38,100.0,3.3,88.2,0.43,1,145,84.61,0.06877
39,100.0,3.3,88.2,0.44,1,145,84.61,0.06853
40,100.0,0.6,88.2,0.52,1,145,84.61,0.06193
41,100.0,-1.7,88.3,0.61,1,145,84.61,0.05606
42,100.0,-1.1,88.3,0.56,1,145,84.61,0.05807
43,100.0,-2.8,88.3,0.66,1,145,84.61,0.05327
44,100.0,-3.9,88.3,0.69,1,145,84.61,0.05094
45,100.0,-5.6,88.2,0.74,1,145,84.61,0.04747
46,100.0,-4.4,88.1,0.75,1,145,84.61,0.04919
47,100.0,-5.0,88.1,0.81,1,145,84.61,0.04729
48,100.0,-5.6,88.0,0.81,1,145,84.61,0.04642
49,100.0,-6.1,87.9,0.75,1,145,84.61,0.04662
50,100.0,-6.7,87.9,0.85,1,145,84.61,0.04423
51,100.0,-6.7,87.8,0.84,1,145,84.61,0.0444
52,100.0,-5.6,87.7,0.69,1,145,84.61,0.04839
53,100.0,-4.4,87.7,0.72,1,145,84.61,0.04979
54,100.0,-5.0,87.6,0.75,1,145,84.61,0.04838
55,100.0,-2.8,87.6,0.63,1,145,84.61,0.054
56,100.0,3.3,87.5,0.44,1,145,84.61,0.06875
57,100.0,4.4,87.4,0.43,1,145,84.61,0.07104
58,100.0,5.0,87.4,0.43,1,145,84.61,0.07214
59,100.0,5.6,87.2,0.41,1,145,84.61,0.07386
60,100.0,6.7,87.1,0.38,1,145,84.61,0.07683
61,100.0,8.3,87.0,0.37,1,145,84.61,0.08022
62,100.0,7.2,87.0,0.4,1,145,84.61,0.0772
63,100.0,6.1,86.9,0.47,1,145,84.61,0.07317
64,100.0,7.2,86.9,0.4,1,145,84.61,0.07723
65,100.0,7.2,87.0,0.4,1,145,84.61,0.0772
66,100.0,7.2,87.0,0.4,1,145,84.61,0.0772
67,100.0,6.7,87.0,0.45,1,145,84.61,0.07478
68,100.0,6.1,87.1,0.49,1,145,84.61,0.07254
69,100.0,5.6,87.1,0.51,1,145,84.61,0.07111
70,100.0,4.4,87.1,0.62,1,145,84.61,0.06623
71,100.0,2.2,87.2,0.76,1,145,84.61,0.05955
72,100.0,2.8,87.2,0.69,1,145,84.61,0.06202
73,100.0,2.2,87.3,0.65,1,145,84.61,0.06198
74,100.0,3.3,87.3,0.65,1,145,84.61,0.0637
75,100.0,1.1,87.3,0.74,1,145,84.61,0.05834
76,100.0,2.2,87.3,0.62,1,145,84.61,0.06266
77,100.0,-1.7,87.3,0.92,1,145,84.61,0.05055
78,100.0,-1.7,87.4,0.96,1,145,84.61,0.0498
79,100.0,-1.7,87.4,0.89,1,145,84.61,0.05108
80,100.0,-2.8,87.4,0.89,1,145,84.61,0.04941
81,100.0,-1.1,87.4,0.92,1,145,84.61,0.05144
82,100.0,0.0,87.5,0.89,1,145,84.61,0.05371
83,100.0,0.6,87.4,0.85,1,145,84.61,0.05534
84,100.0,2.2,87.4,0.79,1,145,84.61,0.05884
85,100.0,3.3,87.3,0.67,1,145,84.61,0.06323
86,100.0,4.4,87.3,0.55,1,145,84.61,0.06795
87,100.0,4.4,87.3,0.53,1,145,84.61,0.06847
88,100.0,1.7,87.4,0.64,1,145,84.61,0.06139
89,100.0,0.6,87.4,0.64,1,145,84.61,0.05964
90,100.0,-1.7,87.5,0.72,1,145,84.61,0.0542
91,100.0,-1.7,87.5,0.72,1,145,84.61,0.0542
92,100.0,-2.2,87.5,0.72,1,145,84.61,0.05338
93,100.0,-2.2,87.5,0.75,1,145,84.61,0.05283
94,100.0,-2.2,87.5,0.75,1,145,84.61,0.05283
95,100.0,-2.8,87.5,0.78,1,145,84.61,0.05133
96,100.0,-1.7,87.5,0.66,1,145,84.61,0.05533
97,100.0,-2.8,87.5,0.62,1,145,84.61,0.05421
98,100.0,-2.2,87.6,0.61,1,145,84.61,0.05539
99,100.0,-2.8,87.6,0.62,1,145,84.61,0.05418
100,100.0,-3.9,87.6,0.59,1,145,84.61,0.05285
101,100.0,-7.2,87.6,0.84,1,145,84.61,0.04373
102,100.0,-8.3,87.6,0.84,1,145,84.61,0.04216
103,100.0,-8.9,87.6,0.92,1,145,84.61,0.04026
104,100.0,-8.3,87.6,0.88,1,145,84.61,0.04162
