,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
0,100.0,2.8,101.6,0.93,1,145,84.61,0.05335
1,100.0,2.8,101.6,0.93,1,145,84.61,0.05335
2,100.0,2.2,101.6,0.96,1,145,84.61,0.052
3,100.0,1.7,101.7,0.92,1,145,84.61,0.05211
4,100.0,1.7,101.7,0.96,1,145,84.61,0.05134
5,100.0,1.1,101.7,0.96,1,145,84.61,0.05058
6,100.0,1.7,101.8,0.92,1,145,84.61,0.05209
7,100.0,1.1,101.9,0.96,1,145,84.61,0.05054
8,100.0,6.7,101.9,0.83,1,145,84.61,0.06061
9,100.0,10.6,102.1,0.72,1,145,84.61,0.06887
10,100.0,12.8,102.0,0.51,1,145,84.61,0.07898
11,100.0,14.4,102.0,0.44,1,145,84.61,0.08425
12,100.0,16.7,101.9,0.4,1,145,84.61,0.08997
13,100.0,17.2,101.8,0.33,1,145,84.61,0.094
14,100.0,16.7,101.8,0.31,1,145,84.61,0.09393
15,100.0,16.7,101.8,0.31,1,145,84.61,0.09393
16,100.0,15.0,101.8,0.38,1,145,84.61,0.08774
17,100.0,11.7,101.8,0.49,1,145,84.61,0.07787
18,100.0,7.2,101.9,0.71,1,145,84.61,0.06432
19,100.0,6.1,102.0,0.76,1,145,84.61,0.06146
20,100.0,6.7,102.0,0.68,1,145,84.61,0.06432
21,100.0,4.4,102.0,0.82,1,145,84.61,0.05771
22,100.0,5.0,102.1,0.73,1,145,84.61,0.06057
23,100.0,3.3,102.1,0.86,1,145,84.61,0.05533
24,100.0,5.0,102.0,0.76,1,145,84.61,0.0599
25,100.0,2.2,102.1,0.89,1,145,84.61,0.05326
26,100.0,3.3,102.0,0.79,1,145,84.61,0.05683
27,100.0,2.8,102.0,0.82,1,145,84.61,0.0555
28,100.0,2.2,102.0,0.82,1,145,84.61,0.05467
29,100.0,1.1,101.9,0.85,1,145,84.61,0.05259
30,100.0,1.7,101.9,0.82,1,145,84.61,0.054
31,100.0,2.2,102.0,0.85,1,145,84.61,0.05407
32,100.0,5.6,102.0,0.73,1,145,84.61,0.06146
33,100.0,8.3,102.0,0.58,1,145,84.61,0.06945
34,100.0,10.0,102.0,0.54,1,145,84.61,0.07338
35,100.0,12.2,101.8,0.53,1,145,84.61,0.07736
36,100.0,13.9,101.7,0.53,1,145,84.61,0.08015
37,100.0,13.3,101.6,0.57,1,145,84.61,0.0778
38,100.0,13.9,101.4,0.58,1,145,84.61,0.07843
39,100.0,13.3,101.4,0.62,1,145,84.61,0.07612
40,100.0,12.2,101.4,0.69,1,145,84.61,0.07221
41,100.0,11.1,101.3,0.8,1,145,84.61,0.06735
42,100.0,10.6,101.2,0.83,1,145,84.61,0.06586
43,100.0,10.6,101.2,0.86,1,145,84.61,0.065
44,100.0,11.7,101.2,0.83,1,145,84.61,0.06724
45,100.0,11.7,101.2,0.9,1,145,84.61,0.06516
46,100.0,12.2,101.2,0.86,1,145,84.61,0.06695
47,100.0,11.7,101.2,0.9,1,145,84.61,0.06516
48,100.0,11.7,101.1,0.93,1,145,84.61,0.06431
49,100.0,11.7,101.1,0.96,1,145,84.61,0.06344
50,100.0,12.8,101.0,0.93,1,145,84.61,0.06557
51,100.0,13.3,101.0,0.93,1,145,84.61,0.06612
52,100.0,13.9,100.9,0.97,1,145,84.61,0.06555
53,100.0,14.4,100.9,0.97,1,145,84.61,0.06608
54,100.0,15.0,100.9,0.9,1,145,84.61,0.06898
55,100.0,15.6,101.0,0.87,1,145,84.61,0.07063
56,100.0,15.0,101.0,0.81,1,145,84.61,0.07198
57,100.0,12.2,101.1,0.67,1,145,84.61,0.07292
58,100.0,12.2,101.2,0.57,1,145,84.61,0.07618
59,100.0,13.9,101.1,0.55,1,145,84.61,0.07958
60,100.0,13.3,101.1,0.57,1,145,84.61,0.07793
61,100.0,11.1,101.1,0.64,1,145,84.61,0.07226
62,100.0,9.4,101.2,0.74,1,145,84.61,0.06682
63,100.0,8.9,101.2,0.8,1,145,84.61,0.06448
64,100.0,8.9,101.3,0.8,1,145,84.61,0.06446
65,100.0,8.3,101.4,0.8,1,145,84.61,0.06363
66,100.0,8.3,101.5,0.71,1,145,84.61,0.06601
67,100.0,8.3,101.7,0.68,1,145,84.61,0.06678
68,100.0,8.3,101.7,0.68,1,145,84.61,0.06678
69,100.0,8.3,101.7,0.66,1,145,84.61,0.06732
70,100.0,7.8,101.6,0.63,1,145,84.61,0.0674
71,100.0,7.2,101.6,0.66,1,145,84.61,0.06568
72,100.0,6.7,101.6,0.68,1,145,84.61,0.06441
73,100.0,7.2,101.7,0.66,1,145,84.61,0.06566
74,100.0,5.0,101.7,0.76,1,145,84.61,0.05997
75,100.0,5.6,101.7,0.73,1,145,84.61,0.06154
76,100.0,5.0,101.8,0.7,1,145,84.61,0.06133
77,100.0,3.9,101.8,0.76,1,145,84.61,0.05837
78,100.0,4.4,101.9,0.73,1,145,84.61,0.05974
79,100.0,3.9,102.0,0.76,1,145,84.61,0.05832
80,100.0,4.4,102.0,0.73,1,145,84.61,0.05971
81,100.0,5.0,102.1,0.7,1,145,84.61,0.06126
82,100.0,6.7,102.2,0.65,1,145,84.61,0.06503
83,100.0,7.8,102.1,0.63,1,145,84.61,0.06727
84,100.0,8.3,102.1,0.61,1,145,84.61,0.0686
85,100.0,9.4,102.0,0.56,1,145,84.61,0.0718
86,100.0,9.4,102.0,0.59,1,145,84.61,0.07092
87,100.0,10.0,102.0,0.57,1,145,84.61,0.07247
88,100.0,8.9,102.0,0.63,1,145,84.61,0.06899
89,100.0,6.7,102.0,0.74,1,145,84.61,0.06281
90,100.0,5.0,102.0,0.83,1,145,84.61,0.0583
91,100.0,4.4,102.1,0.86,1,145,84.61,0.05681
92,100.0,3.3,102.1,0.89,1,145,84.61,0.05471
93,100.0,3.9,102.2,0.86,1,145,84.61,0.05612
94,100.0,3.9,102.2,0.89,1,145,84.61,0.05548
95,100.0,3.3,102.2,0.93,1,145,84.61,0.05386
96,100.0,2.2,102.2,0.93,1,145,84.61,0.05246
97,100.0,1.1,102.2,0.96,1,145,84.61,0.05048
98,100.0,1.1,102.2,0.96,1,145,84.61,0.05048
99,100.0,1.1,102.1,0.92,1,145,84.61,0.05124
100,100.0,0.6,102.1,0.92,1,145,84.61,0.05059
101,100.0,-0.6,102.1,0.96,1,145,84.61,0.04821
102,100.0,0.6,102.1,0.96,1,145,84.61,0.04986
103,100.0,1.7,102.1,0.92,1,145,84.61,0.05202
104,100.0,4.4,102.2,0.89,1,145,84.61,0.05613
105,100.0,6.7,102.2,0.8,1,145,84.61,0.06128
106,100.0,9.4,102.2,0.66,1,145,84.61,0.06885
107,100.0,11.1,102.1,0.55,1,145,84.61,0.07484
108,100.0,12.8,102.0,0.49,1,145,84.61,0.07968
109,100.0,13.9,101.9,0.44,1,145,84.61,0.08341
110,100.0,13.9,101.8,0.47,1,145,84.61,0.08232
111,100.0,14.4,101.8,0.48,1,145,84.61,0.08279
112,100.0,13.3,101.8,0.55,1,145,84.61,0.07845
113,100.0,10.6,101.8,0.72,1,145,84.61,0.06894
114,100.0,10.0,101.7,0.77,1,145,84.61,0.06668
115,100.0,8.9,101.7,0.86,1,145,84.61,0.06276
116,100.0,8.9,101.7,0.83,1,145,84.61,0.06356
117,100.0,8.3,101.7,0.86,1,145,84.61,0.06199
118,100.0,6.7,101.7,0.93,1,145,84.61,0.05824
119,100.0,5.0,101.6,0.96,1,145,84.61,0.05548
120,100.0,7.8,101.6,0.96,1,145,84.61,0.05886
121,100.0,8.9,101.5,0.93,1,145,84.61,0.06095
122,100.0,9.4,101.4,0.93,1,145,84.61,0.06157
123,100.0,8.9,101.4,0.93,1,145,84.61,0.06097
124,100.0,8.3,101.5,0.96,1,145,84.61,0.05947
125,100.0,8.3,101.5,0.96,1,145,84.61,0.05947
126,100.0,8.3,101.5,0.96,1,145,84.61,0.05947
127,100.0,8.3,101.6,0.96,1,145,84.61,0.05945
128,100.0,10.6,101.7,0.93,1,145,84.61,0.06292
129,100.0,12.8,101.8,0.83,1,145,84.61,0.06848
130,100.0,16.1,101.8,0.72,1,145,84.61,0.07637
131,100.0,18.9,101.7,0.63,1,145,84.61,0.08364
132,100.0,20.0,101.6,0.61,1,145,84.61,0.08601
133,100.0,21.1,101.5,0.57,1,145,84.61,0.08936
134,100.0,21.7,101.4,0.55,1,145,84.61,0.09117
135,100.0,20.6,101.4,0.57,1,145,84.61,0.08869
136,100.0,20.0,101.4,0.59,1,145,84.61,0.08695
