datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-08:00,1000.0,5.6,94.4,0.35,10,1450,0.4533,0.7319,1.145
2020-01-01 01:30:00-08:00,1000.0,6.7,94.4,0.35,10,1450,0.4533,0.7531,1.179
2020-01-01 02:30:00-08:00,1000.0,6.1,94.4,0.37,10,1450,0.4533,0.736,1.152
2020-01-01 03:30:00-08:00,1000.0,6.1,94.4,0.37,10,1450,0.4533,0.736,1.152
2020-01-01 04:30:00-08:00,1000.0,5.6,94.4,0.38,10,1450,0.4533,0.7238,1.133
2020-01-01 05:30:00-08:00,1000.0,5.6,94.5,0.38,10,1450,0.4533,0.7234,1.132
2020-01-01 06:30:00-08:00,1000.0,5.0,94.5,0.38,10,1450,0.4533,0.7121,1.114
2020-01-01 07:30:00-08:00,1000.0,4.4,94.6,0.4,10,1450,0.4533,0.6955,1.088
2020-01-01 08:30:00-08:00,1000.0,7.2,94.7,0.34,10,1450,0.4533,0.7647,1.197
2020-01-01 09:30:00-08:00,1000.0,10.6,94.8,0.26,10,1450,0.4533,0.8587,1.344
2020-01-01 10:30:00-08:00,1000.0,12.2,94.8,0.23,10,1450,0.4533,0.9036,1.414
2020-01-01 11:30:00-08:00,1000.0,13.9,94.7,0.21,10,1450,0.4533,0.9489,1.485
2020-01-01 12:30:00-08:00,1000.0,15.0,94.7,0.19,10,1450,0.4533,0.9819,1.537
2020-01-01 13:30:00-08:00,1000.0,16.1,94.6,0.19,10,1450,0.4533,1.007,1.576
2020-01-01 14:30:00-08:00,1000.0,16.7,94.6,0.18,10,1450,0.4533,1.025,1.604
2020-01-01 15:30:00-08:00,1000.0,16.1,94.4,0.18,10,1450,0.4533,1.012,1.584
2020-01-01 16:30:00-08:00,1000.0,15.0,94.6,0.2,10,1450,0.4533,0.9778,1.53
2020-01-01 17:30:00-08:00,1000.0,11.7,94.6,0.24,10,1450,0.4533,0.8898,1.393
2020-01-01 18:30:00-08:00,1000.0,9.4,94.6,0.29,10,1450,0.4533,0.8244,1.29
2020-01-01 19:30:00-08:00,1000.0,9.4,94.7,0.29,10,1450,0.4533,0.8241,1.29
2020-01-01 20:30:00-08:00,1000.0,7.8,94.7,0.3,10,1450,0.4533,0.7886,1.234
2020-01-01 21:30:00-08:00,1000.0,7.2,94.7,0.27,10,1450,0.4533,0.7855,1.229
2020-01-01 22:30:00-08:00,1000.0,7.2,94.8,0.3,10,1450,0.4533,0.7762,1.215
2020-01-01 23:30:00-08:00,1000.0,6.1,94.8,0.32,10,1450,0.4533,0.7486,1.172
