,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
0,100.0,12.2,100.8,0.93,1,145,84.61,0.06493
1,100.0,12.2,100.9,0.86,1,145,84.61,0.06702
2,100.0,11.7,100.8,0.86,1,145,84.61,0.06643
3,100.0,11.1,100.8,0.9,1,145,84.61,0.06454
4,100.0,11.1,100.8,0.86,1,145,84.61,0.0657
5,100.0,10.6,100.9,0.93,1,145,84.61,0.06308
6,100.0,10.0,101.0,0.96,1,145,84.61,0.06154
7,100.0,10.6,101.0,0.93,1,145,84.61,0.06306
8,100.0,12.8,101.1,0.83,1,145,84.61,0.06863
9,100.0,13.3,101.1,0.83,1,145,84.61,0.06924
10,100.0,13.9,101.0,0.78,1,145,84.61,0.07164
11,100.0,14.4,100.9,0.78,1,145,84.61,0.07229
12,100.0,15.6,100.9,0.72,1,145,84.61,0.07592
13,100.0,15.6,100.9,0.78,1,145,84.61,0.07378
14,100.0,16.7,101.0,0.75,1,145,84.61,0.0762
15,100.0,16.7,101.0,0.75,1,145,84.61,0.0762
16,100.0,15.0,101.0,0.81,1,145,84.61,0.07198
17,100.0,15.0,101.1,0.78,1,145,84.61,0.07299
18,100.0,14.4,101.1,0.84,1,145,84.61,0.07024
19,100.0,14.4,101.1,0.84,1,145,84.61,0.07024
20,100.0,13.9,101.2,0.83,1,145,84.61,0.06995
21,100.0,12.8,101.2,0.86,1,145,84.61,0.06767
22,100.0,12.8,101.3,0.86,1,145,84.61,0.06765
23,100.0,12.2,101.3,0.86,1,145,84.61,0.06693
24,100.0,12.2,101.3,0.9,1,145,84.61,0.06573
25,100.0,11.7,101.3,0.93,1,145,84.61,0.06426
26,100.0,11.1,101.3,0.93,1,145,84.61,0.06358
27,100.0,11.7,101.3,0.96,1,145,84.61,0.0634
28,100.0,11.7,101.3,0.93,1,145,84.61,0.06426
29,100.0,11.7,101.3,0.93,1,145,84.61,0.06426
30,100.0,11.1,101.3,1.0,1,145,84.61,0.0616
31,100.0,11.1,101.4,0.96,1,145,84.61,0.06271
32,100.0,11.7,101.5,0.96,1,145,84.61,0.06336
33,100.0,12.2,101.5,0.93,1,145,84.61,0.06479
34,100.0,12.8,101.4,0.93,1,145,84.61,0.06549
35,100.0,12.8,101.3,1.0,1,145,84.61,0.06341
36,100.0,12.8,101.3,1.0,1,145,84.61,0.06341
37,100.0,12.8,101.3,1.0,1,145,84.61,0.06341
38,100.0,12.8,101.3,1.0,1,145,84.61,0.06341
39,100.0,12.8,101.2,1.0,1,145,84.61,0.06343
40,100.0,12.8,101.1,1.0,1,145,84.61,0.06345
41,100.0,12.8,101.1,1.0,1,145,84.61,0.06345
42,100.0,12.8,101.1,1.0,1,145,84.61,0.06345
43,100.0,12.8,101.1,1.0,1,145,84.61,0.06345
44,100.0,12.8,101.0,1.0,1,145,84.61,0.06347
45,100.0,12.8,101.0,1.0,1,145,84.61,0.06347
46,100.0,12.8,100.9,1.0,1,145,84.61,0.06349
47,100.0,12.8,100.7,1.0,1,145,84.61,0.06353
48,100.0,13.9,100.6,1.0,1,145,84.61,0.06468
49,100.0,13.9,100.7,0.96,1,145,84.61,0.0659
50,100.0,13.3,100.7,0.9,1,145,84.61,0.06712
51,100.0,12.8,100.7,0.75,1,145,84.61,0.07126
52,100.0,11.7,100.7,0.64,1,145,84.61,0.07325
53,100.0,11.7,100.8,0.57,1,145,84.61,0.07549
54,100.0,11.7,100.9,0.51,1,145,84.61,0.07745
55,100.0,11.7,101.0,0.53,1,145,84.61,0.07676
56,100.0,12.8,101.1,0.49,1,145,84.61,0.07992
57,100.0,14.4,101.2,0.44,1,145,84.61,0.08448
58,100.0,14.4,101.2,0.51,1,145,84.61,0.08183
59,100.0,15.0,101.1,0.48,1,145,84.61,0.08399
60,100.0,15.0,101.0,0.54,1,145,84.61,0.08171
61,100.0,15.0,101.0,0.58,1,145,84.61,0.08021
62,100.0,15.0,101.0,0.6,1,145,84.61,0.07946
63,100.0,16.1,101.0,0.58,1,145,84.61,0.08186
64,100.0,15.6,101.1,0.62,1,145,84.61,0.07957
65,100.0,15.6,101.2,0.6,1,145,84.61,0.0803
66,100.0,15.0,101.2,0.67,1,145,84.61,0.07686
67,100.0,13.9,101.3,0.47,1,145,84.61,0.08246
68,100.0,13.3,101.3,0.49,1,145,84.61,0.08071
69,100.0,12.8,101.3,0.51,1,145,84.61,0.07917
70,100.0,12.2,101.3,0.53,1,145,84.61,0.0775
71,100.0,11.7,101.3,0.55,1,145,84.61,0.07602
72,100.0,10.6,101.3,0.57,1,145,84.61,0.07362
73,100.0,9.4,101.3,0.66,1,145,84.61,0.06907
74,100.0,7.2,101.3,0.8,1,145,84.61,0.06216
75,100.0,7.2,101.2,0.8,1,145,84.61,0.06219
76,100.0,7.8,101.2,0.74,1,145,84.61,0.06457
77,100.0,7.2,101.2,0.71,1,145,84.61,0.06448
78,100.0,7.8,101.3,0.68,1,145,84.61,0.06613
79,100.0,8.9,101.3,0.68,1,145,84.61,0.06776
80,100.0,10.6,101.3,0.66,1,145,84.61,0.07085
81,100.0,12.8,101.3,0.64,1,145,84.61,0.07473
82,100.0,13.9,101.2,0.69,1,145,84.61,0.07463
83,100.0,15.0,101.1,0.62,1,145,84.61,0.0787
84,100.0,15.6,101.0,0.56,1,145,84.61,0.08188
85,100.0,15.6,100.9,0.6,1,145,84.61,0.08037
86,100.0,15.0,100.9,0.65,1,145,84.61,0.07765
87,100.0,15.0,100.9,0.6,1,145,84.61,0.07949
88,100.0,13.9,100.9,0.67,1,145,84.61,0.07539
