datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-05:00,1000.0,19.4,102.0,0.9,10,1450,0.4533,0.7337,1.148
2020-01-01 01:30:00-05:00,1000.0,18.9,101.9,0.93,10,1450,0.4533,0.7179,1.123
2020-01-01 02:30:00-05:00,1000.0,18.9,101.9,0.93,10,1450,0.4533,0.7179,1.123
2020-01-01 03:30:00-05:00,1000.0,18.9,101.9,0.93,10,1450,0.4533,0.7179,1.123
2020-01-01 04:30:00-05:00,1000.0,19.4,101.9,0.9,10,1450,0.4533,0.7339,1.149
2020-01-01 05:30:00-05:00,1000.0,18.9,101.9,0.96,10,1450,0.4533,0.707,1.106
2020-01-01 06:30:00-05:00,1000.0,18.9,102.0,0.93,10,1450,0.4533,0.7177,1.123
2020-01-01 07:30:00-05:00,1000.0,19.4,102.0,0.93,10,1450,0.4533,0.7225,1.131
2020-01-01 08:30:00-05:00,1000.0,22.8,102.1,0.81,10,1450,0.4533,0.8035,1.257
2020-01-01 09:30:00-05:00,1000.0,25.0,102.1,0.71,10,1450,0.4533,0.8716,1.364
2020-01-01 10:30:00-05:00,1000.0,26.7,102.1,0.64,10,1450,0.4533,0.9252,1.448
2020-01-01 11:30:00-05:00,1000.0,26.1,102.0,0.65,10,1450,0.4533,0.9137,1.43
2020-01-01 12:30:00-05:00,1000.0,27.2,101.9,0.61,10,1450,0.4533,0.9474,1.483
2020-01-01 13:30:00-05:00,1000.0,26.1,101.9,0.69,10,1450,0.4533,0.8931,1.398
2020-01-01 14:30:00-05:00,1000.0,26.1,101.8,0.69,10,1450,0.4533,0.8933,1.398
2020-01-01 15:30:00-05:00,1000.0,25.6,101.9,0.74,10,1450,0.4533,0.8633,1.351
2020-01-01 16:30:00-05:00,1000.0,25.0,101.9,0.74,10,1450,0.4533,0.8574,1.342
2020-01-01 17:30:00-05:00,1000.0,23.9,101.9,0.82,10,1450,0.4533,0.8101,1.268
2020-01-01 18:30:00-05:00,1000.0,23.3,101.9,0.82,10,1450,0.4533,0.8044,1.259
2020-01-01 19:30:00-05:00,1000.0,22.8,102.0,0.84,10,1450,0.4533,0.7908,1.238
2020-01-01 20:30:00-05:00,1000.0,22.8,102.0,0.84,10,1450,0.4533,0.7908,1.238
2020-01-01 21:30:00-05:00,1000.0,23.3,102.1,0.82,10,1450,0.4533,0.804,1.258
2020-01-01 22:30:00-05:00,1000.0,22.2,102.0,0.87,10,1450,0.4533,0.7726,1.209
2020-01-01 23:30:00-05:00,1000.0,20.6,102.0,0.9,10,1450,0.4533,0.7454,1.167
2020-01-02 00:30:00-05:00,1000.0,20.0,102.0,0.93,10,1450,0.4533,0.7283,1.14
2020-01-02 01:30:00-05:00,1000.0,19.4,102.0,0.97,10,1450,0.4533,0.7079,1.108
2020-01-02 02:30:00-05:00,1000.0,18.9,101.9,0.96,10,1450,0.4533,0.707,1.106
2020-01-02 03:30:00-05:00,1000.0,18.9,101.9,0.96,10,1450,0.4533,0.707,1.106
2020-01-02 04:30:00-05:00,1000.0,18.3,101.9,1.0,10,1450,0.4533,0.6872,1.076
2020-01-02 05:30:00-05:00,1000.0,19.4,102.0,0.97,10,1450,0.4533,0.7079,1.108
2020-01-02 06:30:00-05:00,1000.0,18.9,102.0,1.0,10,1450,0.4533,0.6926,1.084
2020-01-02 07:30:00-05:00,1000.0,20.0,102.1,0.96,10,1450,0.4533,0.7169,1.122
2020-01-02 08:30:00-05:00,1000.0,20.6,102.1,0.9,10,1450,0.4533,0.7453,1.166
2020-01-02 09:30:00-05:00,1000.0,24.4,102.2,0.71,10,1450,0.4533,0.8652,1.354
2020-01-02 10:30:00-05:00,1000.0,26.1,102.2,0.65,10,1450,0.4533,0.9133,1.429
2020-01-02 11:30:00-05:00,1000.0,27.2,102.1,0.53,10,1450,0.4533,0.9931,1.554
2020-01-02 12:30:00-05:00,1000.0,27.2,102.0,0.47,10,1450,0.4533,1.03,1.612
2020-01-02 13:30:00-05:00,1000.0,28.9,101.9,0.72,10,1450,0.4533,0.9032,1.414
2020-01-02 14:30:00-05:00,1000.0,28.9,101.9,0.63,10,1450,0.4533,0.9532,1.492
2020-01-02 15:30:00-05:00,1000.0,25.6,101.9,0.64,10,1450,0.4533,0.9137,1.43
2020-01-02 16:30:00-05:00,1000.0,25.0,101.9,0.66,10,1450,0.4533,0.8969,1.404
2020-01-02 17:30:00-05:00,1000.0,23.9,102.0,0.71,10,1450,0.4533,0.8603,1.346
2020-01-02 18:30:00-05:00,1000.0,23.3,102.0,0.74,10,1450,0.4533,0.8399,1.314
2020-01-02 19:30:00-05:00,1000.0,22.2,102.1,0.79,10,1450,0.4533,0.8061,1.262
2020-01-02 20:30:00-05:00,1000.0,22.2,102.1,0.79,10,1450,0.4533,0.8061,1.262
2020-01-02 21:30:00-05:00,1000.0,22.2,102.1,0.79,10,1450,0.4533,0.8061,1.262
2020-01-02 22:30:00-05:00,1000.0,20.6,102.1,0.93,10,1450,0.4533,0.7337,1.148
2020-01-02 23:30:00-05:00,1000.0,20.0,102.1,0.93,10,1450,0.4533,0.7281,1.139
2020-01-03 00:30:00-05:00,1000.0,20.0,102.1,0.93,10,1450,0.4533,0.7281,1.139
2020-01-03 01:30:00-05:00,1000.0,20.0,102.0,0.9,10,1450,0.4533,0.7396,1.158
