datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-06:00,1000.0,-8.3,99.1,0.71,10,1450,0.4533,0.4133,0.6469
2020-01-01 01:30:00-06:00,1000.0,-7.8,99.1,0.71,10,1450,0.4533,0.4207,0.6583
2020-01-01 02:30:00-06:00,1000.0,-7.2,99.0,0.71,10,1450,0.4533,0.4298,0.6726
2020-01-01 03:30:00-06:00,1000.0,-6.7,98.9,0.71,10,1450,0.4533,0.4375,0.6846
2020-01-01 04:30:00-06:00,1000.0,-6.1,98.8,0.71,10,1450,0.4533,0.4467,0.6991
2020-01-01 05:30:00-06:00,1000.0,-6.1,98.8,0.71,10,1450,0.4533,0.4467,0.6991
2020-01-01 06:30:00-06:00,1000.0,-5.6,98.6,0.68,10,1450,0.4533,0.4591,0.7185
2020-01-01 07:30:00-06:00,1000.0,-5.0,98.5,0.65,10,1450,0.4533,0.4732,0.7406
2020-01-01 08:30:00-06:00,1000.0,-4.4,98.4,0.65,10,1450,0.4533,0.483,0.7559
2020-01-01 09:30:00-06:00,1000.0,-3.3,98.4,0.62,10,1450,0.4533,0.5056,0.7913
2020-01-01 10:30:00-06:00,1000.0,-2.2,98.3,0.62,10,1450,0.4533,0.5241,0.8202
2020-01-01 11:30:00-06:00,1000.0,-1.7,98.1,0.63,10,1450,0.4533,0.5312,0.8313
2020-01-01 12:30:00-06:00,1000.0,-0.6,97.9,0.66,10,1450,0.4533,0.5448,0.8526
2020-01-01 13:30:00-06:00,1000.0,0.0,97.8,0.69,10,1450,0.4533,0.5496,0.8602
2020-01-01 14:30:00-06:00,1000.0,0.6,97.9,0.76,10,1450,0.4533,0.5451,0.8531
2020-01-01 15:30:00-06:00,1000.0,0.6,97.8,0.87,10,1450,0.4533,0.5245,0.8209
2020-01-01 16:30:00-06:00,1000.0,0.6,97.8,0.87,10,1450,0.4533,0.5245,0.8209
2020-01-01 17:30:00-06:00,1000.0,0.6,97.9,0.87,10,1450,0.4533,0.5243,0.8205
2020-01-01 18:30:00-06:00,1000.0,0.6,97.9,0.87,10,1450,0.4533,0.5243,0.8205
2020-01-01 19:30:00-06:00,1000.0,0.0,97.9,0.87,10,1450,0.4533,0.5161,0.8078
2020-01-01 20:30:00-06:00,1000.0,-1.1,97.9,0.91,10,1450,0.4533,0.4921,0.7702
2020-01-01 21:30:00-06:00,1000.0,-1.7,98.0,0.96,10,1450,0.4533,0.4745,0.7425
2020-01-01 22:30:00-06:00,1000.0,-2.2,98.0,0.95,10,1450,0.4533,0.4689,0.7338
2020-01-01 23:30:00-06:00,1000.0,-3.9,98.0,0.96,10,1450,0.4533,0.4432,0.6936
2020-01-02 00:30:00-06:00,1000.0,-4.4,97.9,0.95,10,1450,0.4533,0.438,0.6854
2020-01-02 01:30:00-06:00,1000.0,-4.4,98.0,1.0,10,1450,0.4533,0.4302,0.6733
2020-01-02 02:30:00-06:00,1000.0,-5.6,97.9,0.96,10,1450,0.4533,0.42,0.6573
2020-01-02 03:30:00-06:00,1000.0,-6.1,97.9,0.95,10,1450,0.4533,0.4147,0.649
2020-01-02 04:30:00-06:00,1000.0,-5.0,97.8,0.91,10,1450,0.4533,0.4358,0.682
2020-01-02 05:30:00-06:00,1000.0,-3.9,97.8,0.91,10,1450,0.4533,0.4514,0.7064
2020-01-02 06:30:00-06:00,1000.0,-3.9,97.7,0.96,10,1450,0.4533,0.4438,0.6945
2020-01-02 07:30:00-06:00,1000.0,-3.3,97.7,0.95,10,1450,0.4533,0.4538,0.7102
2020-01-02 08:30:00-06:00,1000.0,-2.2,97.6,0.91,10,1450,0.4533,0.4764,0.7456
2020-01-02 09:30:00-06:00,1000.0,-1.7,97.6,0.91,10,1450,0.4533,0.4838,0.7572
2020-01-02 10:30:00-06:00,1000.0,-1.1,97.5,0.91,10,1450,0.4533,0.493,0.7715
2020-01-02 11:30:00-06:00,1000.0,0.0,97.3,0.87,10,1450,0.4533,0.5175,0.8099
2020-01-02 12:30:00-06:00,1000.0,1.7,97.1,0.81,10,1450,0.4533,0.5529,0.8654
2020-01-02 13:30:00-06:00,1000.0,1.7,97.0,0.84,10,1450,0.4533,0.5472,0.8563
2020-01-02 14:30:00-06:00,1000.0,1.7,97.0,0.84,10,1450,0.4533,0.5472,0.8563
2020-01-02 15:30:00-06:00,1000.0,1.7,97.0,0.84,10,1450,0.4533,0.5472,0.8563
2020-01-02 16:30:00-06:00,1000.0,1.7,97.0,0.84,10,1450,0.4533,0.5472,0.8563
2020-01-02 17:30:00-06:00,1000.0,2.2,97.1,0.81,10,1450,0.4533,0.56,0.8763
2020-01-02 18:30:00-06:00,1000.0,1.7,97.3,0.84,10,1450,0.4533,0.5465,0.8552
