datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
2020-01-01 00:30:00-07:00,100.0,10.0,97.7,0.74,1,145,84.61,0.06848
2020-01-01 01:30:00-07:00,100.0,8.9,97.7,0.8,1,145,84.61,0.06528
2020-01-01 02:30:00-07:00,100.0,8.9,97.7,0.8,1,145,84.61,0.06528
2020-01-01 03:30:00-07:00,100.0,8.9,97.7,0.77,1,145,84.61,0.06611
2020-01-01 04:30:00-07:00,100.0,8.3,97.8,0.8,1,145,84.61,0.06445
2020-01-01 05:30:00-07:00,100.0,7.8,97.8,0.79,1,145,84.61,0.06404
2020-01-01 06:30:00-07:00,100.0,7.2,97.8,0.82,1,145,84.61,0.06246
2020-01-01 07:30:00-07:00,100.0,7.8,97.9,0.79,1,145,84.61,0.06402
2020-01-01 08:30:00-07:00,100.0,8.3,98.0,0.76,1,145,84.61,0.06549
2020-01-01 09:30:00-07:00,100.0,11.7,98.0,0.59,1,145,84.61,0.07557
2020-01-01 10:30:00-07:00,100.0,15.0,98.1,0.42,1,145,84.61,0.08722
2020-01-01 11:30:00-07:00,100.0,16.7,98.0,0.38,1,145,84.61,0.09199
2020-01-01 12:30:00-07:00,100.0,16.7,97.9,0.38,1,145,84.61,0.09202
2020-01-01 13:30:00-07:00,100.0,17.8,97.8,0.37,1,145,84.61,0.09451
2020-01-01 14:30:00-07:00,100.0,17.8,97.8,0.37,1,145,84.61,0.09451
2020-01-01 15:30:00-07:00,100.0,18.3,97.8,0.34,1,145,84.61,0.09686
2020-01-01 16:30:00-07:00,100.0,18.9,97.8,0.33,1,145,84.61,0.09848
2020-01-01 17:30:00-07:00,100.0,17.2,97.9,0.36,1,145,84.61,0.09384
2020-01-01 18:30:00-07:00,100.0,15.0,97.9,0.45,1,145,84.61,0.08607
2020-01-01 19:30:00-07:00,100.0,15.0,97.9,0.44,1,145,84.61,0.08647
2020-01-01 20:30:00-07:00,100.0,14.4,97.9,0.46,1,145,84.61,0.08465
2020-01-01 21:30:00-07:00,100.0,13.3,98.0,0.49,1,145,84.61,0.08162
2020-01-01 22:30:00-07:00,100.0,13.9,98.0,0.42,1,145,84.61,0.08529
2020-01-01 23:30:00-07:00,100.0,12.8,97.9,0.43,1,145,84.61,0.08298
2020-01-02 00:30:00-07:00,100.0,13.3,97.9,0.42,1,145,84.61,0.08425
2020-01-02 01:30:00-07:00,100.0,12.8,97.9,0.41,1,145,84.61,0.08372
2020-01-02 02:30:00-07:00,100.0,12.8,98.0,0.39,1,145,84.61,0.08443
2020-01-02 03:30:00-07:00,100.0,12.8,98.0,0.38,1,145,84.61,0.0848
2020-01-02 04:30:00-07:00,100.0,11.1,98.0,0.42,1,145,84.61,0.08025
2020-01-02 05:30:00-07:00,100.0,11.1,97.9,0.42,1,145,84.61,0.08028
2020-01-02 06:30:00-07:00,100.0,12.8,98.0,0.34,1,145,84.61,0.0863
2020-01-02 07:30:00-07:00,100.0,12.2,98.1,0.36,1,145,84.61,0.08437
2020-01-02 08:30:00-07:00,100.0,12.8,98.2,0.34,1,145,84.61,0.08623
2020-01-02 09:30:00-07:00,100.0,15.0,98.2,0.3,1,145,84.61,0.09215
2020-01-02 10:30:00-07:00,100.0,16.1,98.2,0.28,1,145,84.61,0.09524
2020-01-02 11:30:00-07:00,100.0,17.2,98.1,0.25,1,145,84.61,0.09892
2020-01-02 12:30:00-07:00,100.0,17.2,98.1,0.22,1,145,84.61,0.1004
2020-01-02 13:30:00-07:00,100.0,17.2,98.0,0.25,1,145,84.61,0.09896
2020-01-02 14:30:00-07:00,100.0,18.3,98.0,0.23,1,145,84.61,0.1023
2020-01-02 15:30:00-07:00,100.0,18.3,97.9,0.23,1,145,84.61,0.1023
2020-01-02 16:30:00-07:00,100.0,17.8,98.0,0.25,1,145,84.61,0.1002
2020-01-02 17:30:00-07:00,100.0,16.7,98.0,0.28,1,145,84.61,0.09652
2020-01-02 18:30:00-07:00,100.0,16.1,98.0,0.3,1,145,84.61,0.09441
2020-01-02 19:30:00-07:00,100.0,14.4,98.0,0.34,1,145,84.61,0.08938
2020-01-02 20:30:00-07:00,100.0,13.9,97.9,0.35,1,145,84.61,0.08805
2020-01-02 21:30:00-07:00,100.0,12.2,97.9,0.39,1,145,84.61,0.08335
2020-01-02 22:30:00-07:00,100.0,12.2,97.9,0.39,1,145,84.61,0.08335
2020-01-02 23:30:00-07:00,100.0,11.7,97.8,0.44,1,145,84.61,0.0807
2020-01-03 00:30:00-07:00,100.0,11.7,97.8,0.41,1,145,84.61,0.08175
2020-01-03 01:30:00-07:00,100.0,11.1,97.8,0.44,1,145,84.61,0.07964
2020-01-03 02:30:00-07:00,100.0,11.1,97.8,0.42,1,145,84.61,0.08031
2020-01-03 03:30:00-07:00,100.0,11.1,97.8,0.42,1,145,84.61,0.08031
2020-01-03 04:30:00-07:00,100.0,10.0,97.9,0.5,1,145,84.61,0.07574
2020-01-03 05:30:00-07:00,100.0,10.0,97.8,0.5,1,145,84.61,0.07576
2020-01-03 06:30:00-07:00,100.0,10.0,97.8,0.47,1,145,84.61,0.07671
2020-01-03 07:30:00-07:00,100.0,10.6,97.9,0.46,1,145,84.61,0.07806
2020-01-03 08:30:00-07:00,100.0,12.2,98.0,0.41,1,145,84.61,0.0826
2020-01-03 09:30:00-07:00,100.0,15.0,98.1,0.33,1,145,84.61,0.09092
2020-01-03 10:30:00-07:00,100.0,16.1,98.1,0.3,1,145,84.61,0.09437
2020-01-03 11:30:00-07:00,100.0,17.2,97.9,0.28,1,145,84.61,0.09756
2020-01-03 12:30:00-07:00,100.0,17.2,97.8,0.28,1,145,84.61,0.09759
2020-01-03 13:30:00-07:00,100.0,17.8,97.7,0.27,1,145,84.61,0.09932
2020-01-03 14:30:00-07:00,100.0,18.3,97.7,0.28,1,145,84.61,0.09984
2020-01-03 15:30:00-07:00,100.0,18.3,97.7,0.28,1,145,84.61,0.09984
2020-01-03 16:30:00-07:00,100.0,18.3,97.7,0.28,1,145,84.61,0.09984
2020-01-03 17:30:00-07:00,100.0,17.2,97.7,0.31,1,145,84.61,0.09621
2020-01-03 18:30:00-07:00,100.0,17.2,97.7,0.31,1,145,84.61,0.09621
2020-01-03 19:30:00-07:00,100.0,15.6,97.7,0.37,1,145,84.61,0.09049
2020-01-03 20:30:00-07:00,100.0,13.9,97.7,0.44,1,145,84.61,0.08461
2020-01-03 21:30:00-07:00,100.0,14.4,97.8,0.39,1,145,84.61,0.08743
2020-01-03 22:30:00-07:00,100.0,11.7,97.8,0.52,1,145,84.61,0.07796
2020-01-03 23:30:00-07:00,100.0,12.2,97.7,0.45,1,145,84.61,0.08126
2020-01-04 00:30:00-07:00,100.0,11.1,97.7,0.5,1,145,84.61,0.07766
2020-01-04 01:30:00-07:00,100.0,10.6,97.8,0.5,1,145,84.61,0.07678
2020-01-04 02:30:00-07:00,100.0,10.0,97.8,0.54,1,145,84.61,0.07451
2020-01-04 03:30:00-07:00,100.0,8.9,97.7,0.61,1,145,84.61,0.07067
2020-01-04 04:30:00-07:00,100.0,7.8,97.8,0.65,1,145,84.61,0.06781
2020-01-04 05:30:00-07:00,100.0,7.8,97.7,0.65,1,145,84.61,0.06784
2020-01-04 06:30:00-07:00,100.0,7.2,97.7,0.68,1,145,84.61,0.06613
2020-01-04 07:30:00-07:00,100.0,7.2,97.8,0.65,1,145,84.61,0.0669
2020-01-04 08:30:00-07:00,100.0,8.9,97.9,0.63,1,145,84.61,0.07003
2020-01-04 09:30:00-07:00,100.0,11.1,98.0,0.54,1,145,84.61,0.07626
2020-01-04 10:30:00-07:00,100.0,12.2,98.1,0.5,1,145,84.61,0.0794
2020-01-04 11:30:00-07:00,100.0,13.9,98.0,0.45,1,145,84.61,0.08414
2020-01-04 12:30:00-07:00,100.0,16.1,97.9,0.39,1,145,84.61,0.09049
2020-01-04 13:30:00-07:00,100.0,17.2,97.9,0.36,1,145,84.61,0.09384
2020-01-04 14:30:00-07:00,100.0,18.3,97.9,0.33,1,145,84.61,0.09731
2020-01-04 15:30:00-07:00,100.0,18.9,97.9,0.32,1,145,84.61,0.09895
2020-01-04 16:30:00-07:00,100.0,18.9,97.9,0.3,1,145,84.61,0.09996
2020-01-04 17:30:00-07:00,100.0,17.2,97.9,0.34,1,145,84.61,0.09476
2020-01-04 18:30:00-07:00,100.0,16.1,98.0,0.36,1,145,84.61,0.09176
2020-01-04 19:30:00-07:00,100.0,15.0,98.1,0.39,1,145,84.61,0.08844
2020-01-04 20:30:00-07:00,100.0,14.4,98.2,0.44,1,145,84.61,0.08534
2020-01-04 21:30:00-07:00,100.0,12.2,98.2,0.5,1,145,84.61,0.07937
2020-01-04 22:30:00-07:00,100.0,11.1,98.4,0.57,1,145,84.61,0.07517
2020-01-04 23:30:00-07:00,100.0,9.4,98.3,0.63,1,145,84.61,0.0707
2020-01-05 00:30:00-07:00,100.0,10.0,98.3,0.58,1,145,84.61,0.07314
2020-01-05 01:30:00-07:00,100.0,9.4,98.4,0.61,1,145,84.61,0.07126
2020-01-05 02:30:00-07:00,100.0,8.3,98.4,0.65,1,145,84.61,0.06842
2020-01-05 03:30:00-07:00,100.0,7.2,98.5,0.63,1,145,84.61,0.06725
2020-01-05 04:30:00-07:00,100.0,7.8,98.6,0.5,1,145,84.61,0.07178
2020-01-05 05:30:00-07:00,100.0,6.7,98.6,0.57,1,145,84.61,0.06802
2020-01-05 06:30:00-07:00,100.0,6.7,98.7,0.54,1,145,84.61,0.06879
2020-01-05 07:30:00-07:00,100.0,6.1,98.7,0.62,1,145,84.61,0.06574
2020-01-05 08:30:00-07:00,100.0,10.6,98.8,0.31,1,145,84.61,0.0828
2020-01-05 09:30:00-07:00,100.0,11.7,98.9,0.31,1,145,84.61,0.08496
2020-01-05 10:30:00-07:00,100.0,13.9,98.9,0.27,1,145,84.61,0.09094
2020-01-05 11:30:00-07:00,100.0,15.6,98.8,0.22,1,145,84.61,0.09668
2020-01-05 12:30:00-07:00,100.0,16.7,98.7,0.16,1,145,84.61,0.102
2020-01-05 13:30:00-07:00,100.0,17.8,98.6,0.15,1,145,84.61,0.105
2020-01-05 14:30:00-07:00,100.0,17.2,98.6,0.16,1,145,84.61,0.1031
2020-01-05 15:30:00-07:00,100.0,17.2,98.7,0.16,1,145,84.61,0.1031
2020-01-05 16:30:00-07:00,100.0,17.2,98.6,0.17,1,145,84.61,0.1026
2020-01-05 17:30:00-07:00,100.0,15.6,98.6,0.21,1,145,84.61,0.0972
2020-01-05 18:30:00-07:00,100.0,14.4,98.6,0.22,1,145,84.61,0.09416
2020-01-05 19:30:00-07:00,100.0,12.8,98.7,0.31,1,145,84.61,0.08721
2020-01-05 20:30:00-07:00,100.0,12.2,98.7,0.3,1,145,84.61,0.08639
2020-01-05 21:30:00-07:00,100.0,12.2,98.6,0.3,1,145,84.61,0.08642
2020-01-05 22:30:00-07:00,100.0,10.0,98.7,0.39,1,145,84.61,0.07902
2020-01-05 23:30:00-07:00,100.0,9.4,98.6,0.39,1,145,84.61,0.07793
2020-01-06 00:30:00-07:00,100.0,8.3,98.5,0.42,1,145,84.61,0.07501
2020-01-06 01:30:00-07:00,100.0,7.8,98.5,0.4,1,145,84.61,0.07468
2020-01-06 02:30:00-07:00,100.0,7.2,98.5,0.46,1,145,84.61,0.07189
2020-01-06 03:30:00-07:00,100.0,7.8,98.6,0.38,1,145,84.61,0.07523
2020-01-06 04:30:00-07:00,100.0,6.1,98.6,0.47,1,145,84.61,0.06964
2020-01-06 05:30:00-07:00,100.0,5.6,98.5,0.49,1,145,84.61,0.06828
2020-01-06 06:30:00-07:00,100.0,5.6,98.5,0.49,1,145,84.61,0.06828
2020-01-06 07:30:00-07:00,100.0,6.1,98.6,0.47,1,145,84.61,0.06964
2020-01-06 08:30:00-07:00,100.0,6.7,98.7,0.45,1,145,84.61,0.07121
2020-01-06 09:30:00-07:00,100.0,8.9,98.7,0.41,1,145,84.61,0.07635
2020-01-06 10:30:00-07:00,100.0,12.2,98.8,0.3,1,145,84.61,0.08635
2020-01-06 11:30:00-07:00,100.0,14.4,98.7,0.24,1,145,84.61,0.09328
2020-01-06 12:30:00-07:00,100.0,15.6,98.5,0.24,1,145,84.61,0.09589
2020-01-06 13:30:00-07:00,100.0,16.7,98.5,0.21,1,145,84.61,0.09963
