datetime,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s,percent_makeup
2020-01-01 00:30:00-08:00,1000.0,5.0,98.8,0.79,10,1450,0.4533,0.5995,0.9382
2020-01-01 01:30:00-08:00,1000.0,5.0,98.6,0.86,10,1450,0.4533,0.5838,0.9136
2020-01-01 02:30:00-08:00,1000.0,5.0,98.6,0.86,10,1450,0.4533,0.5838,0.9136
2020-01-01 03:30:00-08:00,1000.0,5.6,98.6,0.86,10,1450,0.4533,0.5917,0.926
2020-01-01 04:30:00-08:00,1000.0,6.1,98.6,0.86,10,1450,0.4533,0.5983,0.9363
2020-01-01 05:30:00-08:00,1000.0,7.8,98.6,0.8,10,1450,0.4533,0.6359,0.9953
2020-01-01 06:30:00-08:00,1000.0,6.7,98.7,0.93,10,1450,0.4533,0.5887,0.9214
2020-01-01 07:30:00-08:00,1000.0,6.7,98.7,0.93,10,1450,0.4533,0.5887,0.9214
2020-01-01 08:30:00-08:00,1000.0,7.8,98.7,0.83,10,1450,0.4533,0.6279,0.9826
2020-01-01 09:30:00-08:00,1000.0,7.8,98.9,0.86,10,1450,0.4533,0.6196,0.9697
2020-01-01 10:30:00-08:00,1000.0,8.9,98.9,0.77,10,1450,0.4533,0.6583,1.03
2020-01-01 11:30:00-08:00,1000.0,9.4,98.9,0.74,10,1450,0.4533,0.6736,1.054
2020-01-01 12:30:00-08:00,1000.0,6.1,98.9,0.96,10,1450,0.4533,0.5738,0.898
2020-01-01 13:30:00-08:00,1000.0,6.7,98.8,0.86,10,1450,0.4533,0.6056,0.9478
2020-01-01 14:30:00-08:00,1000.0,6.7,98.9,0.86,10,1450,0.4533,0.6054,0.9475
2020-01-01 15:30:00-08:00,1000.0,6.1,98.9,0.89,10,1450,0.4533,0.5904,0.924
2020-01-01 16:30:00-08:00,1000.0,6.1,99.1,0.93,10,1450,0.4533,0.5805,0.9084
2020-01-01 17:30:00-08:00,1000.0,6.1,99.2,0.93,10,1450,0.4533,0.5803,0.9081
2020-01-01 18:30:00-08:00,1000.0,6.1,99.3,0.89,10,1450,0.4533,0.5895,0.9226
2020-01-01 19:30:00-08:00,1000.0,6.1,99.4,0.89,10,1450,0.4533,0.5893,0.9223
2020-01-01 20:30:00-08:00,1000.0,5.6,99.5,0.93,10,1450,0.4533,0.5734,0.8974
2020-01-01 21:30:00-08:00,1000.0,6.1,99.6,0.89,10,1450,0.4533,0.5889,0.9216
2020-01-01 22:30:00-08:00,1000.0,6.1,99.8,0.89,10,1450,0.4533,0.5884,0.9209
2020-01-01 23:30:00-08:00,1000.0,6.1,99.9,0.89,10,1450,0.4533,0.5882,0.9206
2020-01-02 00:30:00-08:00,1000.0,6.7,99.9,0.83,10,1450,0.4533,0.6106,0.9556
2020-01-02 01:30:00-08:00,1000.0,6.1,100.0,0.89,10,1450,0.4533,0.588,0.9202
2020-01-02 02:30:00-08:00,1000.0,6.1,100.0,0.89,10,1450,0.4533,0.588,0.9202
2020-01-02 03:30:00-08:00,1000.0,6.7,100.0,0.86,10,1450,0.4533,0.603,0.9437
2020-01-02 04:30:00-08:00,1000.0,6.1,99.9,0.89,10,1450,0.4533,0.5882,0.9206
2020-01-02 05:30:00-08:00,1000.0,6.1,99.9,0.89,10,1450,0.4533,0.5882,0.9206
2020-01-02 06:30:00-08:00,1000.0,6.1,99.9,0.89,10,1450,0.4533,0.5882,0.9206
2020-01-02 07:30:00-08:00,1000.0,6.7,99.9,0.86,10,1450,0.4533,0.6032,0.944
2020-01-02 08:30:00-08:00,1000.0,6.7,99.9,0.86,10,1450,0.4533,0.6032,0.944
2020-01-02 09:30:00-08:00,1000.0,6.7,99.9,0.86,10,1450,0.4533,0.6032,0.944
2020-01-02 10:30:00-08:00,1000.0,8.3,99.9,0.71,10,1450,0.4533,0.6639,1.039
2020-01-02 11:30:00-08:00,1000.0,8.9,99.8,0.63,10,1450,0.4533,0.6955,1.088
2020-01-02 12:30:00-08:00,1000.0,7.8,99.7,0.77,10,1450,0.4533,0.6413,1.004
2020-01-02 13:30:00-08:00,1000.0,8.3,99.5,0.71,10,1450,0.4533,0.6649,1.041
2020-01-02 14:30:00-08:00,1000.0,7.8,99.2,0.77,10,1450,0.4533,0.6424,1.005
2020-01-02 15:30:00-08:00,1000.0,7.8,99.1,0.74,10,1450,0.4533,0.6506,1.018
2020-01-02 16:30:00-08:00,1000.0,8.9,99.1,0.69,10,1450,0.4533,0.6802,1.064
2020-01-02 17:30:00-08:00,1000.0,9.4,98.9,0.66,10,1450,0.4533,0.6967,1.09
2020-01-02 18:30:00-08:00,1000.0,8.9,98.9,0.69,10,1450,0.4533,0.6807,1.065
2020-01-02 19:30:00-08:00,1000.0,8.3,98.8,0.74,10,1450,0.4533,0.6584,1.03
2020-01-02 20:30:00-08:00,1000.0,7.2,98.7,0.83,10,1450,0.4533,0.6199,0.9702
2020-01-02 21:30:00-08:00,1000.0,6.7,98.4,0.86,10,1450,0.4533,0.6065,0.9492
2020-01-02 22:30:00-08:00,1000.0,6.7,98.3,0.86,10,1450,0.4533,0.6068,0.9496
2020-01-02 23:30:00-08:00,1000.0,7.2,98.1,0.8,10,1450,0.4533,0.629,0.9844
2020-01-03 00:30:00-08:00,1000.0,7.2,98.0,0.83,10,1450,0.4533,0.6215,0.9727
2020-01-03 01:30:00-08:00,1000.0,8.9,98.0,0.77,10,1450,0.4533,0.6604,1.034
2020-01-03 02:30:00-08:00,1000.0,8.3,98.0,0.8,10,1450,0.4533,0.6441,1.008
2020-01-03 03:30:00-08:00,1000.0,8.3,98.0,0.86,10,1450,0.4533,0.628,0.9829
2020-01-03 04:30:00-08:00,1000.0,7.8,98.1,0.93,10,1450,0.4533,0.6034,0.9444
2020-01-03 05:30:00-08:00,1000.0,7.8,98.1,0.93,10,1450,0.4533,0.6034,0.9444
2020-01-03 06:30:00-08:00,1000.0,7.8,98.2,0.86,10,1450,0.4533,0.6212,0.9722
2020-01-03 07:30:00-08:00,1000.0,7.2,98.3,0.89,10,1450,0.4533,0.6057,0.9479
2020-01-03 08:30:00-08:00,1000.0,7.2,98.4,0.86,10,1450,0.4533,0.613,0.9594
2020-01-03 09:30:00-08:00,1000.0,7.2,98.5,0.86,10,1450,0.4533,0.6128,0.959
2020-01-03 10:30:00-08:00,1000.0,7.8,98.5,0.83,10,1450,0.4533,0.6283,0.9833
2020-01-03 11:30:00-08:00,1000.0,7.8,98.6,0.86,10,1450,0.4533,0.6203,0.9708
2020-01-03 12:30:00-08:00,1000.0,8.9,98.5,0.77,10,1450,0.4533,0.6592,1.032
2020-01-03 13:30:00-08:00,1000.0,8.9,98.5,0.77,10,1450,0.4533,0.6592,1.032
2020-01-03 14:30:00-08:00,1000.0,8.3,98.5,0.8,10,1450,0.4533,0.6429,1.006
2020-01-03 15:30:00-08:00,1000.0,7.8,98.6,0.86,10,1450,0.4533,0.6203,0.9708
2020-01-03 16:30:00-08:00,1000.0,7.2,98.6,0.93,10,1450,0.4533,0.5951,0.9313
2020-01-03 17:30:00-08:00,1000.0,7.2,98.6,0.86,10,1450,0.4533,0.6126,0.9587
2020-01-03 18:30:00-08:00,1000.0,6.7,98.7,0.89,10,1450,0.4533,0.5985,0.9366
2020-01-03 19:30:00-08:00,1000.0,7.2,98.8,0.83,10,1450,0.4533,0.6197,0.9699
2020-01-03 20:30:00-08:00,1000.0,7.2,98.8,0.8,10,1450,0.4533,0.6274,0.9818
2020-01-03 21:30:00-08:00,1000.0,7.2,98.9,0.77,10,1450,0.4533,0.6348,0.9935
2020-01-03 22:30:00-08:00,1000.0,7.2,98.9,0.77,10,1450,0.4533,0.6348,0.9935
2020-01-03 23:30:00-08:00,1000.0,6.7,99.0,0.86,10,1450,0.4533,0.6052,0.9471
2020-01-04 00:30:00-08:00,1000.0,6.1,99.0,0.93,10,1450,0.4533,0.5807,0.9088
2020-01-04 01:30:00-08:00,1000.0,6.1,99.0,0.96,10,1450,0.4533,0.5736,0.8977
2020-01-04 02:30:00-08:00,1000.0,6.1,99.0,0.93,10,1450,0.4533,0.5807,0.9088
2020-01-04 03:30:00-08:00,1000.0,5.6,99.1,0.96,10,1450,0.4533,0.5674,0.8879
2020-01-04 04:30:00-08:00,1000.0,5.6,99.1,0.93,10,1450,0.4533,0.5743,0.8987
2020-01-04 05:30:00-08:00,1000.0,5.0,99.1,0.93,10,1450,0.4533,0.5668,0.887
2020-01-04 06:30:00-08:00,1000.0,6.1,99.1,0.83,10,1450,0.4533,0.6044,0.9458
2020-01-04 07:30:00-08:00,1000.0,5.6,99.1,0.86,10,1450,0.4533,0.5906,0.9243
2020-01-04 08:30:00-08:00,1000.0,5.6,99.2,0.89,10,1450,0.4533,0.5833,0.9129
2020-01-04 09:30:00-08:00,1000.0,5.6,99.3,0.89,10,1450,0.4533,0.5831,0.9126
2020-01-04 10:30:00-08:00,1000.0,6.7,99.3,0.83,10,1450,0.4533,0.6119,0.9577
2020-01-04 11:30:00-08:00,1000.0,6.7,99.3,0.86,10,1450,0.4533,0.6045,0.9461
2020-01-04 12:30:00-08:00,1000.0,7.8,99.3,0.83,10,1450,0.4533,0.6265,0.9805
2020-01-04 13:30:00-08:00,1000.0,7.8,99.3,0.8,10,1450,0.4533,0.6343,0.9927
2020-01-04 14:30:00-08:00,1000.0,7.8,99.3,0.77,10,1450,0.4533,0.6422,1.005
2020-01-04 15:30:00-08:00,1000.0,7.8,99.4,0.8,10,1450,0.4533,0.6341,0.9924
2020-01-04 16:30:00-08:00,1000.0,7.2,99.4,0.8,10,1450,0.4533,0.626,0.9796
2020-01-04 17:30:00-08:00,1000.0,6.7,99.5,0.8,10,1450,0.4533,0.6189,0.9686
2020-01-04 18:30:00-08:00,1000.0,5.0,99.5,0.89,10,1450,0.4533,0.5749,0.8998
2020-01-04 19:30:00-08:00,1000.0,4.4,99.5,0.89,10,1450,0.4533,0.5672,0.8876
2020-01-04 20:30:00-08:00,1000.0,4.4,99.6,0.93,10,1450,0.4533,0.5581,0.8735
2020-01-04 21:30:00-08:00,1000.0,5.0,99.6,0.93,10,1450,0.4533,0.5657,0.8853
2020-01-04 22:30:00-08:00,1000.0,3.9,99.6,0.89,10,1450,0.4533,0.5604,0.8771
2020-01-04 23:30:00-08:00,1000.0,3.3,99.7,0.89,10,1450,0.4533,0.5523,0.8644
2020-01-05 00:30:00-08:00,1000.0,1.7,99.7,0.92,10,1450,0.4533,0.5254,0.8222
2020-01-05 01:30:00-08:00,1000.0,2.8,99.7,0.89,10,1450,0.4533,0.5458,0.8541
2020-01-05 02:30:00-08:00,1000.0,2.2,99.7,0.93,10,1450,0.4533,0.5299,0.8293
2020-01-05 03:30:00-08:00,1000.0,0.0,99.7,0.96,10,1450,0.4533,0.496,0.7763
2020-01-05 04:30:00-08:00,1000.0,0.0,99.7,1.0,10,1450,0.4533,0.4889,0.7652
2020-01-05 05:30:00-08:00,1000.0,-1.1,99.7,1.0,10,1450,0.4533,0.4728,0.74
2020-01-05 06:30:00-08:00,1000.0,0.6,99.8,1.0,10,1450,0.4533,0.4962,0.7765
