,plant_code,state,generator_id,generator_type,Sector,Year,net_gen_steam_turbine_MWh,net_gen_sscc_MWh,net_gen_ccgt_MWh,fuel_cons_total_MMBTU,water_withdrawal_MGal,water_consumption_MGal,total_gen_MWh,water_consumption_ML,water_consumption_intensity_L_per_kWh,water_consumption_rate_per_fuel_cons_L_per_kWh
0,117,AZ,C4-1,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,803.0,0.0,0.0,0.0,803.0,0.0,0.0,
1,141,AZ,AF1,Natural Gas Steam Turbine,Electric Utility,2020,1376.0,0.0,0.0,0.0,19.0,15.0,1376.0,56.781150000000004,41.265370639534886,inf
2,141,AZ,AF2,Natural Gas Steam Turbine,Electric Utility,2020,815.0,0.0,0.0,0.0,15.0,12.0,815.0,45.42492,55.7360981595092,inf
3,141,AZ,AF3,Natural Gas Steam Turbine,Electric Utility,2020,561.0,0.0,0.0,0.0,16.0,15.0,561.0,56.781150000000004,101.21417112299466,inf
4,202,AR,1,Natural Gas Steam Turbine,Electric Utility,2020,657.0,0.0,0.0,0.0,22.0,0.0,657.0,0.0,0.0,
5,203,AR,1,Natural Gas Steam Turbine,Electric Utility,2020,1594.0,0.0,0.0,0.0,99.0,0.0,1594.0,0.0,0.0,
6,350,CA,1,Natural Gas Steam Turbine,IPP Non-CHP,2020,333.0,0.0,0.0,0.0,640.0,0.0,333.0,0.0,0.0,
7,350,CA,2,Natural Gas Steam Turbine,IPP Non-CHP,2020,105.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,
8,356,CA,5,Natural Gas Steam Turbine,IPP Non-CHP,2020,928.0,0.0,0.0,0.0,638.0,0.0,928.0,0.0,0.0,
9,356,CA,6,Natural Gas Steam Turbine,IPP Non-CHP,2020,1844.0,0.0,0.0,0.0,973.0,0.0,1844.0,0.0,0.0,
10,377,CA,1,Natural Gas Fired Combined Cycle,Electric Utility,2020,974.0,0.0,0.0,0.0,106.0,100.0,974.0,378.541,388.64579055441476,inf
11,377,CA,4,Natural Gas Steam Turbine,Electric Utility,2020,157.0,0.0,0.0,0.0,1.0,1.0,157.0,3.78541,24.110891719745226,inf
12,377,CA,5,Natural Gas Steam Turbine,Electric Utility,2020,955.0,0.0,0.0,217.0,8.0,7.0,955.0,26.497870000000002,27.746460732984296,416.6564154
13,377,CA,8A,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,1084.0,446.0,90.0,84.0,1084.0,317.97444,293.33435424354246,2432.675573321973
14,377,CA,8BC,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,1122.0,0.0,36.0,36.0,1122.0,136.27476000000001,121.4570053475936,inf
15,389,CA,30,Natural Gas Fired Combined Cycle,Electric Utility,2020,1836.0,0.0,0.0,0.0,764.0,676.0,1836.0,2558.93716,1393.756623093682,inf
16,389,CA,31,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,1248.0,0.0,762.0,674.0,1248.0,2551.36634,2044.3640544871794,inf
17,404,CA,1,Natural Gas Steam Turbine,Electric Utility,2020,975.0,0.0,0.0,0.0,0.0,0.0,975.0,0.0,0.0,
18,470,CO,3,Conventional Steam Coal,Electric Utility,2020,607.0,0.0,0.0,0.0,272.0,173.0,607.0,654.87593,1078.8730313014828,inf
19,492,CO,6,Conventional Steam Coal,Electric Utility,2020,423.0,0.0,0.0,0.0,0.0,0.0,423.0,0.0,0.0,
20,533,AL,2,Natural Gas Fired Combined Cycle,Electric Utility,2020,1269.0,0.0,0.0,0.0,4.0,3.0,1269.0,11.35623,8.948959810874705,inf
21,533,AL,3,Natural Gas Fired Combined Cycle,Electric Utility,2020,704.0,0.0,0.0,0.0,4.0,3.0,704.0,11.35623,16.13100852272727,inf
22,546,CT,5,Natural Gas Steam Turbine,IPP Non-CHP,2020,207.0,0.0,0.0,0.0,22.0,0.0,207.0,0.0,0.0,
23,546,CT,6,Petroleum Liquids,IPP Non-CHP,2020,455.0,0.0,0.0,0.0,233.0,0.0,455.0,0.0,0.0,
24,562,CT,3,Natural Gas Steam Turbine,IPP Non-CHP,2020,995.0,0.0,0.0,0.0,80.0,0.0,995.0,0.0,0.0,
25,568,CT,3,Conventional Steam Coal,IPP Non-CHP,2020,575.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,0.0,
26,593,DE,3,Natural Gas Steam Turbine,IPP Non-CHP,2020,189.0,0.0,0.0,0.0,977.0,7.0,189.0,26.497870000000002,140.2003703703704,inf
27,599,DE,3,Natural Gas Steam Turbine,IPP Non-CHP,2020,986.0,0.0,0.0,0.0,0.0,0.0,986.0,0.0,0.0,
28,620,FL,4A,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,644.0,0.0,0.0,203.0,644.0,768.4382300000001,1193.2270652173916,inf
29,641,FL,4,Conventional Steam Coal,Electric Utility,2020,467.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,0.0,
30,641,FL,5,Conventional Steam Coal,Electric Utility,2020,96.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,
31,645,FL,ST3,Natural Gas Steam Turbine,Electric Utility,2020,208.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,
32,663,FL,2,Conventional Steam Coal,Electric Utility,2020,400.0,0.0,0.0,0.0,8.0,8.0,400.0,30.28328,75.7082,inf
33,887,IL,2,Conventional Steam Coal,IPP Non-CHP,2020,1.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0
34,887,IL,5,Conventional Steam Coal,IPP Non-CHP,2020,330.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,
35,990,IN,5,Natural Gas Steam Turbine,Electric Utility,2020,645.0,0.0,0.0,0.0,130.0,0.0,645.0,0.0,0.0,
36,994,IN,ST1,Conventional Steam Coal,Electric Utility,2020,469.0,0.0,0.0,0.0,81.0,0.0,469.0,0.0,0.0,
37,1047,IA,4,Conventional Steam Coal,Electric Utility,2020,696.0,0.0,0.0,0.0,0.0,0.0,696.0,0.0,0.0,
38,1336,KS,S2,Natural Gas Steam Turbine,Electric Utility,2020,632.0,0.0,0.0,0.0,1.0,0.0,632.0,0.0,0.0,
39,1353,KY,1,Natural Gas Steam Turbine,Electric Utility,2020,130.0,0.0,0.0,194.0,0.0,0.0,130.0,0.0,0.0,0.0
40,1384,KY,1,Conventional Steam Coal,Electric Utility,2020,1281.0,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,0.0,
41,1416,LA,5,Natural Gas Steam Turbine,Electric Utility,2020,781.0,0.0,0.0,0.0,21.0,0.0,781.0,0.0,0.0,
42,1417,LA,3,Natural Gas Steam Turbine,Electric Utility,2020,982.0,0.0,0.0,0.0,831.0,0.0,982.0,0.0,0.0,
43,1417,LA,4,Natural Gas Steam Turbine,Electric Utility,2020,313.0,0.0,0.0,0.0,831.0,0.0,313.0,0.0,0.0,
44,1464,LA,1,Natural Gas Steam Turbine,IPP Non-CHP,2020,1687.0,0.0,0.0,0.0,15.0,2.0,1687.0,7.57082,4.487741553052757,inf
45,1554,MD,1,Natural Gas Steam Turbine,IPP Non-CHP,2020,259.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,
46,1571,MD,4,Natural Gas Steam Turbine,IPP Non-CHP,2020,758.0,0.0,0.0,0.0,0.0,0.0,758.0,0.0,0.0,
47,1572,MD,3,Conventional Steam Coal,IPP Non-CHP,2020,740.0,0.0,0.0,0.0,4.0,0.0,740.0,0.0,0.0,
48,1682,MA,9A,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,2864.0,0.0,7.0,6.0,2864.0,22.71246,7.930328212290503,inf
49,1682,MA,CA9,Natural Gas Fired Combined Cycle,Electric Utility,2020,2625.0,0.0,0.0,0.0,3.0,3.0,2625.0,11.35623,4.326182857142857,inf
50,1702,MI,3,Natural Gas Steam Turbine,Electric Utility,2020,716.0,0.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,
51,1740,MI,3,Conventional Steam Coal,Electric Utility,2020,648.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0,
52,1743,MI,7,Conventional Steam Coal,Electric Utility,2020,833.0,0.0,0.0,0.0,0.0,2.0,833.0,7.57082,9.088619447779113,inf
53,1891,MN,1,Natural Gas Steam Turbine,Electric Utility,2020,719.0,0.0,0.0,0.0,306.0,0.0,719.0,0.0,0.0,
54,1891,MN,2,Natural Gas Steam Turbine,Electric Utility,2020,688.0,0.0,0.0,0.0,306.0,0.0,688.0,0.0,0.0,
55,2070,MS,3,Natural Gas Steam Turbine,Electric Utility,2020,2210.0,0.0,0.0,0.0,6.0,3.0,2210.0,11.35623,5.138565610859728,inf
56,2132,MO,3,Natural Gas Steam Turbine,Electric Utility,2020,562.0,0.0,0.0,0.0,24.0,24.0,562.0,90.84984,161.65451957295372,inf
57,2226,NE,1,Natural Gas Steam Turbine,Electric Utility,2020,952.0,0.0,0.0,0.0,18.0,0.0,952.0,0.0,0.0,
58,2322,NV,9,Natural Gas Fired Combined Cycle,Electric Utility,2020,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,
59,2393,NJ,4,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,8004.0,0.0,104.0,24.0,8004.0,90.84984,11.35055472263868,inf
60,2393,NJ,5,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,8272.0,0.0,104.0,24.0,8272.0,90.84984,10.982814313346228,inf
61,2393,NJ,6,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,1232.0,0.0,24.0,4.0,1232.0,15.14164,12.29029220779221,inf
62,2393,NJ,7,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,5364.0,0.0,64.0,16.0,5364.0,60.56656,11.29130499627144,inf
63,2393,NJ,8,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,7144.0,0.0,0.0,0.0,104.0,24.0,7144.0,90.84984,12.716942889137737,inf
64,2398,NJ,1101,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,1110.0,0.0,0.0,0.0,1110.0,0.0,0.0,
65,2398,NJ,1201,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,888.0,0.0,0.0,0.0,888.0,0.0,0.0,
66,2398,NJ,1301,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,984.0,0.0,0.0,0.0,984.0,0.0,0.0,
67,2398,NJ,1401,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,318.0,2484.0,0.0,0.0,318.0,0.0,0.0,0.0
68,2398,NJ,2101,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,4128.0,0.0,0.0,0.0,4128.0,0.0,0.0,
