,ZipSubregi,ClimateZone,eGRID-Climate
0,AZNM,2B,AZNM-2B
1,CAMX,2B,CAMX-2B
2,AZNM,5B,AZNM-5B
3,CAMX,5B,CAMX-5B
4,NWPP,5B,NWPP-5B
5,RMPA,5B,RMPA-5B
6,SPNO,5B,SPNO-5B
7,SPSO,5B,SPSO-5B
8,AZNM,6B,AZNM-6B
9,CAMX,6B,CAMX-6B
10,MROW,6B,MROW-6B
11,NWPP,6B,NWPP-6B
12,RMPA,6B,RMPA-6B
13,AZNM,4B,AZNM-4B
14,CAMX,4B,CAMX-4B
15,ERCT,4B,ERCT-4B
16,NWPP,4B,NWPP-4B
17,RMPA,4B,RMPA-4B
18,SPNO,4B,SPNO-4B
19,SPSO,4B,SPSO-4B
20,AZNM,3B,AZNM-3B
21,CAMX,3B,CAMX-3B
22,ERCT,3B,ERCT-3B
23,NWPP,3B,NWPP-3B
24,SPSO,3B,SPSO-3B
25,AZNM,4B,AZNM-4B
26,NWPP,4B,NWPP-4B
27,CAMX,4C,CAMX-4C
28,NWPP,4C,NWPP-4C
29,CAMX,3C,CAMX-3C
30,ERCT,2B,ERCT-2B
31,ERCT,2A,ERCT-2A
32,FRCC,2A,FRCC-2A
33,SPSO,2A,SPSO-2A
34,SRMV,2A,SRMV-2A
35,SRSO,2A,SRSO-2A
36,SRVC,2A,SRVC-2A
37,ERCT,3A,ERCT-3A
38,SPSO,3A,SPSO-3A
39,SRMV,3A,SRMV-3A
40,SRSO,3A,SRSO-3A
41,SRTV,3A,SRTV-3A
42,SRVC,3A,SRVC-3A
43,ERCT,3A,ERCT-3A
44,SPNO,3A,SPNO-3A
45,SPSO,3A,SPSO-3A
46,SRMV,3A,SRMV-3A
47,SRMW,3A,SRMW-3A
48,SRSO,3A,SRSO-3A
49,SRTV,3A,SRTV-3A
50,SRVC,3A,SRVC-3A
51,FRCC,1A,FRCC-1A
52,MROE,7N/A,MROE-7N/A
53,MROW,7N/A,MROW-7N/A
54,NEWE,7N/A,NEWE-7N/A
55,NWPP,7N/A,NWPP-7N/A
56,RFCW,7N/A,RFCW-7N/A
57,RMPA,7N/A,RMPA-7N/A
58,MROE,5A,MROE-5A
59,MROW,5A,MROW-5A
60,NEWE,5A,NEWE-5A
61,NYCW,5A,NYCW-5A
62,NYUP,5A,NYUP-5A
63,RFCE,5A,RFCE-5A
64,RFCM,5A,RFCM-5A
65,RFCW,5A,RFCW-5A
66,RMPA,5A,RMPA-5A
67,SPNO,5A,SPNO-5A
68,SRMW,5A,SRMW-5A
69,SRTV,5A,SRTV-5A
70,SRVC,5A,SRVC-5A
71,MROE,6A,MROE-6A
72,MROW,6A,MROW-6A
73,NEWE,6A,NEWE-6A
74,NWPP,6A,NWPP-6A
75,NYUP,6A,NYUP-6A
76,RFCE,6A,RFCE-6A
77,RFCM,6A,RFCM-6A
78,RFCW,6A,RFCW-6A
79,RMPA,6A,RMPA-6A
80,NEWE,4A,NEWE-4A
81,NYCW,4A,NYCW-4A
82,NYLI,4A,NYLI-4A
83,NYUP,4A,NYUP-4A
84,RFCE,4A,RFCE-4A
85,RFCW,4A,RFCW-4A
86,RMPA,4A,RMPA-4A
87,SPNO,4A,SPNO-4A
88,SPSO,4A,SPSO-4A
89,SRMV,4A,SRMV-4A
90,SRMW,4A,SRMW-4A
91,SRSO,4A,SRSO-4A
92,SRTV,4A,SRTV-4A
93,SRVC,4A,SRVC-4A
