,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,Total_w4e_intensity_factor_(L/kWh),chp_id,Total_annual_water_consumption_L,percent_evaporation,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,128979.70417685673,1725.2613856607798,361203.00163818436,569.52,4B,AZNM,AbsorptionChiller,142.53412978266928,0.0279,RE1,367765.54506483505,0.9821556328081421,4.530469285837709,0.00795489058476912
1,albuquerque,hospital,11210146.841727791,17811677.759634152,238252.98754285456,38002117.74134321,22422.0,4B,AZNM,AbsorptionChiller,499.9619499477206,0.0279,RE1,38908383.649961114,0.9767076957816825,3.4708183754677977,0.00015479521788724457
2,albuquerque,large_hotel,2760202.8158055292,4385655.585113203,58663.51051192003,9514229.806455025,11345.0,4B,AZNM,AbsorptionChiller,243.29685463248384,0.0279,RE1,9737373.869432362,0.9770837531793011,3.527774775706341,0.0003109541450600565
3,albuquerque,large_office,3060472.3538688957,4862750.51781392,65045.23909422693,12597871.250606768,46320.0,4B,AZNM,AbsorptionChiller,66.0723737881886,0.0279,RE1,12845290.111192496,0.9807385540969491,4.197159335536596,9.06122481765241e-05
4,albuquerque,medium_office,320281.0793964718,508891.0483743934,6807.040540772998,1391996.7426772073,4982.0,4B,AZNM,AbsorptionChiller,64.28765142442228,0.0279,RE1,1417889.340475474,0.9817386328684974,4.427015617492307,0.0008886020910261555
5,albuquerque,midrise_apartment,116117.84474337615,184498.35331447466,2467.8912602792298,485447.1698217076,3135.0,4B,AZNM,AbsorptionChiller,37.039184926116796,0.0279,RE1,494834.52625502343,0.9810293018469008,4.261485625647137,0.0013593255584201395
6,albuquerque,outpatient_healthcare,1083317.174704926,1721270.6220311571,23024.101019728692,4100651.169343737,3804.0,4B,AZNM,AbsorptionChiller,284.7836947173833,0.0279,RE1,4188230.1669712136,0.9790892586758643,3.8661162813300765,0.0010163292011908717
7,albuquerque,primary_school,348703.2289519561,554050.686001442,7411.1059593255895,1555843.8324336733,6871.0,4B,AZNM,AbsorptionChiller,50.74999693668405,0.0279,RE1,1584034.1722290292,0.9822034522426452,4.542642684984358,0.0006611326859240806
8,albuquerque,quick_service_restaurant,31838.046692328386,50587.1186333662,676.664619034285,143877.56835068596,232.0,4B,AZNM,AbsorptionChiller,137.2329598807258,0.0279,RE1,146451.46294115105,0.9824249308352805,4.599888440280465,0.01982710534603649
9,albuquerque,secondary_school,3259135.764834071,5178404.604125248,69267.49878860671,13876625.411975093,19592.0,4B,AZNM,AbsorptionChiller,166.35033507728008,0.0279,RE1,14140104.889713248,0.9813665117908826,4.338605664202254,0.00022144781871183414
10,albuquerque,small_hotel,346770.75835346343,550980.2049393927,7370.034517538954,1349482.540072381,4014.0,4B,AZNM,AbsorptionChiller,86.39032345626892,0.0279,RE1,1377516.6524563082,0.9796488032765787,3.9724129537249087,0.0009896395001805951
11,albuquerque,small_office,20208.386839671384,32108.88131192223,429.495581632483,87755.36616224228,511.0,4B,AZNM,AbsorptionChiller,39.546745283114255,0.0279,RE1,89389.08000377606,0.9817235635329867,4.42336544292071,0.008656292451899628
12,albuquerque,stand_alone_retail,98566.42002864565,156611.0896010704,2094.864980342154,444696.4582260003,2294.0,4B,AZNM,AbsorptionChiller,42.96705319470168,0.0279,RE1,452664.8985566809,0.9823966020866918,4.5924859442508525,0.002001955511879186
13,albuquerque,strip_mall,91738.00433999556,145761.4957846596,1949.7383855727032,414841.6830539599,2090.0,4B,AZNM,AbsorptionChiller,43.89378198085912,0.0279,RE1,422258.0913340468,0.9824363145851011,4.602869817933814,0.002202330056427662
14,albuquerque,supermarket,96451.65469490988,153250.96245968994,2049.9191677824824,443690.6616397092,4181.0,4B,AZNM,AbsorptionChiller,23.069039630449627,0.0279,RE1,451488.1372405115,0.9827293898606941,4.680978658879744,0.0011195835108538015
15,albuquerque,warehouse,25741.81669509118,40900.88652664495,547.0994108263384,122172.57653630468,4835.0,4B,AZNM,AbsorptionChiller,5.324057227526614,0.0279,RE1,124253.63142577453,0.983251556790813,4.826917730692605,0.0009983283827699287
16,atlanta,full_service_restaurant,138201.1475863159,219586.2678315909,2937.235056701169,504548.7006715014,569.52,3A,SRSO,AbsorptionChiller,242.66250102949132,0.0279,RE1,515721.3454510631,0.9783358884054143,3.7316719467105766,0.006552310624228432
17,atlanta,hospital,16863438.28369626,26794129.717428878,358404.27498949604,51946586.71798386,22422.0,3A,SRSO,AbsorptionChiller,752.093403072708,0.0279,RE1,53309883.687628254,0.9744269378332787,3.161270127170257,0.0001409896586910292
18,atlanta,large_hotel,3565816.3839056278,5665686.032205581,75785.4842126073,11352584.313162655,11345.0,3A,SRSO,AbsorptionChiller,314.3073057651501,0.0279,RE1,11640856.881823028,0.9752361384057127,3.2645699128996744,0.00028775406900834503
19,atlanta,large_office,6461081.304124868,10265940.294331718,137319.5146503334,21830640.62335508,46320.0,3A,SRSO,AbsorptionChiller,139.48793834466468,0.0279,RE1,22352976.12898298,0.9766323954978577,3.45963393382969,7.46898517666168e-05
