,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,PoG_w4e_intensity (L/kWh),Total_w4e_intensity (L/kWh),annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm,Total_annual_water_consumption_L,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity L_per_kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,128979.70417685673,1725.2613856607798,361203.00163818436,569.52,4B,AZNM,AbsorptionChiller,16.789252863252493,11.15,14.942,380439.66608830204,4.686600595016453,0.0009693072585349438,386981.85726272775,4.767193235016454,0.0009859758500551095
1,albuquerque,hospital,11210146.841727791,17811677.759634152,238252.98754285456,38002117.74134321,22422.0,4B,AZNM,AbsorptionChiller,2318.541228899233,11.15,14.942,40658638.55244604,3.6269496846465414,0.0007501447124398224,41562093.88120854,3.7075423246465413,0.0007668133039599879
2,albuquerque,large_hotel,2760202.8158055292,4385655.585113203,58663.51051192003,9514229.806455025,11345.0,4B,AZNM,AbsorptionChiller,570.8795896185169,11.15,14.942,10168327.948662933,3.683906084885084,0.0007619247331716823,10390779.980524134,3.764498724885084,0.0007785933246918478
3,albuquerque,large_office,3060472.3538688957,4862750.51781392,65045.23909422693,12597871.250606768,46320.0,4B,AZNM,AbsorptionChiller,632.9829066947044,11.15,14.942,13323125.666507399,4.35329064471534,0.0009003703505098945,13569777.213152707,4.43388328471534,0.00091703894203006
4,albuquerque,medium_office,320281.0793964718,508891.0483743934,6807.040540772998,1391996.7426772073,4982.0,4B,AZNM,AbsorptionChiller,66.24220876866015,11.15,14.942,1467895.2447068263,4.58314692667105,0.0009479104295079732,1493707.5424374375,4.66373956667105,0.0009645790210281386
5,albuquerque,midrise_apartment,116117.84474337615,184498.35331447466,2467.8912602792298,485447.1698217076,3135.0,4B,AZNM,AbsorptionChiller,24.01610025716156,11.15,14.942,512964.157373821,4.417616934825882,0.0009136746504293448,522322.40103279985,4.498209574825882,0.0009303432419495103
6,albuquerque,outpatient_healthcare,1083317.174704926,1721270.6220311571,23024.101019728692,4100651.169343737,3804.0,4B,AZNM,AbsorptionChiller,224.0573267228389,11.15,14.942,4357369.895713712,4.022247590508821,0.0008319022937970673,4444677.286780523,4.1028402305088205,0.0008485708853172328
7,albuquerque,primary_school,348703.2289519561,554050.686001442,7411.1059593255895,1555843.8324336733,6871.0,4B,AZNM,AbsorptionChiller,72.12062646369309,11.15,14.942,1638477.6638801536,4.698773994163103,0.0009718250246459365,1666580.5776779163,4.779366634163103,0.0009884936161661019
8,albuquerque,quick_service_restaurant,31838.046692328386,50587.1186333662,676.664619034285,143877.56835068596,232.0,4B,AZNM,AbsorptionChiller,6.58491141516616,11.15,14.942,151422.37885291825,4.756019749459209,0.0009836648913049036,153988.29108829625,4.836612389459209,0.001000333482825069
9,albuquerque,secondary_school,3259135.764834071,5178404.604125248,69267.49878860671,13876625.411975093,19592.0,4B,AZNM,AbsorptionChiller,674.0715128922587,11.15,14.942,14648958.023468059,4.4947369733809985,0.0009296250203476729,14911620.378874455,4.575329613380998,0.0009462936118678384
10,albuquerque,small_hotel,346770.75835346343,550980.2049393927,7370.034517538954,1349482.540072381,4014.0,4B,AZNM,AbsorptionChiller,71.7209427825157,11.15,14.942,1431658.4249429405,4.128544262903653,0.0008538871277980668,1459605.595833448,4.209136902903652,0.0008705557193182321
11,albuquerque,small_office,20208.386839671384,32108.88131192223,429.495581632483,87755.36616224228,511.0,4B,AZNM,AbsorptionChiller,4.179604310169883,11.15,14.942,92544.24189744447,4.579496752099455,0.0009471554813028863,94172.88914299484,4.660089392099454,0.0009638240728230516
12,albuquerque,stand_alone_retail,98566.42002864565,156611.0896010704,2094.864980342154,444696.4582260003,2294.0,4B,AZNM,AbsorptionChiller,20.38602275670024,11.15,14.942,468054.2027568153,4.748617253429597,0.0009821338683411783,475997.9307622728,4.8292098934295975,0.000998802459861344
13,albuquerque,strip_mall,91738.00433999556,145761.4957846596,1949.7383855727032,414841.6830539599,2090.0,4B,AZNM,AbsorptionChiller,18.973734093070437,11.15,14.942,436581.2660530956,4.759001127112557,0.0009842815154317596,443974.6740111873,4.839593767112557,0.001000950106951925
14,albuquerque,supermarket,96451.65469490988,153250.96245968994,2049.9191677824824,443690.6616397092,4181.0,4B,AZNM,AbsorptionChiller,19.94863592449015,11.15,14.942,466547.2603604839,4.837109968058488,0.0010004363946346409,474320.55384471506,4.917702608058488,0.0010171049861548063
15,albuquerque,warehouse,25741.81669509118,40900.88652664495,547.0994108263384,122172.57653630468,4835.0,4B,AZNM,AbsorptionChiller,5.324057227526614,11.15,14.942,128272.73496701836,4.983049039871349,0.0010306202771192036,130347.33593287184,5.063641679871349,0.001047288868639369
16,atlanta,full_service_restaurant,138201.1475863159,219586.2678315909,2937.235056701169,504548.7006715014,569.52,3A,SRSO,AbsorptionChiller,28.583484505959856,11.15,14.942,537298.8715537194,3.88780325588932,0.0008040958130070982,548436.8668887303,3.9683958958893206,0.0008207644045272639
17,atlanta,hospital,16863438.28369626,26794129.717428878,358404.27498949604,51946586.71798386,22422.0,3A,SRSO,AbsorptionChiller,3487.7845467830944,11.15,14.942,55942794.38411674,3.317401436349003,0.000686122323960497,57301863.394876905,3.3979940763490037,0.0007027909154806626
18,atlanta,large_hotel,3565816.3839056278,5665686.032205581,75785.4842126073,11352584.313162655,11345.0,3A,SRSO,AbsorptionChiller,737.5008032896851,11.15,14.942,12197592.462133227,3.420701222078418,0.0007074873261796108,12484971.018267432,3.5012938620784175,0.0007241559176997761
19,atlanta,large_office,6461081.304124868,10265940.294331718,137319.5146503334,21830640.62335508,46320.0,3A,SRSO,AbsorptionChiller,1336.3146440796004,11.15,14.942,23361753.211706296,3.615765243008433,0.0007478314876956428,23882468.81126036,3.696357883008433,0.0007645000792158083
20,atlanta,medium_office,490971.69680856995,780099.4738180602,10434.785129504771,1736731.5157058043,4982.0,3A,SRSO,AbsorptionChiller,101.54533543093484,11.15,14.942,1853079.3698997826,3.7743099692817914,0.0007806225375970613,1892648.0751108646,3.854902609281791,0.0007972911291172267
21,atlanta,midrise_apartment,190390.21539679018,302508.89779712254,4046.4267112331227,675359.5571061383,3135.0,3A,SRSO,AbsorptionChiller,39.377500599129306,11.15,14.942,720477.2149363876,3.7842134556907183,0.0007826708284779148,735821.2650253837,3.864806095690719,0.0007993394199980805
22,atlanta,outpatient_healthcare,1474836.239312145,2343350.913573765,31345.186206181068,4856387.413846394,3804.0,3A,SRSO,AbsorptionChiller,305.03334835825126,11.15,14.942,5205886.240045313,3.529806293933561,0.0007300530080524428,5324747.186139151,3.6103989339335616,0.0007467215995726084
23,atlanta,primary_school,581751.7807207332,924338.9404784988,12364.164512918005,2132793.5377059886,6871.0,3A,SRSO,AbsorptionChiller,120.32094740863148,11.15,14.942,2270653.9720250242,3.9031319667159545,0.0008072661771904767,2317538.8838580092,3.983724606715955,0.0008239347687106421
24,atlanta,quick_service_restaurant,55457.844426624295,88116.35281119213,1178.6640535471902,204063.22581834727,232.0,3A,SRSO,AbsorptionChiller,11.470081577378345,11.15,14.942,217205.33001539845,3.9165844302293538,0.000810048486086733,221674.82410644938,3.9971770702293536,0.0008267170776068984
