,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),chiller_type,CoolingDemand_intensity_kWh/sqm,fuel_type,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,128979.70417685673,1725.2613856607798,361203.00163818436,569.52,4B,AZNM,0.268,AbsorptionChiller,16.789252863252493,US Overall,361665.37168954144,4.45532182168312,0.0009214729724267054
1,albuquerque,hospital,11210146.841727791,17811677.759634152,238252.98754285456,38002117.74134321,22422.0,4B,AZNM,0.268,AbsorptionChiller,2318.541228899233,US Overall,38065969.54200469,3.395670911313208,0.0007023104263315839
2,albuquerque,large_hotel,2760202.8158055292,4385655.585113203,58663.51051192003,9514229.806455025,11345.0,4B,AZNM,0.268,AbsorptionChiller,570.8795896185169,US Overall,9529951.62727222,3.452627311551752,0.0007140904470634441
3,albuquerque,large_office,3060472.3538688957,4862750.51781392,65045.23909422693,12597871.250606768,46320.0,4B,AZNM,0.268,AbsorptionChiller,632.9829066947044,US Overall,12615303.37468402,4.122011871382006,0.0008525360644016559
4,albuquerque,medium_office,320281.0793964718,508891.0483743934,6807.040540772998,1391996.7426772073,4982.0,4B,AZNM,0.268,AbsorptionChiller,66.24220876866015,US Overall,1393821.0295421346,4.351868153337717,0.0009000761433997347
5,albuquerque,midrise_apartment,116117.84474337615,184498.35331447466,2467.8912602792298,485447.1698217076,3135.0,4B,AZNM,0.268,AbsorptionChiller,24.01610025716156,US Overall,486108.5646794624,4.1863381614925474,0.0008658403643211059
6,albuquerque,outpatient_healthcare,1083317.174704926,1721270.6220311571,23024.101019728692,4100651.169343737,3804.0,4B,AZNM,0.268,AbsorptionChiller,224.0573267228389,US Overall,4106821.6284170244,3.790968817175487,0.0007840680076888288
7,albuquerque,primary_school,348703.2289519561,554050.686001442,7411.1059593255895,1555843.8324336733,6871.0,4B,AZNM,0.268,AbsorptionChiller,72.12062646369309,US Overall,1557830.0088307725,4.467495220829769,0.0009239907385376979
8,albuquerque,quick_service_restaurant,31838.046692328386,50587.1186333662,676.664619034285,143877.56835068596,232.0,4B,AZNM,0.268,AbsorptionChiller,6.58491141516616,US Overall,144058.91446858714,4.524740976125876,0.000935830605196665
9,albuquerque,secondary_school,3259135.764834071,5178404.604125248,69267.49878860671,13876625.411975093,19592.0,4B,AZNM,0.268,AbsorptionChiller,674.0715128922587,US Overall,13895189.10165044,4.2634582000476655,0.0008817907342394345
10,albuquerque,small_hotel,346770.75835346343,550980.2049393927,7370.034517538954,1349482.540072381,4014.0,4B,AZNM,0.268,AbsorptionChiller,71.7209427825157,US Overall,1351457.7093230814,3.897265489570319,0.0008060528416898281
11,albuquerque,small_office,20208.386839671384,32108.88131192223,429.495581632483,87755.36616224228,511.0,4B,AZNM,0.268,AbsorptionChiller,4.179604310169883,US Overall,87870.47097811979,4.3482179787661215,0.0008993211951946477
12,albuquerque,stand_alone_retail,98566.42002864565,156611.0896010704,2094.864980342154,444696.4582260003,2294.0,4B,AZNM,0.268,AbsorptionChiller,20.38602275670024,US Overall,445257.882040732,4.517338480096264,0.0009342995822329398
13,albuquerque,strip_mall,91738.00433999556,145761.4957846596,1949.7383855727032,414841.6830539599,2090.0,4B,AZNM,0.268,AbsorptionChiller,18.973734093070437,US Overall,415364.21294129343,4.527722353779224,0.0009364472293235211
14,albuquerque,supermarket,96451.65469490988,153250.96245968994,2049.9191677824824,443690.6616397092,4181.0,4B,AZNM,0.268,AbsorptionChiller,19.94863592449015,US Overall,444240.0399766749,4.6058311947251545,0.0009526021085264022
15,albuquerque,warehouse,25741.81669509118,40900.88652664495,547.0994108263384,122172.57653630468,4835.0,4B,AZNM,0.268,AbsorptionChiller,5.324057227526614,US Overall,122319.19917840614,4.751770266538015,0.0009827859910109648
16,atlanta,full_service_restaurant,138201.1475863159,219586.2678315909,2937.235056701169,504548.7006715014,569.52,3A,SRSO,0.268,AbsorptionChiller,28.583484505959856,US Overall,505335.8796666973,3.656524482555987,0.0007562615268988598
17,atlanta,hospital,16863438.28369626,26794129.717428878,358404.27498949604,51946586.71798386,22422.0,3A,SRSO,0.268,AbsorptionChiller,3487.7845467830944,US Overall,52042639.06368104,3.0861226630156664,0.0006382880378522578
