,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,Total_annual_water_consumption_L,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
0,miami,full_service_restaurant,333075.1009053597,569.52,1A,FRCC,15.271,584.8347747319843,AirCooledChiller,97963.26497216463,0,1495997.0193899262,4.491470588235295,0.007886414152681723
1,miami,hospital,18181533.961485557,22422.0,1A,FRCC,15.271,810.8792240427061,AirCooledChiller,5347509.988672223,0,81661825.03701352,4.491470588235294,0.00020031534155005325
2,miami,large_hotel,4501829.695100983,11345.0,1A,FRCC,15.271,396.81178449545905,AirCooledChiller,1324067.557382642,0,20219835.66879033,4.491470588235295,0.00039589868560910486
3,miami,large_office,10589690.60717502,46320.0,1A,FRCC,15.271,228.62026354004794,AirCooledChiller,3114614.8844632413,0,47563283.90063816,4.491470588235295,9.6966118053439e-05
4,miami,medium_office,920468.298026496,4982.0,1A,FRCC,15.271,184.75879125381292,AirCooledChiller,270725.97000779293,0,4134256.287989006,4.491470588235294,0.0009015396604245873
5,miami,midrise_apartment,405308.6893941922,3135.0,1A,FRCC,15.271,129.28506838730215,AirCooledChiller,119208.43805711536,0,1820432.0575702088,4.491470588235295,0.0014326859930575103
6,miami,outpatient_healthcare,2215771.0834806184,3804.0,1A,FRCC,15.271,582.4845119559985,AirCooledChiller,651697.3774942996,0,9952070.651715448,4.491470588235294,0.0011807230778746829
7,miami,primary_school,1356672.9030103134,6871.0,1A,FRCC,15.271,197.4491199258206,AirCooledChiller,399021.4420618569,0,6093456.4417266175,4.491470588235295,0.0006536851387331239
8,miami,quick_service_restaurant,134955.77569957165,232.0,1A,FRCC,15.271,581.705929739533,AirCooledChiller,39692.87520575637,0,606149.8972671055,4.491470588235295,0.01935978701825558
9,miami,secondary_school,13001265.61455965,19592.0,1A,FRCC,15.271,663.6007357370177,AirCooledChiller,3823901.6513410737,0,58394802.117629535,4.491470588235294,0.00022925023418922489
10,miami,small_hotel,882641.2277602147,4014.0,1A,FRCC,15.271,219.8906895267102,AirCooledChiller,259600.3611059455,0,3964357.1144488943,4.491470588235295,0.0011189513174477566
11,miami,small_office,77860.89656315124,511.0,1A,FRCC,15.271,152.36966059325096,AirCooledChiller,22900.263695044483,0,349709.9268870243,4.491470588235295,0.008789570622769657
12,miami,stand_alone_retail,494478.4787146058,2294.0,1A,FRCC,15.271,215.55295497585257,AirCooledChiller,145434.8466807664,0,2220935.543661984,4.491470588235295,0.0019579209190214884
13,miami,strip_mall,395947.9090670562,2090.0,1A,FRCC,15.271,189.44876031916564,AirCooledChiller,116455.2673726636,0,1778388.388047946,4.491470588235295,0.0021490289895862652
14,miami,supermarket,431613.5990947973,4181.0,1A,FRCC,15.271,103.23214520325216,AirCooledChiller,126945.17620435214,0,1938579.7858166618,4.491470588235295,0.0010742574953923213
15,miami,warehouse,417101.7668191348,4835.0,1A,FRCC,15.271,86.26716997293377,AirCooledChiller,122676.99024092201,0,1873400.31796912,4.491470588235295,0.0009289494494798955
16,houston,full_service_restaurant,234795.52030166617,569.52,2A,ERCT,22.962,412.26913945369114,AirCooledChiller,69057.50597107828,0,1585698.4521078994,6.753529411764705,0.011858283136263354
17,houston,hospital,18556071.28920018,22422.0,2A,ERCT,22.962,827.5832347337516,AirCooledChiller,5457668.026235347,0,125318973.21841604,6.753529411764706,0.0003012010263029483
18,houston,large_hotel,3829362.368251737,11345.0,2A,ERCT,22.962,337.537449823864,AirCooledChiller,1126283.049485805,0,25861711.382293053,6.753529411764705,0.0005952868586835351
19,houston,large_office,8672765.267591411,46320.0,2A,ERCT,22.962,187.23586501708573,AirCooledChiller,2550813.313997474,0,58571775.31601,6.753529411764706,0.00014580158488265772
20,houston,medium_office,729910.741203094,4982.0,2A,ERCT,22.962,146.50958273847732,AirCooledChiller,214679.6297656159,0,4929473.658678072,6.753529411764705,0.001355585991923867
21,houston,midrise_apartment,286310.58942129154,3135.0,2A,ERCT,22.962,91.32714176117753,AirCooledChiller,84208.99688861516,0,1933606.9865563812,6.753529411764705,0.0021542358570222344
22,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,ERCT,22.962,486.356072288767,AirCooledChiller,544146.6173489616,0,12494694.627566857,6.753529411764706,0.0017753757654481353
23,houston,primary_school,978606.1960831732,6871.0,2A,ERCT,22.962,142.4255852253199,AirCooledChiller,287825.3517891686,0,6609045.727782889,6.753529411764706,0.0009829034218839625
24,houston,quick_service_restaurant,96539.23317992152,232.0,2A,ERCT,22.962,416.1173843962134,AirCooledChiller,28393.892111741625,0,651980.5506698112,6.753529411764706,0.02911004056795132
25,houston,secondary_school,9826665.830957824,19592.0,2A,ERCT,22.962,501.5652220782883,AirCooledChiller,2890195.8326346544,0,66364676.708956935,6.753529411764706,0.00034470852448778615
26,houston,small_hotel,672384.7755477133,4014.0,2A,ERCT,22.962,167.50990920471182,AirCooledChiller,197760.22810226862,0,4540970.357684292,6.753529411764706,0.0016824936252527918
27,houston,small_office,53903.80669190545,511.0,2A,ERCT,22.962,105.48690154971712,AirCooledChiller,15854.060791736896,0,364040.9438998626,6.753529411764705,0.013216300218717622
28,houston,stand_alone_retail,347604.700222829,2294.0,2A,ERCT,22.962,151.52776818780688,AirCooledChiller,102236.67653612618,0,2347558.566622529,6.753529411764705,0.002943997128057849
29,houston,strip_mall,283609.45215008274,2090.0,2A,ERCT,22.962,135.6983024641544,AirCooledChiller,83414.54475002433,0,1915364.7765500587,6.753529411764705,0.0032313537855333517
30,houston,supermarket,343831.0932244791,4181.0,2A,ERCT,22.962,82.23656857796678,AirCooledChiller,101126.7921248468,0,2322073.400770732,6.753529411764706,0.0016152904596423597
31,houston,warehouse,83300.38506025884,4835.0,2A,ERCT,22.962,17.228621522287245,AirCooledChiller,24500.113253017305,0,562571.6005157834,6.753529411764707,0.001396800291988564
32,houston,full_service_restaurant,234795.52030166617,569.52,2A,FRCC,15.271,412.26913945369114,AirCooledChiller,69057.50597107828,0,1054577.1736843365,4.491470588235294,0.007886414152681721
33,houston,hospital,18556071.28920018,22422.0,2A,FRCC,15.271,827.5832347337516,AirCooledChiller,5457668.026235347,0,83344048.42863998,4.491470588235294,0.00020031534155005325
34,houston,large_hotel,3829362.368251737,11345.0,2A,FRCC,15.271,337.537449823864,AirCooledChiller,1126283.049485805,0,17199468.448697727,4.491470588235294,0.0003958986856091048
35,houston,large_office,8672765.267591411,46320.0,2A,FRCC,15.271,187.23586501708573,AirCooledChiller,2550813.313997474,0,38953470.118055426,4.491470588235294,9.696611805343899e-05
36,houston,medium_office,729910.741203094,4982.0,2A,FRCC,15.271,146.50958273847732,AirCooledChiller,214679.6297656159,0,3278372.6261507203,4.491470588235294,0.0009015396604245873
37,houston,midrise_apartment,286310.58942129154,3135.0,2A,FRCC,15.271,91.32714176117753,AirCooledChiller,84208.99688861516,0,1285955.5914860421,4.491470588235294,0.00143268599305751
38,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,FRCC,15.271,486.356072288767,AirCooledChiller,544146.6173489616,0,8309662.993535994,4.491470588235295,0.001180723077874683
39,houston,primary_school,978606.1960831732,6871.0,2A,FRCC,15.271,142.4255852253199,AirCooledChiller,287825.3517891686,0,4395380.947172394,4.491470588235295,0.0006536851387331239
40,houston,quick_service_restaurant,96539.23317992152,232.0,2A,FRCC,15.271,416.1173843962134,AirCooledChiller,28393.892111741625,0,433603.12643840635,4.491470588235295,0.01935978701825558
41,houston,secondary_school,9826665.830957824,19592.0,2A,FRCC,15.271,501.5652220782883,AirCooledChiller,2890195.8326346544,0,44136180.56016381,4.491470588235295,0.00022925023418922494
42,houston,small_hotel,672384.7755477133,4014.0,2A,FRCC,15.271,167.50990920471182,AirCooledChiller,197760.22810226862,0,3019996.443349744,4.491470588235295,0.0011189513174477566
43,houston,small_office,53903.80669190545,511.0,2A,FRCC,15.271,105.48690154971712,AirCooledChiller,15854.060791736896,0,242107.36235061416,4.491470588235295,0.008789570622769657
44,houston,stand_alone_retail,347604.700222829,2294.0,2A,FRCC,15.271,151.52776818780688,AirCooledChiller,102236.67653612618,0,1561256.287383183,4.491470588235294,0.001957920919021488
45,houston,strip_mall,283609.45215008274,2090.0,2A,FRCC,15.271,135.6983024641544,AirCooledChiller,83414.54475002433,0,1273823.5128776217,4.491470588235295,0.0021490289895862652
46,houston,supermarket,343831.0932244791,4181.0,2A,FRCC,15.271,82.23656857796678,AirCooledChiller,101126.7921248468,0,1544307.2425385357,4.491470588235295,0.0010742574953923213
47,houston,warehouse,83300.38506025884,4835.0,2A,FRCC,15.271,17.228621522287245,AirCooledChiller,24500.113253017305,0,374141.2294868273,4.491470588235294,0.0009289494494798953
48,houston,full_service_restaurant,234795.52030166617,569.52,2A,SPSO,18.722,412.26913945369114,AirCooledChiller,69057.50597107828,0,1292894.6267905277,5.5064705882352944,0.009668616709220562
49,houston,hospital,18556071.28920018,22422.0,2A,SPSO,18.722,827.5832347337516,AirCooledChiller,5457668.026235347,0,102178460.78717817,5.5064705882352944,0.00024558338186759853
50,houston,large_hotel,3829362.368251737,11345.0,2A,SPSO,18.722,337.537449823864,AirCooledChiller,1126283.049485805,0,21086271.252473243,5.5064705882352944,0.00048536541103880957
51,houston,large_office,8672765.267591411,46320.0,2A,SPSO,18.722,187.23586501708573,AirCooledChiller,2550813.313997474,0,47756326.86466071,5.5064705882352944,0.00011887889870974297
52,houston,medium_office,729910.741203094,4982.0,2A,SPSO,18.722,146.50958273847732,AirCooledChiller,214679.6297656159,0,4019232.028471861,5.5064705882352944,0.0011052731008099749
53,houston,midrise_apartment,286310.58942129154,3135.0,2A,SPSO,18.722,91.32714176117753,AirCooledChiller,84208.99688861516,0,1576560.8397486531,5.5064705882352944,0.0017564499484004129
54,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SPSO,18.722,486.356072288767,AirCooledChiller,544146.6173489616,0,10187512.970007261,5.5064705882352944,0.0014475474732479744
55,houston,primary_school,978606.1960831732,6871.0,2A,SPSO,18.722,142.4255852253199,AirCooledChiller,287825.3517891686,0,5388666.236196815,5.506470588235295,0.0008014074498959824
56,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SPSO,18.722,416.1173843962134,AirCooledChiller,28393.892111741625,0,531590.4481160267,5.5064705882352944,0.023734787018255578
57,houston,secondary_school,9826665.830957824,19592.0,2A,SPSO,18.722,501.5652220782883,AirCooledChiller,2890195.8326346544,0,54110246.378586,5.5064705882352944,0.00028105709413205873
58,houston,small_hotel,672384.7755477133,4014.0,2A,SPSO,18.722,167.50990920471182,AirCooledChiller,197760.22810226862,0,3702466.9905306734,5.5064705882352944,0.0013718162900436708
