,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,%_evap_mean,%_evap_std,reference_w4r_(L/MWhr_sqm),normalized_w4r_mean,normalized_w4r_std,percent_diff-mean,percent_diff-std
0,AZNM,2B,AbsorptionChiller,PoG,3.2115007658236543,5.433434370290215,1.0,0.0,2.361038215051045,1.3602070247533977,2.3012903118862673,31.218710406175983,8.848871782381446
1,AZNM,2B,WaterCooledChiller,PoG,3.5255531803923996,5.946882136098677,0.5377115048938013,0.021779927014610595,2.361038215051045,1.4932215658001022,2.518757256104009,45.55202041950124,6.55463514601807
2,AZNM,3B,AbsorptionChiller,PoG,3.2786898599700502,5.5590395208730765,1.0,0.0,2.361038215051045,1.3886644608584475,2.354489429876887,32.84292038966353,11.114630807897539
3,AZNM,3B,WaterCooledChiller,PoG,3.5859328055203057,6.0569325904594535,0.5425389538211638,0.027002585073582493,2.361038215051045,1.5187949024547145,2.565368299355758,47.24610840318255,8.150920878863827
4,AZNM,4B,AbsorptionChiller,PoG,2.9739344269707004,4.9964718929829655,1.0,0.0,2.3610382150510447,1.2595875865170634,2.1162181370600743,19.837607853721654,11.227002354165913
5,AZNM,4B,WaterCooledChiller,PoG,3.341020947688719,5.5772838548881065,0.5074891467031484,0.031103984862952263,2.3610382150510447,1.4150643248341013,2.362216680498552,36.847393903453124,8.160819687584127
6,AZNM,5B,AbsorptionChiller,PoG,2.9804643812043885,5.130335698165893,1.0,0.0,2.361038215051045,1.262353299580097,2.1729151461680076,18.616706097472587,13.130724907738818
7,AZNM,5B,WaterCooledChiller,PoG,3.3488422499668555,5.714387091083708,0.5037741998642534,0.03760090108103714,2.361038215051045,1.4183769786608285,2.420285726277482,36.00952529447377,9.612459102447362
8,AZNM,6B,AbsorptionChiller,PoG,2.838578323234512,4.899085441686528,1.0,0.0,2.361038215051045,1.2022585255669584,2.074970837174955,12.190087100275228,14.238884443943318
9,AZNM,6B,WaterCooledChiller,PoG,3.244656419491026,5.542127492492118,0.485584483382085,0.04370191757300668,2.361038215051045,1.3742498528008276,2.347326467298327,31.363349894503806,10.327346781160896
10,CAMX,2B,AbsorptionChiller,PoG,3.2115007658236543,5.433434370290215,1.0,0.0,2.361038215051045,1.3602070247533977,2.3012903118862673,32.69563095620169,8.948469473438616
11,CAMX,2B,WaterCooledChiller,PoG,3.5078303031655245,5.917182772476162,0.5404875472938027,0.021766455396990948,2.361038215051045,1.4857151742839059,2.506178313741625,46.43442988453794,6.628410260216638
12,CAMX,3B,AbsorptionChiller,PoG,3.2786898599700502,5.5590395208730765,1.0,0.0,2.361038215051045,1.3886644608584475,2.354489429876887,34.33812209101856,11.239730548592878
13,CAMX,3B,WaterCooledChiller,PoG,3.5682099282934434,6.027233096986422,0.5453078419712025,0.026985868439100433,2.361038215051045,1.511288510938524,2.5527893019961625,48.14758552518253,8.242662845467843
14,CAMX,3B-CA,AbsorptionChiller,PoG,2.211332764899303,3.7836095361138704,1.0,0.0,2.361038215051045,0.9365933811670619,1.6025193967612548,-8.499414985239653,3.354644508571955
15,CAMX,3B-CA,WaterCooledChiller,PoG,2.724222857074724,4.623535695960122,0.41156416644901517,0.01195577128012526,2.361038215051045,1.1538241269067417,1.958263812286563,14.165802634160395,2.3126378272682717
16,CAMX,3C,AbsorptionChiller,PoG,2.352245470348404,4.115847135870121,1.0,0.0,2.361038215051045,0.9962758990317949,1.74323613638805,-6.114819277055101,8.033487151446169
17,CAMX,3C,WaterCooledChiller,PoG,2.849162977112517,4.904400139072067,0.4231611889012106,0.02944066775151749,2.361038215051045,1.206741576205669,2.0772218373288953,16.69986578396807,5.93673029767101
18,CAMX,4B,AbsorptionChiller,PoG,2.973934426970701,5.079063800539203,1.0,0.0,2.361038215051045,1.2595875865170634,2.151199319079804,21.18642941397958,11.541038553583512
19,CAMX,4B,WaterCooledChiller,PoG,3.3232980704618504,5.6397787887674085,0.5102758998143015,0.031623037371478396,2.361038215051045,1.4075579333179076,2.38868594028474,37.63182921723135,8.389090130397413
20,CAMX,4C,AbsorptionChiller,PoG,2.4309467312234516,4.201092704554751,1.0,0.0,2.361038215051045,1.029609226876023,1.7793412566445586,-2.4530847315314634,10.107731249929978
21,CAMX,4C,WaterCooledChiller,PoG,2.905427238835183,4.9613434014511615,0.43592503328954657,0.03576638959393422,2.361038215051045,1.2305718816043685,2.1013397283550104,19.48244946608606,7.278692030338632
22,CAMX,5B,AbsorptionChiller,PoG,2.9804643812043885,5.130335698165893,1.0,0.0,2.361038215051045,1.262353299580097,2.1729151461680076,19.9517859063615,13.278516616657779
23,CAMX,5B,WaterCooledChiller,PoG,3.3311193727399933,5.684690696828835,0.5065571888243466,0.03761306091808142,2.361038215051045,1.4108705871446372,2.4077080415684566,36.784530052480335,9.720651282813629
24,CAMX,6B,AbsorptionChiller,PoG,2.838578323234512,4.899085441686528,1.0,0.0,2.361038215051045,1.2022585255669584,2.074970837174955,13.452832669368906,14.399148944179007
25,CAMX,6B,WaterCooledChiller,PoG,3.2269335422641623,5.512431962101428,0.4883606552993405,0.043737022546038534,2.361038215051045,1.3667434612846356,2.334749148472487,32.08606003761563,10.443585316362686
26,ERCT,2A,AbsorptionChiller,PoG,2.4078614366953115,4.051653178745723,1.0,0.0,2.361038215051045,1.0198316237940495,1.7160472680693684,98.49348681038418,10.711774680124357
27,ERCT,2A,WaterCooledChiller,PoG,2.0702421045371207,3.478158305753432,0.607863912002096,0.01742023143723201,2.361038215051045,0.8768354918356809,1.4731478226743717,71.56217531317901,7.5056756481129145
28,ERCT,2B,AbsorptionChiller,PoG,3.2115007658236543,5.433434370290215,1.0,0.0,2.361038215051045,1.3602070247533977,2.3012903118862673,161.54172995634534,17.637341709604932
29,ERCT,2B,WaterCooledChiller,PoG,2.732113599927977,4.617278005675397,0.6983989741095354,0.018734369289574882,2.361038215051045,1.1571661917674254,1.9556134145738815,123.41556288392565,13.064528755225908
30,ERCT,3A,AbsorptionChiller,PoG,2.4531507236238816,4.079352850647545,1.0,0.0,2.3610382150510447,1.039013561062096,1.7277792560250238,100.29288969221668,12.22570239372025
31,ERCT,3A,WaterCooledChiller,PoG,2.114133228521634,3.50723528481626,0.6130050358405,0.019027142421342663,2.3610382150510447,0.8954252476916926,1.4854631587318186,73.91879644443391,8.276198590879037
32,ERCT,3B,AbsorptionChiller,PoG,3.2786898599700502,5.5590395208730765,1.0,0.0,2.361038215051045,1.3886644608584475,2.354489429876887,164.77906316575422,22.15339382872171
33,ERCT,3B,WaterCooledChiller,PoG,2.792493225055884,4.7273207331495035,0.7023430790839952,0.023232267270929606,2.361038215051045,1.1827395284220381,2.0022211851608254,126.79217511079338,16.246204072570187
34,ERCT,4B,AbsorptionChiller,PoG,2.973934426970701,5.079063800539203,1.0,0.0,2.361038215051045,1.2595875865170634,2.151199319079804,138.8572115582788,22.747268821491392
35,ERCT,4B,WaterCooledChiller,PoG,2.547581367224319,4.339963044821971,0.6719807524801108,0.028480936460482796,2.361038215051045,1.079008950801434,1.8381587460786366,106.06572709768284,16.534810751892927
36,FRCC,1A,AbsorptionChiller,PoG,2.326997151145703,3.9033989980984205,1.0,0.0,2.361038215051045,0.9855821630974296,1.6532553235331815,5.386364721500101,2.45564405283269
