,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,PoG_annual_water_consumption_L,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm,MakeupWater_kg,percent_evaporation
0,miami,full_service_restaurant,333075.1009053597,569.52,1A,FRCC,0.053,10.81,584.8347747319843,AirCooledChiller,100490.30046925924,0,1086300.1480726923,3.261427062905416,0.005726624285197036,0,0
1,miami,hospital,18181533.961485557,22422.0,1A,FRCC,0.053,10.81,810.8792240427061,AirCooledChiller,5485452.99788371,0,59297746.90712291,3.261427062905416,0.00014545656332643901,0,0
2,miami,large_hotel,4501829.695100983,11345.0,1A,FRCC,0.053,10.81,396.81178449545905,AirCooledChiller,1358222.8677329863,0,14682389.200193584,3.2614270629054163,0.00028747704388765237,0,0
3,miami,large_office,10589690.60717502,46320.0,1A,FRCC,0.053,10.81,228.62026354004794,AirCooledChiller,3194958.6988007305,0,34537503.5340359,3.261427062905416,7.04107742423449e-05,0,0
4,miami,medium_office,920468.298026496,4982.0,1A,FRCC,0.053,10.81,184.75879125381292,AirCooledChiller,277709.5483561611,0,3002040.2177301017,3.261427062905416,0.000654642124228305,0,0
5,miami,midrise_apartment,405308.6893941922,3135.0,1A,FRCC,0.053,10.81,129.28506838730215,AirCooledChiller,122283.50864208545,0,1321884.7284209437,3.261427062905416,0.0010403276117720624,0,0
6,miami,outpatient_healthcare,2215771.0834806184,3804.0,1A,FRCC,0.053,10.81,582.4845119559985,AirCooledChiller,668508.3974900041,0,7226575.7768669445,3.261427062905416,0.0008573677873042628,0,0
7,miami,primary_school,1356672.9030103134,6871.0,1A,FRCC,0.053,10.81,197.4491199258206,AirCooledChiller,409314.49781575304,0,4424689.721388291,3.261427062905416,0.0004746655600211637,0,0
8,miami,quick_service_restaurant,134955.77569957165,232.0,1A,FRCC,0.053,10.81,581.705929739533,AirCooledChiller,40716.78253117262,0,440148.419161976,3.261427062905416,0.014057875271144033,0,0
9,miami,secondary_school,13001265.61455965,19592.0,1A,FRCC,0.053,10.81,663.6007357370177,AirCooledChiller,3922542.046933067,0,42402679.527346455,3.261427062905416,0.00016646728577508248,0,0
