,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,Total_annual_water_consumption_L,percent_evaporation,Total_w4e_intensity_factor_(L/kWh),Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,0,16446.64809539112,212723.91680417783,569.52,4B,AZNM,WaterCooledChiller,142.53412978266928,458469.732645512,0.46398682760734306,14.942,5.647845672629663,0.009916852213494984
1,albuquerque,hospital,11210146.841727791,0,2271228.6244626977,20820273.30024232,22422.0,4B,AZNM,WaterCooledChiller,499.9619499477206,54756971.40696395,0.3802305490108683,14.942,4.884590021884531,0.00021784809659640224
2,albuquerque,large_hotel,2760202.8158055292,0,559230.1093902347,5241976.943596304,11345.0,4B,AZNM,WaterCooledChiller,243.29685463248384,13597993.23810519,0.38549636345654975,14.942,4.926447129261693,0.00043423950015528367
3,albuquerque,large_office,3060472.3538688957,0,620066.1340679141,7252044.9897536915,46320.0,4B,AZNM,WaterCooledChiller,66.0723737881886,16517073.164996464,0.4390635627335277,14.942,5.39690324080739,0.00011651345511242206
4,albuquerque,medium_office,320281.0793964718,0,64890.45733917955,814455.3881563416,4982.0,4B,AZNM,WaterCooledChiller,64.28765142442228,1784048.6017183624,0.45652085227491745,14.942,5.570259114525813,0.0011180768997442418
5,albuquerque,midrise_apartment,116117.84474337615,0,23526.023032132154,280526.2508699132,3135.0,4B,AZNM,WaterCooledChiller,37.039184926116796,632052.0870160318,0.44383407100876754,14.942,5.4431951300240335,0.0017362663891623711
6,albuquerque,outpatient_healthcare,1083317.174704926,0,219485.1692221604,2314213.7045507836,3804.0,4B,AZNM,WaterCooledChiller,284.7836947173833,5593761.103068304,0.41371336063697556,14.942,5.163548805170501,0.0013573997910542852
7,albuquerque,primary_school,348703.2289519561,0,70648.91889642595,919247.7199410496,6871.0,4B,AZNM,WaterCooledChiller,50.74999693668405,1974883.8660914463,0.46546925402776274,14.942,5.6635089730228545,0.0008242626943709583
8,albuquerque,quick_service_restaurant,31838.046692328386,0,6450.538428758986,85118.0106352674,232.0,4B,AZNM,WaterCooledChiller,137.2329598807258,181501.95583778416,0.4689647020186433,14.942,5.700788041168317,0.02457236224641516
9,albuquerque,secondary_school,3259135.764834071,0,660316.2781550478,8078955.898952463,19592.0,4B,AZNM,WaterCooledChiller,166.35033507728008,17945401.727145188,0.45019643593332304,14.942,5.506184161081986,0.00028104247453460525
