,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,chiller_type,CoolingDemand_intensity_kWh/sqm,w4e_int_factor_(L/kWhe),PoG_annual_water_consumption_L,percent_evaporation,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm
0,miami,full_service_restaurant,333075.1009053597,0,67482.58644179034,593195.3873069079,569.52,1A,FRCC,0.053,WaterCooledChiller,584.8347747319843,10.81,1322682.1467426615,0.44847916694706763,3.971122858320441,0.0069727540004221825
1,miami,hospital,18181533.961485554,0,3683664.536512182,30518025.408231072,22422.0,1A,FRCC,0.053,WaterCooledChiller,810.879224042706,10.81,70338439.04792777,0.433874078260913,3.8686746232153806,0.00017253923036372227
2,miami,large_hotel,4501829.695100983,0,912091.9297782952,7616997.42177492,11345.0,1A,FRCC,0.053,WaterCooledChiller,396.81178449545905,10.81,17476711.18267829,0.435837002863809,3.882135124235583,0.0003421890810256133
3,miami,large_office,10589690.60717502,0,2145521.264867982,18614813.24568554,46320.0,1A,FRCC,0.053,WaterCooledChiller,228.62026354004794,10.81,41807898.11890842,0.4452463310339592,3.947981076102599,8.523275207475386e-05
4,miami,medium_office,920468.298026496,0,186491.21870610767,1654362.6783115,4982.0,1A,FRCC,0.053,WaterCooledChiller,184.75879125381292,10.81,3670332.752524524,0.4507391536022444,3.987462425804123,0.0008003738309522527
5,miami,midrise_apartment,405308.6893941922,0,82117.45217011514,712848.2972495392,3135.0,1A,FRCC,0.053,WaterCooledChiller,129.28506838730215,10.81,1600537.9552084839,0.4453804390766132,3.9489357052788083,0.0012596286141240219
6,miami,outpatient_healthcare,2215771.0834806184,0,448925.67252778524,3822555.254624087,3804.0,1A,FRCC,0.053,WaterCooledChiller,582.4845119559985,10.81,8675441.774649445,0.4406179366904399,3.91531500673875,0.0010292626200680206
7,miami,primary_school,1356672.9030103134,0,274868.32909987145,2466014.5202296968,6871.0,1A,FRCC,0.053,WaterCooledChiller,197.4491199258206,10.81,5437341.157799307,0.45353316053977083,4.007849751944204,0.0005832993380794941
8,miami,quick_service_restaurant,134955.77569957165,0,27342.676695766877,242107.4002331901,232.0,1A,FRCC,0.053,WaterCooledChiller,581.705929739533,10.81,537681.73531443,0.45028012731659656,3.9841328207499354,0.01717298629633593
9,miami,secondary_school,13001265.61455965,0,2634117.7359171226,23210193.186227147,19592.0,1A,FRCC,0.053,WaterCooledChiller,663.6007357370177,10.81,51685005.911491245,0.4490701466876832,3.975382662254901,0.00020290846581537877
10,miami,small_hotel,882641.2277602147,0,178827.27585314433,1529721.5612397434,4014.0,1A,FRCC,0.053,WaterCooledChiller,219.8906895267102,10.81,3462844.4132122337,0.4417528998424535,3.9232751703651183,0.0009773978999414845
11,miami,small_office,77860.89656315124,0,15774.98488621968,140180.4759308774,511.0,1A,FRCC,0.053,WaterCooledChiller,152.36966059325096,10.81,310708.06255091215,0.45116459090245736,3.9905533620320406,0.007809302078340588
12,miami,stand_alone_retail,494478.4787146058,0,100183.67206903432,898850.09968597,2294.0,1A,FRCC,0.053,WaterCooledChiller,215.55295497585257,10.81,1981835.5947522311,0.4535442304427599,4.007930941512363,0.001747136417398589
13,miami,strip_mall,395947.9090670562,0,80220.91392432146,725080.5572293277,2090.0,1A,FRCC,0.053,WaterCooledChiller,189.44876031916564,10.81,1592268.636751243,0.45537577045336586,4.021409383125654,0.001924119322069691
14,miami,supermarket,431613.59909479733,0,87446.95094648599,787651.1944831623,4181.0,1A,FRCC,0.053,WaterCooledChiller,103.23214520325217,10.81,1732952.7342146758,0.45451395120715915,4.015055915404694,0.0009603099534572336
15,miami,warehouse,417101.76681913476,0,84506.78528021641,796725.5422036935,4835.0,1A,FRCC,0.053,WaterCooledChiller,86.26716997293377,10.81,1710243.891082833,0.46585492651533483,4.100303636029515,0.0008480462535738396
16,houston,full_service_restaurant,234795.52030166617,0,47570.67986118942,439912.5564633682,569.52,2A,ERCT,0.053,WaterCooledChiller,412.26913945369114,5.86,718676.7404499382,0.6121146430701992,3.060862232493106,0.005374459601933393
17,houston,hospital,18556071.28920018,0,3759547.565668302,29302961.80988734,22422.0,2A,ERCT,0.053,WaterCooledChiller,827.5832347337516,5.86,51333910.54470359,0.570830499740891,2.7664212830751755,0.00012337977357395306
18,houston,large_hotel,3829362.368251737,0,775846.8775662422,6305615.856243538,11345.0,2A,ERCT,0.053,WaterCooledChiller,337.537449823864,5.86,10852078.558781717,0.5810514384030983,2.8339126766256233,0.0002497939776664278
19,houston,large_office,8672765.267591411,0,1757143.1496042253,15158879.582233837,46320.0,2A,ERCT,0.053,WaterCooledChiller,187.23586501708573,5.86,25455738.438914597,0.5954995027392415,2.935135179322584,6.33664762375342e-05
20,houston,medium_office,729910.741203094,0,147883.35890056324,1356596.18999264,4982.0,2A,ERCT,0.053,WaterCooledChiller,146.50958273847732,5.86,2223192.6731499406,0.6102018085866308,3.045841837435501,0.0006113692969561424
21,houston,midrise_apartment,286310.58942129154,0,58007.875843328125,524612.1927521543,3135.0,2A,ERCT,0.053,WaterCooledChiller,91.32714176117753,5.86,864538.3451940571,0.6068119426610258,3.019582150075255,0.0009631840989075774
22,houston,outpatient_healthcare,1850098.4989864696,0,374838.68216001947,3159993.507817786,3804.0,2A,ERCT,0.053,WaterCooledChiller,486.356072288767,5.86,5356548.185275501,0.5899309403216467,2.8952772991329665,0.000761113906186374
23,houston,primary_school,978606.1960831732,0,198270.2310684527,1884287.3678230823,6871.0,2A,ERCT,0.053,WaterCooledChiller,142.4255852253199,5.86,3046150.9218842154,0.6185797802354273,3.112744364460695,0.00045302639564265686
24,houston,quick_service_restaurant,96539.23317992153,0,19559.303983936145,183253.45657550596,232.0,2A,ERCT,0.053,WaterCooledChiller,416.1173843962135,5.86,297870.97792137176,0.6152108468381197,3.0854914433205143,0.013299532083278078
25,houston,secondary_school,9826665.830957823,0,1990928.8462862747,18132713.46954566,19592.0,2A,ERCT,0.053,WaterCooledChiller,501.56522207828823,5.86,29799556.50878323,0.6084893734643722,3.0325195769762545,0.00015478356354513344
26,houston,small_hotel,672384.7755477133,0,136228.32692899165,1180924.0370304862,4014.0,2A,ERCT,0.053,WaterCooledChiller,167.50990920471182,5.86,1979222.0328343771,0.5966607169077057,2.9435854362141622,0.0007333297050857405
27,houston,small_office,53903.80669190545,0,10921.165481119595,102150.34898568528,511.0,2A,ERCT,0.053,WaterCooledChiller,105.48690154971712,5.86,166148.3787050461,0.6148139980771469,3.0823125285880053,0.0060319227565323
28,houston,stand_alone_retail,347604.700222829,0,70426.35179453055,674551.7072146306,2294.0,2A,ERCT,0.053,WaterCooledChiller,151.52776818780688,5.86,1087250.1287305797,0.6204199837641815,3.1278349459417765,0.0013634851551620646
29,houston,strip_mall,283609.45215008274,0,57460.612691864706,557084.148798749,2090.0,2A,ERCT,0.053,WaterCooledChiller,135.6983024641544,5.86,893803.3391730762,0.623273738621461,3.1515287392469773,0.0015079084876779797
