,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),chiller_type,CoolingDemand_intensity_kWh/sqm,fuel_type,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,0,15574.975746335389,212723.91680417783,569.52,4B,AZNM,0.268,WaterCooledChiller,16.789252863252493,US Overall,216898.01030419572,2.671946263125965,0.0005526259075751738
1,albuquerque,hospital,11210146.841727791,0,2150853.5073661744,20820273.30024232,22422.0,4B,AZNM,0.268,WaterCooledChiller,2318.541228899233,US Overall,21396702.040216453,1.9086906123808307,0.00039476538001671785
2,albuquerque,large_hotel,2760202.8158055292,0,529590.9135925522,5241976.943596304,11345.0,4B,AZNM,0.268,WaterCooledChiller,570.8795896185169,US Overall,5383907.308439109,1.9505477197580081,0.00040342248598924674
3,albuquerque,large_office,3060472.3538688957,0,587202.6289623146,7252044.9897536915,46320.0,4B,AZNM,0.268,WaterCooledChiller,632.9829066947044,US Overall,7409415.294315591,2.421003831303681,0.0005007246807246496
4,albuquerque,medium_office,320281.0793964718,0,61451.26310020303,814455.3881563416,4982.0,4B,AZNM,0.268,WaterCooledChiller,66.24220876866015,US Overall,830924.326667196,2.594359705022118,0.0005365790496426304
5,albuquerque,midrise_apartment,116117.84474337615,0,22279.14381142915,280526.2508699132,3135.0,4B,AZNM,0.268,WaterCooledChiller,24.01610025716156,US Overall,286497.0614113762,2.4672957205203314,0.0005102990114830055
6,albuquerque,outpatient_healthcare,1083317.174704926,0,207852.45525338588,2314213.7045507836,3804.0,4B,AZNM,0.268,WaterCooledChiller,224.0573267228389,US Overall,2369918.162558691,2.187649395666795,0.000452461095277517
7,albuquerque,primary_school,348703.2289519561,0,66904.52619491538,919247.7199410496,6871.0,4B,AZNM,0.268,WaterCooledChiller,72.12062646369309,US Overall,937178.1329612869,2.687609563519156,0.0005558654733235069
8,albuquerque,quick_service_restaurant,31838.046692328386,0,6108.65989203476,85118.0106352674,232.0,4B,AZNM,0.268,WaterCooledChiller,6.58491141516616,US Overall,86755.13148633271,2.7248886316646117,0.0005635757252667243
9,albuquerque,secondary_school,3259135.764834071,0,625319.5154128303,8078955.898952463,19592.0,4B,AZNM,0.268,WaterCooledChiller,674.0715128922587,US Overall,8246541.529083101,2.530284751578291,0.0005233267324877541
10,albuquerque,small_hotel,346770.75835346343,0,66533.74950275155,766009.5910883131,4014.0,4B,AZNM,0.268,WaterCooledChiller,71.7209427825157,US Overall,783840.6359550506,2.260400039717541,0.0004675077641608151
11,albuquerque,small_office,20208.386839671384,0,3877.315821638274,51277.391305797086,511.0,4B,AZNM,0.268,WaterCooledChiller,4.179604310169883,US Overall,52316.51194599614,2.5888514685047905,0.0005354398073432866
12,albuquerque,stand_alone_retail,98566.42002864565,0,18911.61045616281,262796.42705164506,2294.0,4B,AZNM,0.268,WaterCooledChiller,20.38602275670024,US Overall,267864.7386538967,2.717606448281769,0.0005620695859941611
13,albuquerque,strip_mall,91738.00433999556,0,17601.46509936714,245313.62216435358,2090.0,4B,AZNM,0.268,WaterCooledChiller,18.973734093070437,US Overall,250030.81481098398,2.725487834729108,0.0005636996555799603
14,albuquerque,supermarket,96451.65469490988,0,18505.85748079668,263960.36298573884,4181.0,4B,AZNM,0.268,WaterCooledChiller,19.94863592449015,US Overall,268919.9327905924,2.788131874369847,0.0005766560236545702
