,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,569.52,4B,AZNM,11.68,142.53412978266928,AirCooledChiller,23875.30517465465,278863.56443996634,3.4352941176470595,0.006031911289589583
1,albuquerque,hospital,11210146.841727791,22422.0,4B,AZNM,11.68,499.9619499477206,AirCooledChiller,3297102.01227288,38510151.50334724,3.435294117647059,0.00015321086957662382
2,albuquerque,large_hotel,2760202.815805529,11345.0,4B,AZNM,11.68,243.29685463248381,AirCooledChiller,811824.3575898614,9482108.49664958,3.4352941176470586,0.00030280247841754594
3,albuquerque,large_office,3060472.353868896,46320.0,4B,AZNM,11.68,66.0723737881886,AirCooledChiller,900138.9276084988,10513622.674467266,3.4352941176470586,7.416438077821801e-05
4,albuquerque,medium_office,320281.0793964718,4982.0,4B,AZNM,11.68,64.28765142442228,AirCooledChiller,94200.31746955053,1100259.7080443501,3.435294117647059,0.0006895411717477035
5,albuquerque,midrise_apartment,116117.84474337616,3135.0,4B,AZNM,11.68,37.039184926116796,AirCooledChiller,34152.30727746358,398898.9490007746,3.435294117647059,0.001095787597335585
6,albuquerque,outpatient_healthcare,1083317.174704926,3804.0,4B,AZNM,11.68,284.7836947173833,AirCooledChiller,318622.69844262535,3721513.1178098638,3.435294117647059,0.000903074163419311
7,albuquerque,primary_school,348703.2289519561,6871.0,4B,AZNM,11.68,50.74999693668405,AirCooledChiller,102559.77322116356,1197898.1512231904,3.435294117647059,0.0004999700360423605
8,albuquerque,quick_service_restaurant,31838.046692328386,232.0,4B,AZNM,11.68,137.2329598807258,AirCooledChiller,9364.131380096584,109373.05451952809,3.435294117647058,0.014807302231237319
9,albuquerque,secondary_school,3259135.764834071,19592.0,4B,AZNM,11.68,166.35033507728008,AirCooledChiller,958569.3425982562,11196089.921547633,3.435294117647059,0.00017534167607426802
10,albuquerque,small_hotel,346770.75835346343,4014.0,4B,AZNM,11.68,86.39032345626892,AirCooledChiller,101991.39951572454,1191259.5463436625,3.4352941176470586,0.0008558281309534277
11,albuquerque,small_office,20208.386839671384,511.0,4B,AZNM,11.68,39.546745283114255,AirCooledChiller,5943.6431881386425,69421.75243745935,3.435294117647059,0.0067226890756302525
12,albuquerque,stand_alone_retail,98566.42002864565,2294.0,4B,AZNM,11.68,42.96705319470168,AirCooledChiller,28990.123537836957,338604.64292193565,3.435294117647059,0.0014975126929586133
13,albuquerque,strip_mall,91738.00433999556,2090.0,4B,AZNM,11.68,43.89378198085912,AirCooledChiller,26981.765982351637,315147.02667386713,3.435294117647059,0.0016436813960033776
14,albuquerque,supermarket,96451.65469490988,4181.0,4B,AZNM,11.68,23.069039630449627,AirCooledChiller,28368.133733797025,331339.80201074923,3.4352941176470586,0.0008216441324197701
15,albuquerque,warehouse,25741.81669509118,4835.0,4B,AZNM,11.68,5.324057227526614,AirCooledChiller,7571.122557379759,88430.71147019559,3.435294117647059,0.0007105055052010463
16,atlanta,full_service_restaurant,138201.1475863159,569.52,3A,SRSO,7.12,242.66250102949132,AirCooledChiller,40647.396348916445,289409.4620042851,2.0941176470588236,0.0036769870189963896
17,atlanta,hospital,16863438.28369626,22422.0,3A,SRSO,7.12,752.093403072708,AirCooledChiller,4959834.789322429,35314023.6999757,2.0941176470588236,9.339566707068163e-05
18,atlanta,large_hotel,3565816.383905628,11345.0,3A,SRSO,7.12,314.30730576515015,AirCooledChiller,1048769.524678126,7467239.015708257,2.0941176470588236,0.0001845850724600109
19,atlanta,large_office,6461081.304124868,46320.0,3A,SRSO,7.12,139.48793834466468,AirCooledChiller,1900318.030624961,13530264.378049722,2.0941176470588236,4.520979376206441e-05
20,atlanta,medium_office,490971.69680857,4982.0,3A,SRSO,7.12,98.54911617996187,AirCooledChiller,144403.4402378147,1028152.4944932407,2.0941176470588236,0.00042033674168181925
21,atlanta,midrise_apartment,190390.21539679015,3135.0,3A,SRSO,7.12,60.7305312270463,AirCooledChiller,55997.122175526514,398699.50988974876,2.094117647058823,0.0006679801107045688
22,atlanta,outpatient_healthcare,1474836.239312145,3804.0,3A,SRSO,7.12,387.70668751633673,AirCooledChiller,433775.36450357205,3088480.595265433,2.0941176470588236,0.0005505041133172513
23,atlanta,primary_school,581751.7807207332,6871.0,3A,SRSO,7.12,84.66770204056661,AirCooledChiller,171103.46491786273,1218256.6702151827,2.0941176470588236,0.0003047762548477403
24,atlanta,quick_service_restaurant,55457.844426624295,232.0,3A,SRSO,7.12,239.0424328733806,AirCooledChiller,16311.130713713028,116135.25068163677,2.0941176470588236,0.009026369168356998
25,atlanta,secondary_school,6420113.817731498,19592.0,3A,SRSO,7.12,327.6905786918894,AirCooledChiller,1888268.7699210288,13444473.641837725,2.0941176470588236,0.00010688636418225927
26,atlanta,small_hotel,493999.10115928575,4014.0,3A,SRSO,7.12,123.06903367196955,AirCooledChiller,145293.85328214287,1034492.2353688573,2.0941176470588236,0.0005217034496907882
27,atlanta,small_office,29775.355804512157,511.0,3A,SRSO,7.12,58.26879805188289,AirCooledChiller,8757.4575895624,62353.09803768429,2.094117647058824,0.004098077587199264
28,atlanta,stand_alone_retail,185250.8378786051,2294.0,3A,SRSO,7.12,80.75450648587842,AirCooledChiller,54485.54055253091,387937.0487340201,2.0941176470588236,0.0009128673265295657
29,atlanta,strip_mall,168569.13147156916,2090.0,3A,SRSO,7.12,80.655086828502,AirCooledChiller,49579.1563151674,353003.59296399186,2.0941176470588236,0.0010019701660568534
30,atlanta,supermarket,183299.7360377032,4181.0,3A,SRSO,7.12,43.841123185291366,AirCooledChiller,53911.68706991271,383851.2119377785,2.0941176470588236,0.0005008652588038325
31,atlanta,warehouse,40339.67056791984,4835.0,3A,SRSO,7.12,8.343261751379492,AirCooledChiller,11864.60899056466,84476.01601282039,2.0941176470588236,0.000433116369608857
32,baltimore,full_service_restaurant,94354.6876052642,569.52,4A,RFCE,7.42,165.6740546517492,AirCooledChiller,27751.37870743065,205915.2300091354,2.182352941176471,0.003831916247324889
33,baltimore,hospital,16332923.58797378,22422.0,4A,RFCE,7.42,728.4329492451067,AirCooledChiller,4803801.055286407,35644203.83022514,2.182352941176471,9.733087776186205e-05
34,baltimore,large_hotel,3297171.8709036363,11345.0,4A,RFCE,7.42,290.6277541563364,AirCooledChiller,969756.4326187166,7195592.7300308775,2.182352941176471,0.0001923625333782698
35,baltimore,large_office,5800386.858040384,46320.0,4A,RFCE,7.42,125.22424132211538,AirCooledChiller,1705996.1347177601,12658491.31960578,2.182352941176471,4.7114700802600836e-05
36,baltimore,medium_office,407672.0136246548,4982.0,4A,RFCE,7.42,81.82898707841325,AirCooledChiller,119903.53341901612,889684.2179690996,2.182352941176471,0.0004380475594493117
37,baltimore,midrise_apartment,133634.22680022588,3135.0,4A,RFCE,7.42,42.626547623676515,AirCooledChiller,39304.184353007615,291637.0478993165,2.1823529411764704,0.0006961253400881883
38,baltimore,outpatient_healthcare,1255467.9023741249,3804.0,4A,RFCE,7.42,330.0388807502957,AirCooledChiller,369255.2654041544,2739874.069298825,2.1823529411764704,0.0005736995113502813
39,baltimore,primary_school,437185.9414027138,6871.0,4A,RFCE,7.42,63.627702139821544,AirCooledChiller,128584.1004125629,954094.0250612167,2.182352941176471,0.00031761795097896535
40,baltimore,quick_service_restaurant,38096.9091924772,232.0,4A,RFCE,7.42,164.21081548481553,AirCooledChiller,11204.973291905058,83140.90182593554,2.1823529411764704,0.009406693711967545
41,baltimore,secondary_school,5208023.774135944,19592.0,4A,RFCE,7.42,265.8239982715366,AirCooledChiller,1531771.6982752779,11365746.001202561,2.1823529411764704,0.000111390003122523
42,baltimore,small_hotel,386590.9083973884,4014.0,4A,RFCE,7.42,96.31063985983766,AirCooledChiller,113703.20835217307,843677.8059731241,2.1823529411764704,0.0005436853366159617
43,baltimore,small_office,22528.651074165053,511.0,4A,RFCE,7.42,44.0873797928866,AirCooledChiller,6626.073845342663,49165.46793244256,2.182352941176471,0.004270749395648671
44,baltimore,stand_alone_retail,127906.9304286284,2294.0,4A,RFCE,7.42,55.75716234900977,AirCooledChiller,37619.685420184825,279138.0658177714,2.182352941176471,0.0009513308374788452
45,baltimore,strip_mall,116625.24048155417,2090.0,4A,RFCE,7.42,55.80155046964314,AirCooledChiller,34301.541318104166,254517.4365803329,2.1823529411764704,0.0010441880101322825
46,baltimore,supermarket,125835.34628655232,4181.0,4A,RFCE,7.42,30.09694960214119,AirCooledChiller,37010.395966633034,274617.1380724171,2.1823529411764704,0.0005219691320680389
47,baltimore,warehouse,27889.629316434264,4835.0,4A,RFCE,7.42,5.768279072685473,AirCooledChiller,8202.832151892431,60865.01456704184,2.182352941176471,0.0004513656548451853
48,chicago,full_service_restaurant,68745.04918880865,569.52,5A,RFCW,6.55,120.70699745190451,AirCooledChiller,20219.13211435549,132435.31534902845,1.9264705882352942,0.00338262148517224
49,chicago,hospital,13606340.421012891,22422.0,5A,RFCW,6.55,606.8299179829137,AirCooledChiller,4001864.829709674,26212214.634598367,1.9264705882352944,8.591876675743887e-05
50,chicago,large_hotel,2960639.0400040997,11345.0,5A,RFCW,6.55,260.9642168359718,AirCooledChiller,870776.1882364999,5703584.032949074,1.926470588235294,0.00016980789671531898
51,chicago,large_office,3676505.0049129263,46320.0,5A,RFCW,6.55,79.37186970882829,AirCooledChiller,1081325.0014449784,7082678.7594646085,1.9264705882352942,4.159047038504521e-05
52,chicago,medium_office,281405.05396445055,4982.0,5A,RFCW,6.55,56.48435446897843,AirCooledChiller,82766.19234248546,542118.5598432798,1.9264705882352942,0.0003866861879235837
53,chicago,midrise_apartment,102746.57848341212,3135.0,5A,RFCW,6.55,32.77402822437388,AirCooledChiller,30219.581906885916,197938.26149010274,1.926470588235294,0.0006145041748756918
54,chicago,outpatient_healthcare,976166.6299806006,3804.0,5A,RFCW,6.55,256.6158333282336,AirCooledChiller,287107.83234723547,1880556.3018743922,1.9264705882352942,0.0005064328570544937
55,chicago,primary_school,316393.7943632786,6871.0,5A,RFCW,6.55,46.04770693687652,AirCooledChiller,93056.99834214077,609523.3391410221,1.9264705882352942,0.0002803770321984128
56,chicago,quick_service_restaurant,27837.908348107994,232.0,5A,RFCW,6.55,119.99098425908618,AirCooledChiller,8187.620102384704,53628.91167061981,1.9264705882352942,0.008303752535496957
57,chicago,secondary_school,3869679.460327919,19592.0,5A,RFCW,6.55,197.51324317721105,AirCooledChiller,1138141.0177435055,7454823.666219961,1.926470588235294,9.832945019575817e-05
58,chicago,small_hotel,318329.0703395533,4014.0,5A,RFCW,6.55,79.30470113093007,AirCooledChiller,93626.19715869214,613251.5913894335,1.926470588235294,0.00047993786453295813
59,chicago,small_office,17186.981580108182,511.0,5A,RFCW,6.55,33.6340148338712,AirCooledChiller,5054.994582384759,33110.21451462017,1.926470588235294,0.0037700011511453894
60,chicago,stand_alone_retail,88250.34608314835,2294.0,5A,RFCW,6.55,38.47007239893128,AirCooledChiller,25955.984142102458,170011.6961307711,1.9264705882352942,0.0008397866557259347
61,chicago,strip_mall,80446.3223363658,2090.0,5A,RFCW,6.55,38.491063318835316,AirCooledChiller,23660.68304010759,154977.4739127047,1.9264705882352942,0.0009217562623135379
62,chicago,supermarket,84912.2049619902,4181.0,5A,RFCW,6.55,20.30906600382449,AirCooledChiller,24974.177929997117,163580.86544148112,1.9264705882352942,0.0004607678996018403
63,chicago,warehouse,18574.371537099592,4835.0,5A,RFCW,6.55,3.8416487150154275,AirCooledChiller,5463.050452088116,35782.98046117716,1.9264705882352944,0.00039844272765983337
64,denver,full_service_restaurant,64939.12165145914,569.52,5B,RMPA,4.69,114.02430406563272,AirCooledChiller,19099.741662193865,89577.78839568923,1.3794117647058823,0.002422060269535543
65,denver,hospital,10603665.525031984,22422.0,5B,RMPA,4.69,472.91345665114545,AirCooledChiller,3118725.1544211716,14626820.974235296,1.3794117647058823,6.152046047212035e-05
66,denver,large_hotel,2542640.2527970057,11345.0,5B,RMPA,4.69,224.11989888030018,AirCooledChiller,747835.3684697076,3507347.8781229286,1.3794117647058823,0.00012158763902211391
67,denver,large_office,2544008.9002910727,46320.0,5B,RMPA,4.69,54.92247194065356,AirCooledChiller,748237.9118503155,3509235.80657798,1.3794117647058826,2.97800467337194e-05
68,denver,medium_office,251212.54224308176,4982.0,5B,RMPA,4.69,50.42403497452464,AirCooledChiller,73886.04183620051,346525.53621178045,1.3794117647058826,0.000276879117765131
69,denver,midrise_apartment,88891.21466427414,3135.0,5B,RMPA,4.69,28.354454438364957,AirCooledChiller,26144.4749012571,122617.58728689581,1.3794117647058823,0.00044000375269725116
70,denver,outpatient_healthcare,932065.3335965892,3804.0,5B,RMPA,4.69,245.02243259636938,AirCooledChiller,274136.86282252625,1285701.8866376483,1.3794117647058828,0.0003626213892497063
71,denver,primary_school,255303.75812595655,6871.0,5B,RMPA,4.69,37.15671054081743,AirCooledChiller,75089.34062528134,352169.0075325695,1.3794117647058826,0.00020075851618481773
72,denver,quick_service_restaurant,25337.530955736234,232.0,5B,RMPA,4.69,109.21349549886308,AirCooledChiller,7452.214986981246,34950.88828894204,1.3794117647058823,0.005945740365111562
73,denver,secondary_school,2499227.711466768,19592.0,5B,RMPA,4.69,127.56368474207676,AirCooledChiller,735066.9739608141,3447464.1078762184,1.3794117647058826,7.040688876612304e-05
74,denver,small_hotel,284991.0912695219,4014.0,5B,RMPA,4.69,70.99927535364273,AirCooledChiller,83820.90919691822,393120.0641335465,1.3794117647058826,0.00034365016559688156
75,denver,small_office,14682.394108257517,511.0,5B,RMPA,4.69,28.732669487783788,AirCooledChiller,4318.3512083110345,20253.067166978755,1.3794117647058826,0.0026994359387590657
76,denver,stand_alone_retail,71441.8560141265,2294.0,5B,RMPA,4.69,31.14291892507694,AirCooledChiller,21012.31059239015,98547.73667830981,1.3794117647058826,0.0006013128878404021
77,denver,strip_mall,63755.91860287251,2090.0,5B,RMPA,4.69,30.50522421190072,AirCooledChiller,18751.740765550738,87945.66419043297,1.3794117647058826,0.0006600056290458768
78,denver,supermarket,69289.41325778273,4181.0,5B,RMPA,4.69,16.572449954026006,AirCooledChiller,20379.23919346551,95578.63181735325,1.3794117647058826,0.0003299238853637605
79,denver,warehouse,20141.254034243066,4835.0,5B,RMPA,4.69,4.165719552066818,AirCooledChiller,5923.898245365608,27783.082770764704,1.3794117647058826,0.00028529715919459826
80,duluth,full_service_restaurant,17927.122408818872,569.52,7,MROW,6.48,31.477599397420413,AirCooledChiller,5272.683061417315,34166.9862379842,1.9058823529411764,0.00334647133189559
81,duluth,hospital,10430594.566986348,22422.0,7,MROW,6.48,465.19465556089324,AirCooledChiller,3067821.9314665734,19879486.115903396,1.9058823529411768,8.500055092949679e-05
82,duluth,large_hotel,2448868.781736628,11345.0,7,MROW,6.48,215.85445409754325,AirCooledChiller,720255.5240401848,4667255.795780398,1.9058823529411768,0.00016799315583439196
83,duluth,large_office,2216462.574116501,46320.0,7,MROW,6.48,47.85109184189337,AirCooledChiller,651900.7570930886,4224316.905963214,1.9058823529411766,4.114599207558671e-05
84,duluth,medium_office,139421.06198419782,4982.0,7,MROW,6.48,27.98495824652706,AirCooledChiller,41006.19470123466,265720.1416640006,1.9058823529411766,0.00038255366377783553
85,duluth,midrise_apartment,49032.53167539685,3135.0,7,MROW,6.48,15.64036098098783,AirCooledChiller,14421.332845704957,93450.23684016813,1.9058823529411768,0.0006079369546861808
86,duluth,outpatient_healthcare,7913.029846782806,3804.0,7,MROW,6.48,2.0801866053582563,AirCooledChiller,2327.361719642002,15081.303943280172,1.9058823529411766,0.0005010205975134533
87,duluth,primary_school,122007.43036950276,6871.0,7,MROW,6.48,17.75686659430982,AirCooledChiller,35884.5383439714,232531.80846893467,1.9058823529411764,0.00027738063643446023
