,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,fuel_type,w4e_intensity (L/kWh),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,569.52,4B,AZNM,US Overall,0.268,142.53412978266928,AirCooledChiller,23875.30517465465,6398.581786807447,0.07882352941176472,0.00013840344397345964
1,albuquerque,hospital,11210146.841727791,22422.0,4B,AZNM,US Overall,0.268,499.9619499477206,AirCooledChiller,3297102.01227288,883623.3392891319,0.07882352941176472,3.5154548841211633e-06
2,albuquerque,large_hotel,2760202.815805529,11345.0,4B,AZNM,US Overall,0.268,243.29685463248381,AirCooledChiller,811824.3575898614,217568.92783408286,0.07882352941176471,6.947865086977938e-06
3,albuquerque,large_office,3060472.353868896,46320.0,4B,AZNM,US Overall,0.268,66.0723737881886,AirCooledChiller,900138.9276084988,241237.23259907772,0.07882352941176471,1.701716956212537e-06
4,albuquerque,medium_office,320281.0793964718,4982.0,4B,AZNM,US Overall,0.268,64.28765142442228,AirCooledChiller,94200.31746955053,25245.685081839543,0.07882352941176471,1.5821663872293198e-05
5,albuquerque,midrise_apartment,116117.84474337616,3135.0,4B,AZNM,US Overall,0.268,37.039184926116796,AirCooledChiller,34152.30727746358,9152.81835036024,0.07882352941176471,2.5143071582700067e-05
6,albuquerque,outpatient_healthcare,1083317.174704926,3804.0,4B,AZNM,US Overall,0.268,284.7836947173833,AirCooledChiller,318622.69844262535,85390.8831826236,0.07882352941176472,2.072122224284036e-05
7,albuquerque,primary_school,348703.2289519561,6871.0,4B,AZNM,US Overall,0.268,50.74999693668405,AirCooledChiller,102559.77322116356,27486.019223271836,0.07882352941176472,1.1471915210561014e-05
8,albuquerque,quick_service_restaurant,31838.046692328386,232.0,4B,AZNM,US Overall,0.268,137.2329598807258,AirCooledChiller,9364.131380096584,2509.5872098658847,0.07882352941176471,0.00033975659229208927
9,albuquerque,secondary_school,3259135.764834071,19592.0,4B,AZNM,US Overall,0.268,166.35033507728008,AirCooledChiller,958569.3425982562,256896.58381633268,0.07882352941176471,4.023250786635602e-06
10,albuquerque,small_hotel,346770.75835346343,4014.0,4B,AZNM,US Overall,0.268,86.39032345626892,AirCooledChiller,101991.39951572454,27333.695070214177,0.07882352941176471,1.96371523198218e-05
11,albuquerque,small_office,20208.386839671384,511.0,4B,AZNM,US Overall,0.268,39.546745283114255,AirCooledChiller,5943.6431881386425,1592.8963744211562,0.07882352941176471,0.00015425348221480373
12,albuquerque,stand_alone_retail,98566.42002864565,2294.0,4B,AZNM,US Overall,0.268,42.96705319470168,AirCooledChiller,28990.123537836957,7769.353108140305,0.07882352941176472,3.436073644802298e-05
13,albuquerque,strip_mall,91738.00433999556,2090.0,4B,AZNM,US Overall,0.268,43.89378198085912,AirCooledChiller,26981.765982351637,7231.113283270239,0.07882352941176471,3.77146073740501e-05
14,albuquerque,supermarket,96451.65469490988,4181.0,4B,AZNM,US Overall,0.268,23.069039630449627,AirCooledChiller,28368.133733797025,7602.659840657603,0.07882352941176471,1.885279344935774e-05
15,albuquerque,warehouse,25741.81669509118,4835.0,4B,AZNM,US Overall,0.268,5.324057227526614,AirCooledChiller,7571.122557379759,2029.0608453777756,0.07882352941176472,1.63026948111199e-05
16,atlanta,full_service_restaurant,138201.1475863159,569.52,3A,SRSO,US Overall,0.268,242.66250102949132,AirCooledChiller,40647.396348916445,10893.502221509609,0.07882352941176472,0.00013840344397345964
17,atlanta,hospital,16863438.28369626,22422.0,3A,SRSO,US Overall,0.268,752.093403072708,AirCooledChiller,4959834.789322429,1329235.723538411,0.07882352941176471,3.515454884121163e-06
18,atlanta,large_hotel,3565816.383905628,11345.0,3A,SRSO,US Overall,0.268,314.30730576515015,AirCooledChiller,1048769.524678126,281070.23261373775,0.07882352941176471,6.947865086977938e-06
19,atlanta,large_office,6461081.304124868,46320.0,3A,SRSO,US Overall,0.268,139.48793834466468,AirCooledChiller,1900318.030624961,509285.2322074896,0.07882352941176471,1.701716956212537e-06
20,atlanta,medium_office,490971.69680857,4982.0,3A,SRSO,US Overall,0.268,98.54911617996187,AirCooledChiller,144403.4402378147,38700.121983734345,0.07882352941176471,1.5821663872293198e-05
21,atlanta,midrise_apartment,190390.21539679015,3135.0,3A,SRSO,US Overall,0.268,60.7305312270463,AirCooledChiller,55997.122175526514,15007.228743041107,0.07882352941176471,2.5143071582700067e-05
