climate_zone,chiller_type,scope,WC_mean,WC_std,%_evap_mean,%_evap_std,"Water Consumption, $L/MWh_C m^2$",Percent Evaporation
1A,AirCooledChiller,PoG,2.19,3.68,0.0,0.0,2.19 +/- 3.68,0.0 +/- 0.0
1A,AirCooledChiller,LC,3.1,5.2,0.0,0.0,3.1 +/- 5.2,0.0 +/- 0.0
1A,WaterCooledChiller,PoG,2.68,4.49,44.8,7.97,2.68 +/- 4.49,44.8 +/- 7.97
1A,WaterCooledChiller,LC,3.29,5.51,36.5,7.47,3.29 +/- 5.51,36.5 +/- 7.47
1A,AbsorptionChiller,PoG,2.33,3.9,100.0,0.0,2.33 +/- 3.9,100.0 +/- 0.0
1A,AbsorptionChiller,LC,2.4,3.91,96.9,7.67,2.4 +/- 3.91,96.9 +/- 7.67
2A,AirCooledChiller,PoG,1.51,2.64,0.0,0.0,1.51 +/- 2.64,0.0 +/- 0.0
2A,AirCooledChiller,LC,4.8,9.09,0.0,0.0,4.8 +/- 9.09,0.0 +/- 0.0
2A,WaterCooledChiller,PoG,2.29,3.87,55.8,17.7,2.29 +/- 3.87,55.8 +/- 17.7
2A,WaterCooledChiller,LC,4.49,8.06,31.4,15.2,4.49 +/- 8.06,31.4 +/- 15.2
2A,AbsorptionChiller,PoG,2.41,4.05,100.0,0.0,2.41 +/- 4.05,100.0 +/- 0.0
2A,AbsorptionChiller,LC,2.48,4.05,96.9,7.68,2.48 +/- 4.05,96.9 +/- 7.68
2B,AirCooledChiller,PoG,1.94,3.39,0.0,0.0,1.94 +/- 3.39,0.0 +/- 0.0
2B,AirCooledChiller,LC,21.2,41.5,0.0,0.0,21.2 +/- 41.5,0.0 +/- 0.0
2B,WaterCooledChiller,PoG,3.24,5.5,59.6,20.7,3.24 +/- 5.5,59.6 +/- 20.7
2B,WaterCooledChiller,LC,16.2,30.7,19.1,13.3,16.2 +/- 30.7,19.1 +/- 13.3
2B,AbsorptionChiller,PoG,3.21,5.43,100.0,0.0,3.21 +/- 5.43,100.0 +/- 0.0
2B,AbsorptionChiller,LC,3.29,5.39,97.7,6.05,3.29 +/- 5.39,97.7 +/- 6.05
3A,AirCooledChiller,PoG,1.23,2.06,0.0,0.0,1.23 +/- 2.06,0.0 +/- 0.0
3A,AirCooledChiller,LC,4.91,9.18,0.0,0.0,4.91 +/- 9.18,0.0 +/- 0.0
3A,WaterCooledChiller,PoG,2.14,3.56,60.8,19.0,2.14 +/- 3.56,60.8 +/- 19.0
3A,WaterCooledChiller,LC,4.61,8.16,31.9,16.5,4.61 +/- 8.16,31.9 +/- 16.5
3A,AbsorptionChiller,PoG,2.45,4.08,100.0,0.0,2.45 +/- 4.08,100.0 +/- 0.0
3A,AbsorptionChiller,LC,2.53,4.14,97.0,7.68,2.53 +/- 4.14,97.0 +/- 7.68
3B,AirCooledChiller,PoG,1.87,3.29,0.0,0.0,1.87 +/- 3.29,0.0 +/- 0.0
3B,AirCooledChiller,LC,12.2,28.1,0.0,0.0,12.2 +/- 28.1,0.0 +/- 0.0
3B,WaterCooledChiller,PoG,3.25,5.53,61.2,25.4,3.25 +/- 5.53,61.2 +/- 25.4
3B,WaterCooledChiller,LC,10.2,21.5,28.5,21.1,10.2 +/- 21.5,28.5 +/- 21.1
3B,AbsorptionChiller,PoG,3.28,5.56,100.0,0.0,3.28 +/- 5.56,100.0 +/- 0.0
3B,AbsorptionChiller,LC,3.35,5.51,97.7,6.13,3.35 +/- 5.51,97.7 +/- 6.13
3C,AirCooledChiller,PoG,2.34,3.93,0.0,0.0,2.34 +/- 3.93,0.0 +/- 0.0
3C,AirCooledChiller,LC,6.33,10.6,0.0,0.0,6.33 +/- 10.6,0.0 +/- 0.0
3C,WaterCooledChiller,PoG,2.85,4.9,42.3,29.4,2.85 +/- 4.9,42.3 +/- 29.4
3C,WaterCooledChiller,LC,5.52,9.38,21.4,20.2,5.52 +/- 9.38,21.4 +/- 20.2
3C,AbsorptionChiller,PoG,2.35,4.12,100.0,0.0,2.35 +/- 4.12,100.0 +/- 0.0
3C,AbsorptionChiller,LC,2.43,4.11,96.7,8.48,2.43 +/- 4.11,96.7 +/- 8.48
4A,AirCooledChiller,PoG,1.4,2.36,0.0,0.0,1.4 +/- 2.36,0.0 +/- 0.0
4A,AirCooledChiller,LC,4.47,8.87,0.0,0.0,4.47 +/- 8.87,0.0 +/- 0.0
4A,WaterCooledChiller,PoG,2.22,3.76,56.9,23.0,2.22 +/- 3.76,56.9 +/- 23.0
4A,WaterCooledChiller,LC,4.29,7.89,34.0,20.1,4.29 +/- 7.89,34.0 +/- 20.1
4A,AbsorptionChiller,PoG,2.41,4.08,100.0,0.0,2.41 +/- 4.08,100.0 +/- 0.0
4A,AbsorptionChiller,LC,2.48,4.08,96.9,7.96,2.48 +/- 4.08,96.9 +/- 7.96
4B,AirCooledChiller,PoG,1.77,3.16,0.0,0.0,1.77 +/- 3.16,0.0 +/- 0.0
4B,AirCooledChiller,LC,15.2,33.2,0.0,0.0,15.2 +/- 33.2,0.0 +/- 0.0
4B,WaterCooledChiller,PoG,2.94,5.01,59.8,29.2,2.94 +/- 5.01,59.8 +/- 29.2
4B,WaterCooledChiller,LC,11.9,24.6,25.6,22.5,11.9 +/- 24.6,25.6 +/- 22.5
4B,AbsorptionChiller,PoG,2.97,5.05,100.0,0.0,2.97 +/- 5.05,100.0 +/- 0.0
4B,AbsorptionChiller,LC,3.05,5.04,97.4,6.88,3.05 +/- 5.04,97.4 +/- 6.88
4C,AirCooledChiller,PoG,2.27,3.8,0.0,0.0,2.27 +/- 3.8,0.0 +/- 0.0
4C,AirCooledChiller,LC,3.25,5.61,0.0,0.0,3.25 +/- 5.61,0.0 +/- 0.0
4C,WaterCooledChiller,PoG,2.85,4.88,44.4,35.9,2.85 +/- 4.88,44.4 +/- 35.9
4C,WaterCooledChiller,LC,3.51,6.05,36.4,33.3,3.51 +/- 6.05,36.4 +/- 33.3
4C,AbsorptionChiller,PoG,2.43,4.2,100.0,0.0,2.43 +/- 4.2,100.0 +/- 0.0
4C,AbsorptionChiller,LC,2.51,4.19,96.8,8.5,2.51 +/- 4.19,96.8 +/- 8.5
5A,AirCooledChiller,PoG,1.4,2.35,0.0,0.0,1.4 +/- 2.35,0.0 +/- 0.0
5A,AirCooledChiller,LC,4.69,8.9,0.0,0.0,4.69 +/- 8.9,0.0 +/- 0.0
5A,WaterCooledChiller,PoG,2.21,3.75,56.5,24.3,2.21 +/- 3.75,56.5 +/- 24.3
5A,WaterCooledChiller,LC,4.42,7.96,31.8,20.2,4.42 +/- 7.96,31.8 +/- 20.2
5A,AbsorptionChiller,PoG,2.39,4.07,100.0,0.0,2.39 +/- 4.07,100.0 +/- 0.0
5A,AbsorptionChiller,LC,2.47,4.06,96.9,8.06,2.47 +/- 4.06,96.9 +/- 8.06
5B,AirCooledChiller,PoG,2.1,3.61,0.0,0.0,2.1 +/- 3.61,0.0 +/- 0.0
5B,AirCooledChiller,LC,6.92,20.2,0.0,0.0,6.92 +/- 20.2,0.0 +/- 0.0
5B,WaterCooledChiller,PoG,3.17,5.44,54.0,36.9,3.17 +/- 5.44,54.0 +/- 36.9
5B,WaterCooledChiller,LC,6.4,15.5,40.5,34.1,6.4 +/- 15.5,40.5 +/- 34.1
5B,AbsorptionChiller,PoG,2.98,5.13,100.0,0.0,2.98 +/- 5.13,100.0 +/- 0.0
5B,AbsorptionChiller,LC,3.05,5.1,97.4,7.17,3.05 +/- 5.1,97.4 +/- 7.17
6A,AirCooledChiller,PoG,1.35,2.28,0.0,0.0,1.35 +/- 2.28,0.0 +/- 0.0
6A,AirCooledChiller,LC,5.05,9.12,0.0,0.0,5.05 +/- 9.12,0.0 +/- 0.0
6A,WaterCooledChiller,PoG,2.2,3.72,57.9,24.7,2.2 +/- 3.72,57.9 +/- 24.7
6A,WaterCooledChiller,LC,4.68,8.21,29.8,19.8,4.68 +/- 8.21,29.8 +/- 19.8
6A,AbsorptionChiller,PoG,2.41,4.1,100.0,0.0,2.41 +/- 4.1,100.0 +/- 0.0
6A,AbsorptionChiller,LC,2.49,4.1,96.9,8.04,2.49 +/- 4.1,96.9 +/- 8.04
6B,AirCooledChiller,PoG,1.93,3.37,0.0,0.0,1.93 +/- 3.37,0.0 +/- 0.0
6B,AirCooledChiller,LC,2.82,4.96,0.0,0.0,2.82 +/- 4.96,0.0 +/- 0.0
6B,WaterCooledChiller,PoG,2.95,5.08,54.9,42.5,2.95 +/- 5.08,54.9 +/- 42.5
6B,WaterCooledChiller,LC,3.55,6.13,45.5,42.3,3.55 +/- 6.13,45.5 +/- 42.3
6B,AbsorptionChiller,PoG,2.84,4.9,100.0,0.0,2.84 +/- 4.9,100.0 +/- 0.0
6B,AbsorptionChiller,LC,2.91,4.87,97.2,7.84,2.91 +/- 4.87,97.2 +/- 7.84
7,AirCooledChiller,PoG,1.33,2.29,0.0,0.0,1.33 +/- 2.29,0.0 +/- 0.0
7,AirCooledChiller,LC,4.97,8.85,0.0,0.0,4.97 +/- 8.85,0.0 +/- 0.0
7,WaterCooledChiller,PoG,2.13,3.63,57.0,29.4,2.13 +/- 3.63,57.0 +/- 29.4
7,WaterCooledChiller,LC,4.57,7.97,28.7,22.8,4.57 +/- 7.97,28.7 +/- 22.8
7,AbsorptionChiller,PoG,2.34,3.98,100.0,0.0,2.34 +/- 3.98,100.0 +/- 0.0
7,AbsorptionChiller,LC,2.41,3.98,96.8,8.52,2.41 +/- 3.98,96.8 +/- 8.52
