,City,Building,AC_id,num_AC_modules,ABC_id,num_ABC_modules
0,albuquerque,full_service_restaurant,AC3,3,None,0
1,albuquerque,hospital,AC3,37,None,0
2,albuquerque,large_hotel,AC3,10,None,0
3,albuquerque,large_office,AC3,32,None,0
4,albuquerque,medium_office,AC3,10,None,0
5,albuquerque,midrise_apartment,AC3,2,None,0
6,albuquerque,outpatient_healthcare,AC3,12,None,0
7,albuquerque,primary_school,AC3,13,None,0
8,albuquerque,quick_service_restaurant,AC3,2,None,0
9,albuquerque,secondary_school,AC3,47,None,0
10,albuquerque,small_hotel,AC3,4,None,0
11,albuquerque,small_office,AC3,1,None,0
12,albuquerque,stand_alone_retail,AC3,4,None,0
13,albuquerque,strip_mall,AC3,4,None,0
14,albuquerque,supermarket,AC3,6,None,0
15,albuquerque,warehouse,AC3,3,None,0
16,atlanta,full_service_restaurant,AC3,3,None,0
17,atlanta,hospital,AC3,53,None,0
18,atlanta,large_hotel,AC3,14,None,0
19,atlanta,large_office,AC3,43,None,0
20,atlanta,medium_office,AC3,9,None,0
21,atlanta,midrise_apartment,AC3,3,None,0
22,atlanta,outpatient_healthcare,AC3,11,None,0
23,atlanta,primary_school,AC3,14,None,0
24,atlanta,quick_service_restaurant,AC3,2,None,0
25,atlanta,secondary_school,AC3,68,None,0
26,atlanta,small_hotel,AC3,5,None,0
27,atlanta,small_office,AC3,1,None,0
28,atlanta,stand_alone_retail,AC3,5,None,0
29,atlanta,strip_mall,AC3,5,None,0
30,atlanta,supermarket,AC3,6,None,0
31,atlanta,warehouse,AC3,3,None,0
32,baltimore,full_service_restaurant,AC3,3,None,0
33,baltimore,hospital,AC3,54,None,0
34,baltimore,large_hotel,AC3,14,None,0
35,baltimore,large_office,AC3,49,None,0
36,baltimore,medium_office,AC3,9,None,0
37,baltimore,midrise_apartment,AC3,3,None,0
38,baltimore,outpatient_healthcare,AC3,12,None,0
39,baltimore,primary_school,AC3,15,None,0
40,baltimore,quick_service_restaurant,AC3,2,None,0
41,baltimore,secondary_school,AC3,71,None,0
42,baltimore,small_hotel,AC3,5,None,0
43,baltimore,small_office,AC3,1,None,0
44,baltimore,stand_alone_retail,AC3,5,None,0
45,baltimore,strip_mall,AC3,5,None,0
46,baltimore,supermarket,AC3,6,None,0
47,baltimore,warehouse,AC3,3,None,0
48,chicago,full_service_restaurant,AC3,3,None,0
49,chicago,hospital,AC3,54,None,0
50,chicago,large_hotel,AC3,14,None,0
51,chicago,large_office,AC3,46,None,0
52,chicago,medium_office,AC3,9,None,0
53,chicago,midrise_apartment,AC3,3,None,0
54,chicago,outpatient_healthcare,AC3,11,None,0
55,chicago,primary_school,AC3,14,None,0
56,chicago,quick_service_restaurant,AC3,2,None,0
57,chicago,secondary_school,AC3,68,None,0
58,chicago,small_hotel,AC3,5,None,0
59,chicago,small_office,AC3,1,None,0
60,chicago,stand_alone_retail,AC3,5,None,0
61,chicago,strip_mall,AC3,4,None,0
62,chicago,supermarket,AC3,6,None,0
63,chicago,warehouse,AC3,3,None,0
64,denver,full_service_restaurant,AC3,3,None,0
65,denver,hospital,AC3,37,None,0
66,denver,large_hotel,AC3,9,None,0
67,denver,large_office,AC3,31,None,0
68,denver,medium_office,AC3,10,None,0
69,denver,midrise_apartment,AC3,3,None,0
70,denver,outpatient_healthcare,AC3,11,None,0
71,denver,primary_school,AC3,12,None,0
72,denver,quick_service_restaurant,AC3,2,None,0
73,denver,secondary_school,AC3,47,None,0
74,denver,small_hotel,AC3,4,None,0
75,denver,small_office,AC3,1,None,0
76,denver,stand_alone_retail,AC3,4,None,0
77,denver,strip_mall,AC3,4,None,0
78,denver,supermarket,AC3,5,None,0
79,denver,warehouse,AC3,3,None,0
80,duluth,full_service_restaurant,AC3,2,None,0
81,duluth,hospital,AC3,46,None,0
82,duluth,large_hotel,AC3,12,None,0
83,duluth,large_office,AC3,40,None,0
84,duluth,medium_office,AC3,7,None,0
85,duluth,midrise_apartment,AC3,3,None,0
86,duluth,outpatient_healthcare,AC3,1,None,0
87,duluth,primary_school,AC3,11,None,0
88,duluth,quick_service_restaurant,AC3,1,None,0
89,duluth,secondary_school,AC3,53,None,0
90,duluth,small_hotel,AC3,4,None,0
91,duluth,small_office,AC3,1,None,0
92,duluth,stand_alone_retail,AC3,3,None,0
93,duluth,strip_mall,AC3,3,None,0
94,duluth,supermarket,AC3,3,None,0
