,City,Building,AC,num_AC_modules,ABC,num_ABC_modules,Furnace,num_Furnace_modules,PrimeMover,num_PM_modules,PV Module,num_PV_modules,BES,num_BES_modules
0,albuquerque,full_service_restaurant,AC3,3,,0,F4,1,,0,Silevo_Triex_U300_Black__2014_,306,Li3,1
1,albuquerque,hospital,AC3,37,,0,F4,10,,0,Silevo_Triex_U300_Black__2014_,2235,,0
2,albuquerque,large_hotel,AC3,10,,0,F4,8,,0,Silevo_Triex_U300_Black__2014_,882,,0
3,albuquerque,large_office,AC3,32,,0,F4,14,,0,Silevo_Triex_U300_Black__2014_,2128,Li3,1
4,albuquerque,medium_office,AC3,10,,0,F4,2,,0,Silevo_Triex_U300_Black__2014_,990,Li3,5
5,albuquerque,midrise_apartment,AC3,2,,0,F4,1,,0,Silevo_Triex_U300_Black__2014_,468,Li3,5
6,albuquerque,outpatient_healthcare,AC3,12,,0,F4,3,,0,Silevo_Triex_U300_Black__2014_,819,Li3,1
7,albuquerque,primary_school,AC3,13,,0,F4,6,,0,Silevo_Triex_U300_Black__2014_,4095,Li3,44
8,albuquerque,quick_service_restaurant,AC3,2,,0,F4,1,,0,Silevo_Triex_U300_Black__2014_,162,Li3,1
9,albuquerque,secondary_school,AC3,47,,0,F4,22,,0,Silevo_Triex_U300_Black__2014_,7040,Li3,32
10,albuquerque,small_hotel,AC3,4,,0,F4,1,,0,Silevo_Triex_U300_Black__2014_,602,Li3,2
11,albuquerque,small_office,AC3,1,,0,F4,1,,0,Silevo_Triex_U300_Black__2014_,360,Li3,5
12,albuquerque,stand_alone_retail,AC3,4,,0,F4,2,,0,Silevo_Triex_U300_Black__2014_,1368,Li3,14
13,albuquerque,strip_mall,AC3,4,,0,F4,2,,0,Silevo_Triex_U300_Black__2014_,1251,Li3,13
14,albuquerque,supermarket,AC3,6,,0,F4,4,,0,Silevo_Triex_U300_Black__2014_,2493,Li3,3
15,albuquerque,warehouse,AC3,3,,0,F4,2,,0,Silevo_Triex_U300_Black__2014_,2745,Li3,34
16,atlanta,full_service_restaurant,AC3,3,,0,F4,2,,0,Silevo_Triex_U300_Black__2014_,306,Li3,1
