,City,Building,num_PV_modules
0,albuquerque,full_service_restaurant,247
1,albuquerque,hospital,1785
2,albuquerque,large_hotel,714
3,albuquerque,large_office,1710
4,albuquerque,medium_office,792
5,albuquerque,midrise_apartment,374
6,albuquerque,outpatient_healthcare,658
7,albuquerque,primary_school,3280
8,albuquerque,quick_service_restaurant,135
9,albuquerque,secondary_school,5625
10,albuquerque,small_hotel,477
11,albuquerque,small_office,285
12,albuquerque,stand_alone_retail,1098
13,albuquerque,strip_mall,999
14,albuquerque,supermarket,1998
15,albuquerque,warehouse,2190
16,atlanta,full_service_restaurant,247
17,atlanta,hospital,1785
18,atlanta,large_hotel,714
19,atlanta,large_office,1710
20,atlanta,medium_office,792
21,atlanta,midrise_apartment,374
22,atlanta,outpatient_healthcare,658
23,atlanta,primary_school,3280
24,atlanta,quick_service_restaurant,135
25,atlanta,secondary_school,5625
26,atlanta,small_hotel,477
27,atlanta,small_office,285
28,atlanta,stand_alone_retail,1098
29,atlanta,strip_mall,999
30,atlanta,supermarket,1998
31,atlanta,warehouse,2190
32,baltimore,full_service_restaurant,247
33,baltimore,hospital,1785
34,baltimore,large_hotel,714
35,baltimore,large_office,1710
36,baltimore,medium_office,792
37,baltimore,midrise_apartment,374
38,baltimore,outpatient_healthcare,658
39,baltimore,primary_school,3280
40,baltimore,quick_service_restaurant,135
41,baltimore,secondary_school,5625
42,baltimore,small_hotel,477
43,baltimore,small_office,285
44,baltimore,stand_alone_retail,1098
45,baltimore,strip_mall,999
46,baltimore,supermarket,1998
47,baltimore,warehouse,2190
48,chicago,full_service_restaurant,247
49,chicago,hospital,1785
50,chicago,large_hotel,714
51,chicago,large_office,1710
52,chicago,medium_office,792
53,chicago,midrise_apartment,374
54,chicago,outpatient_healthcare,658
55,chicago,primary_school,3280
56,chicago,quick_service_restaurant,135
57,chicago,secondary_school,5625
58,chicago,small_hotel,477
59,chicago,small_office,285
60,chicago,stand_alone_retail,1098
61,chicago,strip_mall,999
62,chicago,supermarket,1998
63,chicago,warehouse,2190
64,denver,full_service_restaurant,247
65,denver,hospital,1785
66,denver,large_hotel,714
67,denver,large_office,1710
68,denver,medium_office,792
69,denver,midrise_apartment,374
70,denver,outpatient_healthcare,658
71,denver,primary_school,3280
72,denver,quick_service_restaurant,135
73,denver,secondary_school,5625
74,denver,small_hotel,477
75,denver,small_office,285
76,denver,stand_alone_retail,1098
77,denver,strip_mall,999
78,denver,supermarket,1998
79,denver,warehouse,2190
80,duluth,full_service_restaurant,247
81,duluth,hospital,1785
82,duluth,large_hotel,714
83,duluth,large_office,1710
84,duluth,medium_office,792
85,duluth,midrise_apartment,374
86,duluth,outpatient_healthcare,658
87,duluth,primary_school,3280
88,duluth,quick_service_restaurant,135
89,duluth,secondary_school,5625
90,duluth,small_hotel,477
91,duluth,small_office,285
92,duluth,stand_alone_retail,1098
93,duluth,strip_mall,999
94,duluth,supermarket,1998
95,duluth,warehouse,2190
96,fairbanks,full_service_restaurant,247
97,fairbanks,hospital,1785
98,fairbanks,large_hotel,714
99,fairbanks,large_office,1710
100,fairbanks,medium_office,792
101,fairbanks,midrise_apartment,374
102,fairbanks,outpatient_healthcare,658
103,fairbanks,primary_school,3280
104,fairbanks,quick_service_restaurant,135
105,fairbanks,secondary_school,5625
106,fairbanks,small_hotel,477
107,fairbanks,small_office,285
108,fairbanks,stand_alone_retail,1098
109,fairbanks,strip_mall,999
110,fairbanks,supermarket,1998
111,fairbanks,warehouse,2190
112,helena,full_service_restaurant,247
113,helena,hospital,1785
114,helena,large_hotel,714
