,,,GHG_int_100,GHG_int_100,GHG_int_10%,GHG_int_10%,delta_GHG,delta_GHG,percent_change,percent_change
,,,mean,std,mean,std,mean,std,mean,std
technology,alpha_CHP,beta_ABC,,,,,,,,
Fuel Cell,1,0,87306.57054,80724.75506,91360.14948,83603.56418,4053.578945,3379.877333,5.35,2.51
Fuel Cell,1,1,120664.0492,100410.6028,125171.6868,103575.3462,4507.63768,3543.007738,4.20,1.67
Gas Turbine,1,0,188926.5758,157632.4224,194486.1014,162174.3108,5559.52562,4592.787522,2.97,0.28
Gas Turbine,1,1,198854.1843,159640.5083,204434.7335,164090.5856,5580.54919,4494.910194,2.84,0.25
Microturbine,1,0,236754.6478,235158.5842,242444.0651,239207.347,5689.417303,4646.960536,2.67,0.64
Microturbine,1,1,235193.6369,221263.2838,240791.7291,225274.6448,5598.092223,4505.265095,2.58,0.56
None,0,0,149604.0139,125000.0035,153442.5114,128201.8625,3838.497547,3201.94403,2.57,0.01
None,0,1,184465.7761,144197.0073,189155.9837,147864.9611,4690.207578,3668.141414,2.54,0.01
Reciprocating Engine,1,0,151060.265,126523.4073,155611.8107,130209.6614,4551.545688,3782.752034,3.05,0.44
Reciprocating Engine,1,1,169965.8611,134831.8653,174780.4227,138575.2274,4814.561572,3821.265883,2.88,0.38
