,,,mean,,,,,,,,,,,std,,,,,,,,,,
technology,alpha_CHP,beta_ABC,co2,n2o,ch4,co,nox,pm,so2,voc,ghg_100,ghg_20,ng,co2,n2o,ch4,co,nox,pm,so2,voc,ghg_100,ghg_20,ng
Fuel Cell,1,0,5,-98,-97,-84,-85,-97,-96,-65,6,7,7,19,4,4,16,17,5,5,44,13,13,17
,1,1,41,-90,-88,-18,-15,-87,-85,-5,32,28,18,50,7,9,69,74,10,11,70,37,29,20
Gas Turbine,1,0,166,-98,-98,-60,-13,-98,-97,244,122,92,47,68,3,4,17,36,4,4,116,49,38,24
,1,1,164,-92,-90,-9,32,-90,-88,236,120,91,47,60,7,8,62,68,9,11,99,43,33,20
Microturbine,1,0,255,-98,-98,-71,-2,-98,-98,207,179,126,51,196,3,3,14,43,3,4,169,127,80,21
,1,1,232,-93,-91,-24,35,-91,-89,200,163,116,47,158,7,8,61,69,9,10,144,102,63,18
None,0,1,56,-7,-5,75,80,-4,-1,71,44,35,23,51,6,4,71,76,3,1,67,39,32,20
Reciprocating Engine,1,0,112,-98,-98,-3,59,-97,-97,733,78,55,21,50,3,4,31,48,4,5,257,36,29,20
,1,1,123,-91,-89,41,95,-89,-87,639,87,63,27,51,7,9,63,76,9,11,206,37,29,19
