,,,NG_int,NG_int
,,,mean,std
alpha_CHP,beta_ABC,technology,,
0.0,0.0,None,0.0,0.0
0.0,1.0,None,0.30639135755027097,0.22428046685862235
1.0,0.0,Fuel Cell,0.4227097483788961,0.1680678387193086
1.0,0.0,Gas Turbine,0.5679575398998771,0.1118711513081451
1.0,0.0,Microturbine,0.6171659056471833,0.10517412417780404
1.0,0.0,Reciprocating Engine,0.509402271307882,0.13557734282065972
1.0,1.0,Fuel Cell,0.3180369061026143,0.20664431212394918
1.0,1.0,Gas Turbine,0.34090884113062964,0.18572060638427762
1.0,1.0,Microturbine,0.3755356077058146,0.19455556758831993
1.0,1.0,Reciprocating Engine,0.33157259316155024,0.2002130328390879
