,,,GHG_leak_ces,GHG_leak_ces,GHG_base_case,GHG_base_case,GHG_leak_base_case,GHG_leak_base_case,percent_leak_base_case,percent_leak_base_case,GHG_no_leak,GHG_no_leak,GHG_int_sensitivity,GHG_int_sensitivity,GHG_leak_sensitivity,GHG_leak_sensitivity,percent_leak_sensitivity,percent_leak_sensitivity,percent_change_leak_base_case_to_ces,percent_change_leak_base_case_to_ces,percent_change_leak_to_ces,percent_change_leak_to_ces,percent_change_leak_to_base_case,percent_change_leak_to_base_case
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
technology,alpha_CHP,beta_ABC,,,,,,,,,,,,,,,,,,,,,,
Fuel Cell,1.0,0.0,38710.8067481105,32945.401678518225,140305.75662594108,118383.45539114859,40452.64856758855,33726.43020453527,29.355126284914274,5.026527475220887,99359.80432106715,85802.0963368625,144181.97993245747,121521.01917041063,44822.175611390296,37378.244654702175,31.616965535910772,5.3177095669949015,69.00909456758092,192.56087359241846,87.27332145665864,213.45297361698837,10.78582147852472,0.18690540995773697
Fuel Cell,1.0,1.0,38710.8067481105,32945.401678518225,167800.0352197002,132440.9091859671,45115.89060723402,35439.110140695986,27.455489958919664,3.8975722107535073,121685.98941044808,97406.15399118721,171410.76642114326,135297.00440363734,49724.77701069492,39102.53465964721,29.605541845769796,4.158413537091713,87.45623424374631,202.05709798556663,106.64052761439832,223.02626848288506,10.238483475685028,0.4095209115853884
Gas Turbine,1.0,0.0,38930.785002859724,33102.138344336185,187420.24641509607,156719.64124448737,55453.98420833657,45809.94162029726,29.87688885925073,3.161562405614374,131230.24491093017,111238.71852645522,192761.60172852606,161062.61451814586,61531.35681759557,50836.491135184675,32.21283258239874,3.346309399601404,132.61593335083356,265.8941806677491,158.13033352954406,295.16689576536135,10.947499289458202,0.12489663328670163
Gas Turbine,1.0,1.0,38930.785002859724,33102.138344336185,200501.08970215297,160435.06554459952,55812.71560639276,44909.3327074369,28.201468326088442,2.8237787755335075,143454.27816080893,115500.24863007481,205100.92887077885,164271.24613357888,61646.6507099701,49690.9148744323,30.436217118664274,3.012886502740837,133.69493639834417,260.2352647237021,158.15552974366145,287.9336713596227,10.45358012811336,0.4073593843937713
Microturbine,1.0,0.0,38907.36041427537,33222.47259687577,234402.2392736439,233478.27819761328,56771.59090722323,46371.50848877226,27.025533241204545,6.575201426404194,176759.6838614065,194031.96172064802,239782.83113444273,237254.96901231463,63023.147273036186,51480.63074850843,29.204548663495796,6.985367923331821,140.0590533324291,278.4668362445946,166.51144066462498,309.2266316586818,11.002427883103687,0.11755505422130084
Microturbine,1.0,1.0,38907.36041427537,33222.47259687577,235992.66882832558,220803.25559452022,56009.3875831046,45027.407715468005,25.799690152534,5.71801683614376,178626.18604164256,181173.5658096122,240519.66213866245,224241.5800252639,61893.47609702011,49850.17896568383,27.89722544907984,6.0928623525292664,136.50815333461964,269.8097709078844,161.4038370545689,298.7945128937128,10.507898598328717,0.4279737363338558
None,0.0,0.0,38980.93445376366,33469.60211806775,151399.26014386225,127015.59254929268,37562.10093562327,31420.19216936699,24.839424810577718,0.2040709730370794,113837.15920823913,95598.79660500475,155271.3931009175,130254.50174129283,41434.23389267841,34659.34888615662,26.715854653732116,0.21376239060233604,55.219849186126915,167.79500814382033,71.22066769592286,185.09180366993317,10.308405260331222,0.0015593992328574596
None,0.0,1.0,38980.93445376366,33469.60211806775,189501.08547569552,148287.19177846264,46282.18603416598,36239.10700061637,24.458894778433145,0.24275725067137574,142727.05093113534,111708.6297544006,193613.49670020555,151561.2022493463,50886.44576907016,39860.41167002552,26.319361687173945,0.2539013152348295,91.74278325567785,200.58701342739965,110.81001886298621,220.55509510235896,9.970281488531787,0.24737830009255213
Reciprocating Engine,1.0,0.0,39007.67783955707,33248.84404624634,150005.67612087965,126152.24112523196,45423.1719108969,37751.51847615471,30.78132204857344,4.90910875098212,103938.56994130003,89605.5395629783,154310.94216177895,129615.90327847324,50372.37222047898,41873.361703232025,33.14714095759906,5.17915907757452,88.78729243170132,211.9647958540236,109.37380724089806,235.19155724709938,10.882207997652852,0.15123945198930716
Reciprocating Engine,1.0,1.0,39007.67783955707,33248.84404624634,172086.3418538834,136433.77279203094,48187.14117124989,38214.93349975954,28.619132560286875,4.16262540314625,122757.33897933348,98797.70028697765,175918.33692178695,139499.43187853208,53160.997942453294,42223.5168280554,30.861850682444118,4.429084782143962,100.04522682753347,216.22458921321586,120.72137606512237,238.88479482092347,10.335503537175718,0.4267733847983384
